検索結果／出荷地別取扱実績（活ひらめ）
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成27年1月,平成27年2月,平成27年3月,平成27年4月,平成27年5月,平成27年6月,平成27年7月,平成27年8月,平成27年9月,平成27年10月,平成27年11月,平成27年12月,
合計,数量,1076922,99113,85239,90203,74824,79606,84906,90003,86351,85064,83604,83872,134137,
合計,金額,2126241164,203279877,167894801,166570367,128344004,121208783,117566397,150744093,166861387,197093462,203698695,196002943,306976355,
合計,平均価格,1974,2051,1970,1847,1715,1523,1385,1675,1932,2317,2436,2337,2289,
北海道,数量,22923,1,0,0,0,221,4316,3072,1194,2517,4488,4751,2363,
北海道,金額,50855090,518,0,0,0,222469,3986025,4641062,4127672,6741607,12455011,12967397,5713329,
北海道,平均価格,2219,518,-,-,-,1007,924,1511,3457,2678,2775,2729,2418,
青森,数量,38986,1331,452,966,365,2043,7271,8306,2158,1790,1313,5820,7171,
青森,金額,93533833,5200195,1422406,3110039,1176931,3705855,10073170,15363053,6499879,6409621,4228766,15478187,20865731,
青森,平均価格,2399,3907,3147,3220,3224,1814,1385,1850,3012,3581,3221,2659,2910,
宮城,数量,83425,6397,1223,1123,1646,2292,13118,14110,6948,11302,9024,7254,8988,
宮城,金額,249916793,25214488,4516459,3524813,3781542,3547744,15978869,25319916,21940757,46461097,40272114,27341629,32017365,
宮城,平均価格,2996,3942,3693,3139,2297,1548,1218,1794,3158,4111,4463,3769,3562,
秋田,数量,1355,71,47,0,41,98,221,59,13,4,119,238,444,
秋田,金額,4088586,328644,176915,0,101066,210957,405739,122214,30758,9936,391942,581310,1729105,
秋田,平均価格,3017,4629,3764,-,2465,2153,1836,2071,2366,2484,3294,2442,3894,
山形,数量,10,0,0,0,4,0,0,0,0,0,0,0,6,
山形,金額,20693,0,0,0,3197,0,0,0,0,0,0,0,17496,
山形,平均価格,2069,-,-,-,799,-,-,-,-,-,-,-,2916,
福島,数量,332,0,0,0,0,0,0,141,74,0,89,28,0,
福島,金額,760547,0,0,0,0,0,0,269503,146923,0,279667,64454,0,
福島,平均価格,2291,-,-,-,-,-,-,1911,1985,-,3142,2302,-,
茨城,数量,80980,8190,4335,2533,5445,17436,13775,3669,5035,2749,5144,2983,9686,
茨城,金額,143074693,16634961,8327805,4114656,9283996,20096461,13498112,5638703,12129246,7445612,15644328,8164636,22096177,
茨城,平均価格,1767,2031,1921,1624,1705,1153,980,1537,2409,2708,3041,2737,2281,
埼玉,数量,28,3,19,6,0,0,0,0,0,0,0,0,0,
埼玉,金額,138854,14826,90764,33264,0,0,0,0,0,0,0,0,0,
埼玉,平均価格,4959,4942,4777,5544,-,-,-,-,-,-,-,-,-,
千葉,数量,91761,12340,15298,20944,12407,5613,3458,4210,2779,3675,2650,3483,4904,
千葉,金額,199873760,34664943,40557423,45458884,22729505,8567030,4314245,5575232,5140951,6697839,5839310,7710772,12617626,
千葉,平均価格,2178,2809,2651,2170,1832,1526,1248,1324,1850,1823,2204,2214,2573,
東京,数量,435809,36523,33300,31192,27992,25850,22751,38209,44083,40488,34748,34210,66463,
東京,金額,801371573,62350665,57719285,51432079,46225295,43018716,37719459,63915362,75727488,78899773,71779345,71640994,140943112,
東京,平均価格,1839,1707,1733,1649,1651,1664,1658,1673,1718,1949,2066,2094,2121,
神奈川,数量,26600,1516,4775,6135,3994,730,636,330,1147,2874,1806,1620,1037,
神奈川,金額,60606142,5167833,12310693,13002664,7229242,930269,716684,560458,3116958,6531691,4531879,4007346,2500425,
神奈川,平均価格,2278,3409,2578,2119,1810,1274,1127,1698,2717,2273,2509,2474,2411,
新潟,数量,1134,20,39,138,343,541,31,18,0,4,0,0,0,
新潟,金額,1821252,46126,67770,198309,700791,759753,22324,16135,0,10044,0,0,0,
