検索結果／出荷地別取扱実績（活ひらめ）,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成14年1月,平成14年2月,平成14年3月,平成14年4月,平成14年5月,平成14年6月,平成14年7月,平成14年8月,平成14年9月,平成14年10月,平成14年11月,平成14年12月
合計,数量,1371618,118501,115562,117326,107357,107938,100319,113209,103597,104997,113792,116386,152634
合計,金額,3120431539,315502049,296923599,286990027,235520976,205135167,177379980,215466338,213440791,251824855,285524067,277063203,359660487
合計,平均価格,2275,2662,2569,2446,2194,1900,1768,1903,2060,2398,2509,2381,2356
北海道,数量,4339,23,33,0,67,204,1862,798,173,159,372,445,203
北海道,金額,13143691,142811,23394,0,122279,374414,3504020,2279314,871734,847461,2224631,2121910,631723
北海道,平均価格,3029,6209,709,-,1825,1835,1882,2856,5039,5330,5980,4768,3112
青森,数量,86011,7545,1001,143,1077,9584,14090,8997,2488,5014,8149,10566,17357
青森,金額,266983194,30285160,5101082,599993,4464993,19776387,24186111,20964757,10350680,23932127,34177902,36028917,57115085
青森,平均価格,3104,4014,5096,4196,4146,2063,1717,2330,4160,4773,4194,3410,3291
岩手,数量,588,0,0,0,0,14,84,9,0,90,217,171,3
岩手,金額,2437687,0,0,0,0,39480,133410,9219,0,554117,925279,771142,5040
岩手,平均価格,4146,-,-,-,-,2820,1588,1024,-,6157,4264,4510,1680
宮城,数量,52317,4308,513,464,1319,4600,6410,4894,2091,5186,6029,6060,10443
宮城,金額,212519144,20623259,3248593,2638753,6671198,12882704,13606198,15563097,9795674,25562383,32304896,26466400,43155989
宮城,平均価格,4062,4787,6333,5687,5058,2801,2123,3180,4685,4929,5358,4367,4133
秋田,数量,1403,16,0,0,70,257,38,0,0,232,665,125,0
秋田,金額,5662451,50904,0,0,209895,806810,76440,0,0,980327,3064837,473238,0
秋田,平均価格,4036,3182,-,-,2999,3139,2012,-,-,4226,4609,3786,-
福島,数量,73637,5758,4949,4609,3578,5986,11742,6064,2903,7520,7522,4659,8347
福島,金額,250545337,22511042,20092089,18492381,13060617,14055783,23604057,18714879,13770420,31719689,34036260,17592291,22895829
福島,平均価格,3402,3910,4060,4012,3650,2348,2010,3086,4744,4218,4525,3776,2743
茨城,数量,38971,2799,3995,3724,510,2332,2319,6428,6283,2811,658,3025,4087
茨城,金額,127729001,10178597,16140066,15904772,1579579,3884787,3741586,12943500,22898916,12618780,3376830,10340194,14121394
茨城,平均価格,3278,3637,4040,4271,3097,1666,1613,2014,3645,4489,5132,3418,3455
埼玉,数量,5968,458,403,137,286,266,549,1219,909,742,321,455,223
埼玉,金額,26103444,2090748,2733022,919228,1796446,962918,1158388,4316123,4114552,3910190,1387473,2003671,710685
埼玉,平均価格,4374,4565,6782,6710,6281,3620,2110,3541,4526,5270,4322,4404,3187
千葉,数量,99038,13764,14524,15129,9832,6648,4634,5229,6593,4513,3507,6721,7944
千葉,金額,310723128,46570674,56572977,52804711,26450567,14234290,7904494,9683321,16683184,14486168,13047522,25569725,26715495
千葉,平均価格,3137,3384,3895,3490,2690,2141,1706,1852,2530,3210,3720,3804,3363
東京,数量,293806,27920,26447,26823,24197,21949,18520,28239,24600,23279,22210,19975,29647
東京,金額,559396889,60933035,55161102,54696045,47337998,40791488,33438623,48664034,42208716,41071789,41981928,37461132,55650999
東京,平均価格,1904,2182,2086,2039,1956,1858,1806,1723,1716,1764,1890,1875,1877
神奈川,数量,11384,302,2811,3184,868,72,37,28,56,779,1316,917,1014
神奈川,金額,37129366,1109594,10271918,11971376,2761797,155245,73627,53751,239570,1861660,3200851,2708738,2721239
神奈川,平均価格,3262,3674,3654,3760,3182,2156,1990,1920,4278,2390,2432,2954,2684
新潟,数量,6332,17,124,162,2207,3644,88,10,27,3,4,12,34
新潟,金額,19268294,57215,512463,624572,8339127,9340540,147644,28056,37118,16065,16265,41161,108068
新潟,平均価格,3043,3366,4133,3855,3778,2563,1678,2806,1375,5355,4066,3430,3178
石川,数量,55,10,11,0,7,8,10,0,0,3,0,0,6
石川,金額,120656,17136,27804,0,18060,16664,14175,0,0,10773,0,0,16044
石川,平均価格,2194,1714,2528,-,2580,2083,1418,-,-,3591,-,-,2674
静岡,数量,2663,136,463,586,786,120,47,4,30,3,21,201,266
静岡,金額,11481605,672579,2231182,2534268,3176296,435523,96068,13346,75822,13608,73301,840376,1319236
静岡,平均価格,4312,4945,4819,4325,4041,3629,2044,3337,2527,4536,3491,4181,4960
愛知,数量,273734,20836,18178,20912,19859,17118,16742,22517,21571,25038,29822,28676,32465
愛知,金額,492485754,43435101,34736766,39245446,35519299,29047703,27784215,36341001,34774448,43723119,54715547,52892036,60271073
愛知,平均価格,1799,2085,1911,1877,1789,1697,1660,1614,1612,1746,1835,1844,1856
三重,数量,38537,3543,3941,5793,3891,1944,2542,2513,2790,3169,1925,2995,3491
三重,金額,89702419,8900334,11221456,16271755,10192314,4459189,5135404,4643235,5352021,6184008,4074796,6066947,7200960
三重,平均価格,2328,2512,2847,2809,2619,2294,2020,1848,1918,1951,2117,2026,2063
京都,数量,4293,336,0,63,2079,721,204,314,0,0,0,0,576
京都,金額,10420002,1056880,0,174637,5649622,1569555,295463,685724,0,0,0,0,988121
京都,平均価格,2427,3145,-,2772,2717,2177,1448,2184,-,-,-,-,1715
大阪,数量,8265,487,892,1266,1010,930,698,537,652,394,452,427,520
大阪,金額,16426350,1014560,1891515,2596442,1992189,1832274,1356174,999251,1201490,734278,913813,852919,1041445
大阪,平均価格,1987,2083,2121,2051,1972,1970,1943,1861,1843,1864,2022,1997,2003
兵庫,数量,18322,485,0,1882,3210,4274,1493,2023,2889,1123,23,5,915
兵庫,金額,28489426,817531,0,3312538,5323363,6326986,2186602,2899145,4336679,1683854,53529,24358,1524841
兵庫,平均価格,1555,1686,-,1760,1658,1480,1465,1433,1501,1499,2327,4872,1666
和歌山,数量,395,95,226,55,14,0,0,0,0,0,0,0,5
和歌山,金額,1214838,318549,661864,195417,18008,0,0,0,0,0,0,0,21000
和歌山,平均価格,3076,3353,2929,3553,1286,-,-,-,-,-,-,-,4200
鳥取,数量,658,0,0,0,0,0,0,0,0,0,0,658,0
鳥取,金額,944811,0,0,0,0,0,0,0,0,0,0,944811,0
鳥取,平均価格,1436,-,-,-,-,-,-,-,-,-,-,1436,-
島根,数量,2254,966,472,39,707,0,0,0,8,46,6,8,2
島根,金額,6888098,3034506,1465587,123554,1878732,0,0,0,40268,271394,30639,38955,4463
島根,平均価格,3056,3141,3105,3168,2657,-,-,-,5034,5900,5107,4869,2232
山口,数量,853,633,63,64,37,56,0,0,0,0,0,0,0
山口,金額,2014871,1639935,118294,79244,75831,101567,0,0,0,0,0,0,0
山口,平均価格,2362,2591,1878,1238,2049,1814,-,-,-,-,-,-,-
香川,数量,2292,299,256,437,565,267,44,47,263,87,0,13,14
香川,金額,4725931,681734,592741,950060,1143136,549502,85386,86185,448667,137143,0,25515,25862
香川,平均価格,2062,2280,2315,2174,2023,2058,1941,1834,1706,1576,-,1963,1847
愛媛,数量,6047,2235,1482,517,13,0,174,634,125,92,228,255,292
愛媛,金額,11197298,4186251,2664098,838769,27384,0,260318,849161,206368,157521,635508,556047,815873
愛媛,平均価格,1852,1873,1798,1622,2106,-,1496,1339,1651,1712,2787,2181,2794
福岡,数量,19562,2369,2577,3210,3177,627,781,433,2622,630,1472,1063,601
福岡,金額,37601005,5019150,5443687,6973757,5518543,1023019,1104358,616374,4095769,1098913,3304584,1812557,1590294
福岡,平均価格,1922,2119,2112,2173,1737,1632,1414,1423,1562,1744,2245,1705,2646
長崎,数量,10988,2081,3759,1929,2647,129,23,0,0,4,23,39,354
長崎,金額,37215181,7183010,11669782,7032041,9269699,487068,52878,0,0,27132,101148,134958,1257465
