検索結果／出荷地別取扱実績（活ひらめ）,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成25年1月,平成25年2月,平成25年3月,平成25年4月,平成25年5月,平成25年6月,平成25年7月,平成25年8月,平成25年9月,平成25年10月,平成25年11月,平成25年12月
合計,数量,1039654,92789,85868,91150,75437,74170,77054,78355,78933,74287,84683,91513,135415
合計,金額,1849563572,163787555,158124772,158968231,133008540,117180778,102509321,106062280,140570329,148201957,181786902,175949578,263413329
合計,平均価格,1779,1765,1841,1744,1763,1580,1330,1354,1781,1995,2147,1923,1945
北海道,数量,31439,1096,1291,1796,1483,2166,1915,2143,2947,4101,6856,3794,1851
北海道,金額,56425659,1623491,1893929,2575639,2177099,3290494,2718490,3088072,4795535,6911715,15053534,7750263,4547398
北海道,平均価格,1795,1481,1467,1434,1468,1519,1420,1441,1627,1685,2196,2043,2457
青森,数量,42650,3758,1193,159,234,4324,9803,10410,3941,1189,1387,2263,3989
青森,金額,90426883,13190673,4364474,458100,676585,6534017,12147778,14409713,10217303,3878633,4928805,6090318,13530484
青森,平均価格,2120,3510,3658,2881,2891,1511,1239,1384,2593,3262,3554,2691,3392
岩手,数量,56,0,0,0,0,0,0,0,0,19,0,0,37
岩手,金額,143348,0,0,0,0,0,0,0,0,50485,0,0,92863
岩手,平均価格,2560,-,-,-,-,-,-,-,-,2657,-,-,2510
宮城,数量,62588,2527,361,507,838,5500,9611,4315,5231,6436,12159,9126,5977
宮城,金額,182350795,9066486,1369012,1876819,2529869,8840940,11527013,6166524,13316620,24347747,50921658,31192239,21195868
宮城,平均価格,2914,3588,3792,3702,3019,1607,1199,1429,2546,3783,4188,3418,3546
秋田,数量,890,9,204,17,141,149,76,9,0,0,198,48,39
秋田,金額,2901218,31311,850364,66644,490686,379345,119974,14007,0,0,693231,131472,124184
秋田,平均価格,3260,3479,4168,3920,3480,2546,1579,1556,-,-,3501,2739,3184
山形,数量,8,0,7,0,0,0,0,0,0,0,0,0,1
山形,金額,9524,0,8421,0,0,0,0,0,0,0,0,0,1103
山形,平均価格,1191,-,1203,-,-,-,-,-,-,-,-,-,1103
福島,数量,412,0,0,0,0,9,321,82,0,0,0,0,0
福島,金額,413935,0,0,0,0,7392,324097,82446,0,0,0,0,0
福島,平均価格,1005,-,-,-,-,821,1010,1005,-,-,-,-,-
茨城,数量,101986,12359,8081,6830,2122,5325,9462,19992,8359,7028,2556,9488,10384
茨城,金額,169919456,18010820,12365062,11209354,4689736,6575208,8382788,19095866,18455118,19661158,7514063,19673972,24286311
茨城,平均価格,1666,1457,1530,1641,2210,1235,886,955,2208,2798,2940,2074,2339
千葉,数量,106286,15426,18700,19038,14027,8977,4527,4973,4735,5431,1308,2571,6573
