検索結果／出荷地別取扱実績（ひらめ（国内））,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成14年1月,平成14年2月,平成14年3月,平成14年4月,平成14年5月,平成14年6月,平成14年7月,平成14年8月,平成14年9月,平成14年10月,平成14年11月,平成14年12月
合計,数量,592379,41348,40897,39001,39633,56810,56577,38841,33656,59777,74595,53334,57910
合計,金額,1089812746,96071496,90405658,92233465,82777603,95562085,85198618,76895876,69156006,80219813,102708629,90862515,127720982
合計,平均価格,1840,2323,2211,2365,2089,1682,1506,1980,2055,1342,1377,1704,2206
北海道,数量,26678,214,149,77,121,6352,4473,1766,1036,745,3249,5821,2675
北海道,金額,44639687,361308,323685,152715,239140,7285138,6173277,3404506,2442431,1595648,6710190,10930007,5021642
北海道,平均価格,1673,1688,2172,1983,1976,1147,1380,1928,2358,2142,2065,1878,1877
青森,数量,132490,5434,1184,1372,4482,7800,7793,6660,4567,32349,34585,15351,10913
青森,金額,146267205,10019960,1674009,1795234,6515956,12963532,11768678,12012268,7111084,25987778,27165265,14828318,14425123
青森,平均価格,1104,1844,1414,1308,1454,1662,1510,1804,1557,803,785,966,1322
岩手,数量,17757,1301,234,132,98,846,1458,990,1269,2241,3420,3486,2282
岩手,金額,31002697,1992083,406070,252486,186386,1236261,1872006,1430091,2185731,3859852,6290217,6797813,4493701
岩手,平均価格,1746,1531,1735,1913,1902,1461,1284,1445,1722,1722,1839,1950,1969
宮城,数量,9510,1171,582,755,709,898,1091,868,699,537,667,615,918
宮城,金額,47766428,4770548,3380213,4429551,4281837,4137598,3669470,3745051,3741427,3199048,3622465,3594195,5195025
宮城,平均価格,5023,4074,5808,5867,6039,4608,3363,4315,5353,5957,5431,5844,5659
秋田,数量,1673,0,66,94,0,747,527,7,0,4,94,134,0
秋田,金額,2348914,0,110985,46956,0,1286534,594428,4778,0,1680,133184,170369,0
秋田,平均価格,1404,-,1682,500,-,1722,1128,683,-,420,1417,1271,-
山形,数量,496,0,0,29,0,73,259,0,0,82,8,43,2
山形,金額,617138,0,0,82888,0,87120,276825,0,0,123013,11970,32802,2520
山形,平均価格,1244,-,-,2858,-,1193,1069,-,-,1500,1496,763,1260
福島,数量,47554,3158,1998,719,1398,5525,13006,4008,1162,4132,6510,2857,3081
福島,金額,87042268,7096864,4392701,1644610,2888102,9645967,19812490,8149153,2766806,8367006,11157100,5335088,5786381
福島,平均価格,1830,2247,2199,2287,2066,1746,1523,2033,2381,2025,1714,1867,1878
茨城,数量,34040,3882,2409,439,1275,2007,4612,5468,3270,1388,3219,3091,2980
茨城,金額,77571332,9001325,5592671,1133206,2995545,3907706,7612425,11891611,8574027,4011780,7482355,7834549,7534132
茨城,平均価格,2279,2319,2322,2581,2349,1947,1651,2175,2622,2890,2324,2535,2528
埼玉,数量,14033,51,0,0,198,4889,6480,773,43,20,583,476,520
埼玉,金額,15593174,148533,0,0,220117,5694280,6723054,900689,85949,31550,435784,665007,688211
埼玉,平均価格,1111,2912,-,-,1112,1165,1038,1165,1999,1578,747,1397,1323
千葉,数量,42773,2227,2728,1820,4239,5668,991,4067,5319,4185,4158,1788,5583
千葉,金額,101581624,5551068,7435225,5211604,11282322,13389093,1623654,8054025,9979115,7805653,9725560,4385965,17138340
千葉,平均価格,2375,2493,2726,2864,2662,2362,1638,1980,1876,1865,2339,2453,3070
東京,数量,149314,10106,10853,14335,11922,11832,10882,11247,14330,11851,11053,12735,18168
東京,金額,295159701,21779132,21257177,28072253,23178668,22736800,20256187,23737866,28964077,21561846,20870776,23971664,38773255
東京,平均価格,1977,2155,1959,1958,1944,1922,1861,2111,2021,1819,1888,1882,2134
神奈川,数量,1454,132,276,138,44,54,105,58,45,41,99,238,224
神奈川,金額,2277394,112287,715408,360055,84818,119166,170750,146942,84042,58790,93587,181199,150350
神奈川,平均価格,1566,851,2592,2609,1928,2207,1626,2533,1868,1434,945,761,671
新潟,数量,1156,12,34,16,223,270,268,186,64,23,38,4,18
新潟,金額,1193618,29662,36667,11603,287432,343317,200463,164425,45824,16422,23279,6405,28119
新潟,平均価格,1033,2472,1078,725,1289,1272,748,884,716,714,613,1601,1562
富山,数量,15,0,0,0,15,0,0,0,0,0,0,0,0
富山,金額,30450,0,0,0,30450,0,0,0,0,0,0,0,0
富山,平均価格,2030,-,-,-,2030,-,-,-,-,-,-,-,-
石川,数量,2878,60,147,145,299,280,767,381,87,15,7,582,108
石川,金額,4946109,136680,368156,362717,691530,457826,1149616,768342,225196,26691,9503,600898,148954
石川,平均価格,1719,2278,2504,2501,2313,1635,1499,2017,2588,1779,1358,1032,1379
静岡,数量,554,70,30,57,308,27,0,50,8,0,0,0,4
静岡,金額,1381496,303671,119102,152190,693951,45067,0,53550,6972,0,0,0,6993
静岡,平均価格,2494,4338,3970,2670,2253,1669,-,1071,872,-,-,-,1748
愛知,数量,717,0,0,0,0,0,0,0,174,140,337,66,0
愛知,金額,386308,0,0,0,0,0,0,0,181818,61772,120405,22313,0
愛知,平均価格,539,-,-,-,-,-,-,-,1045,441,357,338,-
三重,数量,11221,457,651,646,1201,964,1437,311,547,865,2500,1113,529
三重,金額,9660727,665389,743578,1188400,1384161,869911,998235,256641,588452,555464,1400263,666605,343628
三重,平均価格,861,1456,1142,1840,1153,902,695,825,1076,642,560,599,650
京都,数量,172,29,0,0,0,0,0,76,67,0,0,0,0
京都,金額,253970,45655,0,0,0,0,0,122098,86217,0,0,0,0
京都,平均価格,1477,1574,-,-,-,-,-,1607,1287,-,-,-,-
大阪,数量,1882,130,280,359,261,181,215,152,51,75,59,41,78
大阪,金額,2724440,176453,439425,591780,382695,243339,282345,183646,64050,71400,87801,68775,132731
大阪,平均価格,1448,1357,1569,1648,1466,1344,1313,1208,1256,952,1488,1677,1702
兵庫,数量,222,27,14,7,9,0,0,0,30,19,0,17,99
兵庫,金額,1017158,141163,75159,48510,39900,0,0,0,41465,115710,0,129098,426153
兵庫,平均価格,4582,5228,5369,6930,4433,-,-,-,1382,6090,-,7594,4305
和歌山,数量,13,0,0,10,0,0,0,0,0,0,0,0,3
和歌山,金額,16800,0,0,10080,0,0,0,0,0,0,0,0,6720
和歌山,平均価格,1292,-,-,1008,-,-,-,-,-,-,-,-,2240
鳥取,数量,8317,111,3331,532,97,1057,1346,21,6,0,621,573,622
鳥取,金額,7591296,229235,2519358,517143,227673,1033185,730763,38399,11183,0,491065,672598,1120694
鳥取,平均価格,913,2065,756,972,2347,977,543,1829,1864,-,791,1174,1802
島根,数量,4081,683,70,160,1135,448,0,0,0,60,84,236,1205
島根,金額,7782105,1276486,128378,335780,1875987,631250,0,0,0,49140,223650,444256,2817178
