検索結果／出荷地別取扱実績（ひらめ（国内））,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成17年1月,平成17年2月,平成17年3月,平成17年4月,平成17年5月,平成17年6月,平成17年7月,平成17年8月,平成17年9月,平成17年10月,平成17年11月,平成17年12月
兵庫,平均価格,1487,5319,5400,5571,3054,-,573,2744,-,-,5160,4950,7839
和歌山,数量,48,0,17,13,3,9,0,0,0,5,0,0,1
和歌山,金額,78016,0,25935,28781,5460,6248,0,0,0,10857,0,0,735
和歌山,平均価格,1625,-,1526,2214,1820,694,-,-,-,2171,-,-,735
鳥取,数量,1077,12,30,11,86,546,227,21,9,0,0,105,30
鳥取,金額,1439458,18743,47241,18953,151639,636434,206192,18522,7823,0,0,252168,81743
鳥取,平均価格,1337,1562,1575,1723,1763,1166,908,882,869,-,-,2402,2725
島根,数量,5544,1434,747,516,1048,948,7,0,0,0,43,154,647
島根,金額,8187659,2083499,1170324,766259,1192670,994729,4935,0,0,0,112277,300827,1562139
島根,平均価格,1477,1453,1567,1485,1138,1049,705,-,-,-,2611,1953,2414
岡山,数量,106,0,0,0,106,0,0,0,0,0,0,0,0
岡山,金額,244792,0,0,0,244792,0,0,0,0,0,0,0,0
岡山,平均価格,2309,-,-,-,2309,-,-,-,-,-,-,-,-
山口,数量,18967,2484,2741,2025,1715,1617,108,108,103,387,1866,2029,3784
山口,金額,35077379,3719527,4308051,2165038,2500821,1935078,204120,204120,191043,990430,5675653,4618001,8565497
山口,平均価格,1849,1497,1572,1069,1458,1197,1890,1890,1855,2559,3042,2276,2264
徳島,数量,196,4,21,105,24,27,2,9,0,0,0,0,4
徳島,金額,384903,9135,38367,231235,46893,40079,2184,9450,0,0,0,0,7560
徳島,平均価格,1964,2284,1827,2202,1954,1484,1092,1050,-,-,-,-,1890
香川,数量,637,37,6,41,116,189,97,8,22,19,15,20,67
香川,金額,1223116,87928,9545,133131,207260,260443,116362,14869,45728,39019,25495,49266,234070
香川,平均価格,1920,2376,1591,3247,1787,1378,1200,1859,2079,2054,1700,2463,3494
愛媛,数量,11160,395,431,631,602,883,570,493,630,428,1108,1238,3751
愛媛,金額,28717755,1237617,1048866,1431808,1396745,1897240,1207436,1081959,1495932,913598,2254421,2571930,12180203
愛媛,平均価格,2573,3133,2434,2269,2320,2149,2118,2195,2374,2135,2035,2077,3247
高知,数量,1219,189,289,339,234,83,16,0,0,0,11,21,37
高知,金額,2533427,446370,632938,766370,383783,110915,15414,0,0,0,36977,49329,91331
高知,平均価格,2078,2362,2190,2261,1640,1336,963,-,-,-,3362,2349,2468
福岡,数量,3126,391,773,485,546,395,68,21,0,69,240,108,30
福岡,金額,5639542,720454,1484677,729117,1020442,460897,54223,33916,0,195931,599965,286863,53057
福岡,平均価格,1804,1843,1921,1503,1869,1167,797,1615,-,2840,2500,2656,1769
佐賀,数量,1466,447,423,274,119,22,14,12,13,59,19,28,36
佐賀,金額,5969095,1990509,1874602,1111544,176889,79824,62554,56363,57936,258415,80430,104856,115173
佐賀,平均価格,4072,4453,4432,4057,1486,3628,4468,4697,4457,4380,4233,3745,3199
長崎,数量,29388,4319,8988,6896,7263,916,95,15,9,1,33,165,688
長崎,金額,63625830,10308283,19152223,15854709,13791012,1655469,131944,19352,10899,1103,80908,450059,2169869
長崎,平均価格,2165,2387,2131,2299,1899,1807,1389,1290,1211,1103,2452,2728,3154
熊本,数量,7816,1702,4075,1543,430,8,0,0,0,0,0,3,55
熊本,金額,17848843,3727060,9217869,3785363,865505,12280,0,0,0,0,0,12600,228166
熊本,平均価格,2284,2190,2262,2453,2013,1535,-,-,-,-,-,4200,4148
大分,数量,16164,2280,1984,2272,2144,1687,1760,885,631,408,613,554,946
大分,金額,24966393,3597798,3044522,3602619,3472797,2451739,2345993,1176466,852236,621933,939076,1055225,1805989
大分,平均価格,1545,1578,1535,1586,1620,1453,1333,1329,1351,1524,1532,1905,1909
宮崎,数量,1926,768,443,165,57,29,10,0,3,6,4,83,358
宮崎,金額,5080933,1915649,1094756,410775,130896,46002,11393,0,8505,11687,8663,226802,1215805
宮崎,平均価格,2638,2494,2471,2490,2296,1586,1139,-,2835,1948,2166,2733,3396
鹿児島,数量,6721,2473,1399,1067,310,168,9,0,4,9,21,342,919
鹿児島,金額,20361623,7220240,3779388,3110792,780994,419548,15898,0,12789,25621,48290,1123171,3824892
鹿児島,平均価格,3030,2920,2701,2915,2519,2497,1766,-,3197,2847,2300,3284,4162
