検索結果／出荷地別取扱実績（活ひらめ）,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成20年1月,平成20年2月,平成20年3月,平成20年4月,平成20年5月,平成20年6月,平成20年7月,平成20年8月,平成20年9月,平成20年10月,平成20年11月,平成20年12月
合計,数量,1301662,105897,106811,108758,91082,92874,92002,86271,87535,103130,118854,125770,182678
合計,金額,2606901798,269027636,264479125,247037006,189690963,169110142,141306132,142382583,172997993,224446379,245375502,225760495,315287842
合計,平均価格,2003,2540,2476,2271,2083,1821,1536,1650,1976,2176,2065,1795,1726
北海道,数量,4747,72,8,25,0,68,76,6,47,535,1347,1510,1053
北海道,金額,18141642,302381,36308,47922,0,104960,100213,2352,196436,2253644,5819619,5503797,3774010
北海道,平均価格,3822,4200,4539,1917,-,1544,1319,392,4179,4212,4320,3645,3584
青森,数量,78099,2013,1372,943,962,6723,14504,10340,4958,5346,3706,12377,14855
青森,金額,214120634,9182632,7456658,4435809,3516590,13018146,20344024,18299680,15451469,21088142,13844258,40648141,46835085
青森,平均価格,2742,4562,5435,4704,3655,1936,1403,1770,3116,3945,3736,3284,3153
岩手,数量,773,42,4,9,0,64,36,56,56,119,172,120,95
岩手,金額,2244790,127449,15624,22523,0,121066,70991,98240,198012,465434,549332,350293,225826
岩手,平均価格,2904,3035,3906,2503,-,1892,1972,1754,3536,3911,3194,2919,2377
宮城,数量,92865,6095,3239,2270,3132,9554,14144,7808,4346,10056,12047,8861,11313
宮城,金額,299688973,29478774,15976624,8362308,10126313,18927580,20611336,13804120,15935028,40718315,47823460,32082244,45842871
宮城,平均価格,3227,4837,4933,3684,3233,1981,1457,1768,3667,4049,3970,3621,4052
秋田,数量,6578,5,138,576,1515,861,210,2,171,451,1695,514,440
秋田,金額,21682919,18880,440572,2699301,5194211,1659967,321543,4158,858869,1744092,5726043,1521252,1494031
秋田,平均価格,3296,3776,3193,4686,3429,1928,1531,2079,5023,3867,3378,2960,3396
山形,数量,2,2,0,0,0,0,0,0,0,0,0,0,0
山形,金額,7875,7875,0,0,0,0,0,0,0,0,0,0,0
山形,平均価格,3938,3938,-,-,-,-,-,-,-,-,-,-,-
