検索結果／出荷地別取扱実績（ひらめ（国内））,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成24年1月,平成24年2月,平成24年3月,平成24年4月,平成24年5月,平成24年6月,平成24年7月,平成24年8月,平成24年9月,平成24年10月,平成24年11月,平成24年12月
合計,数量,728295,64589,72187,81634,41545,61102,82282,44799,30958,44929,54230,57384,92656
合計,金額,1028223949,91572561,106407477,111783819,68449288,79978639,92996964,63656984,55332537,68756183,73786229,82917042,132586226
合計,平均価格,1412,1418,1474,1369,1648,1309,1130,1421,1787,1530,1361,1445,1431
北海道,数量,98889,2729,644,236,243,8163,32859,13449,6479,4928,4455,10892,13812
北海道,金額,128307534,3436289,1057174,346303,500848,8287034,29603623,18133296,13538079,10109461,9971715,17116901,16206811
北海道,平均価格,1297,1259,1642,1467,2061,1015,901,1348,2090,2051,2238,1572,1173
青森,数量,107687,3685,375,350,777,7776,23520,10911,4971,9988,16973,15013,13348
青森,金額,129817116,5446910,750338,582222,1523000,11217786,28536950,17595860,8145646,9855472,16373302,14695985,15093645
青森,平均価格,1206,1478,2001,1663,1960,1443,1213,1613,1639,987,965,979,1131
岩手,数量,19898,613,27,75,47,1145,1576,2788,1344,661,1836,4822,4964
岩手,金額,25819999,752425,15939,118430,74568,1170139,1724315,3085942,2263183,1288970,2884715,6628239,5813134
岩手,平均価格,1298,1227,590,1579,1587,1022,1094,1107,1684,1950,1571,1375,1171
宮城,数量,27317,1998,1049,808,685,2405,2931,3004,735,1461,5167,3332,3742
宮城,金額,25974865,2020714,763992,835213,706180,3296549,4821088,2931174,933057,1086019,4161838,2084841,2334200
宮城,平均価格,951,1011,728,1034,1031,1371,1645,976,1269,743,805,626,624
秋田,数量,1227,43,51,53,30,188,401,37,0,140,136,48,100
秋田,金額,1731191,68293,82238,80903,44195,270208,474246,39921,0,242226,265316,70341,93304
秋田,平均価格,1411,1588,1613,1526,1473,1437,1183,1079,-,1730,1951,1465,933
山形,数量,994,118,12,74,35,228,414,14,0,39,5,10,45
山形,金額,1209474,169535,18607,114325,40455,236376,481399,16286,0,54212,10154,9818,58307
山形,平均価格,1217,1437,1551,1545,1156,1037,1163,1163,-,1390,2031,982,1296
福島,数量,1431,0,0,0,0,0,0,87,57,0,349,0,938
福島,金額,472764,0,0,0,0,0,0,99036,83160,0,139525,0,151043
福島,平均価格,330,-,-,-,-,-,-,1138,1459,-,400,-,161
茨城,数量,99652,16863,17094,15518,2767,6769,807,19,0,9364,7101,5496,17854
茨城,金額,82519097,11631931,12515100,9732854,1445533,1719745,258203,15477,0,12710224,5461921,7421607,19606502
茨城,平均価格,828,690,732,627,522,254,320,815,-,1357,769,1350,1098
埼玉,数量,5,5,0,0,0,0,0,0,0,0,0,0,0
埼玉,金額,7728,7728,0,0,0,0,0,0,0,0,0,0,0
埼玉,平均価格,1546,1546,-,-,-,-,-,-,-,-,-,-,-
千葉,数量,99814,8786,8951,18359,13797,15984,4824,867,1027,4408,3785,4111,14915
千葉,金額,162178636,13553787,13851665,21992108,25594776,25164149,6792681,1437875,1765163,9365262,8122308,8437275,26101587
千葉,平均価格,1625,1543,1547,1198,1855,1574,1408,1658,1719,2125,2146,2052,1750
東京,数量,139165,11640,12573,11998,7787,9891,11959,11137,13895,11770,10732,9478,16305
東京,金額,221468420,20807702,20525474,19003877,12816142,15312102,15330466,15966118,22557208,19661951,18252665,15840642,25394073
東京,平均価格,1591,1788,1633,1584,1646,1548,1282,1434,1623,1671,1701,1671,1557
神奈川,数量,5643,259,660,1118,2562,171,130,104,138,67,74,101,259
神奈川,金額,12188159,435424,1279970,2059029,4426770,495778,398807,400057,474574,339042,373053,393917,1111738
神奈川,平均価格,2160,1681,1939,1842,1728,2899,3068,3847,3439,5060,5041,3900,4292
新潟,数量,1244,0,39,9,34,684,427,22,3,7,0,9,10
新潟,金額,1001674,0,42074,13839,34735,574687,285737,17399,851,17147,0,9209,5996
新潟,平均価格,805,-,1079,1538,1022,840,669,791,284,2450,-,1023,600
富山,数量,10,7,0,0,0,0,0,0,0,0,0,0,3
富山,金額,27594,20874,0,0,0,0,0,0,0,0,0,0,6720
富山,平均価格,2759,2982,-,-,-,-,-,-,-,-,-,-,2240
石川,数量,4,0,0,0,0,4,0,0,0,0,0,0,0
石川,金額,6457,0,0,0,0,6457,0,0,0,0,0,0,0
石川,平均価格,1614,-,-,-,-,1614,-,-,-,-,-,-,-
静岡,数量,427,0,0,20,268,30,4,0,0,22,65,15,3
静岡,金額,814311,0,0,35816,456712,54485,1260,0,0,43491,186291,28810,7446
静岡,平均価格,1907,-,-,1791,1704,1816,315,-,-,1977,2866,1921,2482
愛知,数量,1115,56,66,167,514,122,112,5,9,4,13,19,28
愛知,金額,1454245,67946,85157,213899,801014,133321,77419,2720,8243,4620,17043,20213,22650
愛知,平均価格,1304,1213,1290,1281,1558,1093,691,544,916,1155,1311,1064,809
三重,数量,3025,347,187,212,140,948,165,144,94,147,103,136,402
三重,金額,5041187,811005,279096,308075,217438,595644,249795,212470,154929,206283,217475,305209,1483768
三重,平均価格,1667,2337,1492,1453,1553,628,1514,1475,1648,1403,2111,2244,3691
京都,数量,127,0,0,0,0,30,7,0,0,0,55,0,35
京都,金額,115555,0,0,0,0,16948,2205,0,0,0,79675,0,16727
京都,平均価格,910,-,-,-,-,565,315,-,-,-,1449,-,478
大阪,数量,359,0,0,8,0,53,142,76,22,8,6,6,38
大阪,金額,786506,0,0,33179,0,137887,154358,111729,96243,41218,48719,40483,122690
大阪,平均価格,2191,-,-,4147,-,2602,1087,1470,4375,5152,8120,6747,3229
兵庫,数量,461,65,60,21,112,7,7,1,10,0,135,26,17
