検索結果／出荷地別取扱実績（ひらめ（国内））
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成30年1月,平成30年2月,平成30年3月,平成30年4月,平成30年5月,平成30年6月,平成30年7月,平成30年8月,平成30年9月,平成30年10月,平成30年11月,平成30年12月,
合計,数量,762726,51392,59790,69639,52255,96307,121016,66824,27880,33886,46826,63648,73263,
合計,金額,1145692047,90902322,99382964,109589933,76559002,109557517,124069587,95859201,60968215,63602047,75832006,93897792,145471461,
合計,平均価格,1502,1769,1662,1574,1465,1138,1025,1435,2187,1877,1619,1475,1986,
北海道,数量,58264,888,532,3025,323,2036,5788,7335,2352,6904,6172,7007,15902,
北海道,金額,82803377,2142531,654777,4599359,524967,2322921,5990577,10347692,4631428,10605743,9623626,10266092,21093664,
北海道,平均価格,1421,2413,1231,1520,1625,1141,1035,1411,1969,1536,1559,1465,1326,
青森,数量,182176,10553,4576,1833,5576,19404,42296,19265,7206,13250,17606,24318,16293,
青森,金額,256106495,17480841,7300987,3388652,9789679,23182834,44630583,28742609,15585055,22411000,24784743,30537002,28272510,
青森,平均価格,1406,1656,1595,1849,1756,1195,1055,1492,2163,1691,1408,1256,1735,
岩手,数量,10557,232,87,93,85,1123,1217,1077,661,905,1321,2314,1442,
岩手,金額,15277022,341237,119945,150045,123735,1249911,1312501,1409216,1175537,1657228,2179456,3004609,2553602,
岩手,平均価格,1447,1471,1379,1613,1456,1113,1078,1308,1778,1831,1650,1298,1771,
宮城,数量,138080,2590,1427,930,1400,25992,42490,23250,6714,3529,8247,11025,10486,
宮城,金額,184322994,5146935,2260732,1286459,2039864,25968597,39388673,30449167,14601708,7955246,12798421,17845375,24581817,
宮城,平均価格,1335,1987,1584,1383,1457,999,927,1310,2175,2254,1552,1619,2344,
秋田,数量,1394,0,0,21,503,458,177,22,0,213,0,0,0,
秋田,金額,2268992,0,0,38729,948913,745377,289279,36385,0,210309,0,0,0,
秋田,平均価格,1628,-,-,1844,1887,1627,1634,1654,-,987,-,-,-,
山形,数量,1346,5,4,30,190,458,584,7,0,10,23,30,5,
山形,金額,1291429,7776,6804,42476,218052,476693,403951,9547,0,19829,37399,54592,14310,
山形,平均価格,959,1555,1701,1416,1148,1041,692,1364,-,1983,1626,1820,2862,
福島,数量,107661,8298,9480,10170,9729,15345,16598,3489,251,3350,7481,11141,12329,
福島,金額,141064200,10663098,13470462,13452890,11754650,13753651,14312021,4221662,496325,6634571,11931473,16211509,24161888,
福島,平均価格,1310,1285,1421,1323,1208,896,862,1210,1977,1980,1595,1455,1960,
茨城,数量,61161,6224,8231,7081,9942,10181,4439,4391,3370,948,1223,1417,3714,
茨城,金額,81831638,8341290,10967651,9279740,13394539,10881347,3475631,5873959,6675179,1652246,2583870,2089560,6616626,
茨城,平均価格,1338,1340,1332,1311,1347,1069,783,1338,1981,1743,2113,1475,1782,
埼玉,数量,628,80,71,76,38,115,60,31,52,51,54,0,0,
埼玉,金額,1233045,193717,135983,147290,84658,165316,50190,66041,145355,143422,101073,0,0,
埼玉,平均価格,1963,2421,1915,1938,2228,1438,837,2130,2795,2812,1872,-,-,
千葉,数量,69339,6262,8675,14122,14577,9838,1273,4438,3674,1079,536,1021,3844,
千葉,金額,106541951,10851371,13271481,19762728,19315385,12169329,1842099,6180356,7549857,2549484,890770,1832264,10326827,
千葉,平均価格,1537,1733,1530,1399,1325,1237,1447,1393,2055,2363,1662,1795,2686,
東京,数量,52564,4980,4148,4837,4034,6243,4984,2643,2884,2930,3497,4477,6907,
東京,金額,110914793,10836653,8428237,9441670,7813547,11206238,9072800,5769318,7219706,7046615,8097185,8842707,17140117,
東京,平均価格,2110,2176,2032,1952,1937,1795,1820,2183,2503,2405,2315,1975,2482,
神奈川,数量,1110,57,137,572,202,41,16,27,23,20,3,9,3,
神奈川,金額,1832027,135723,304509,1016385,234320,39908,10790,20768,34448,17410,2160,10357,5249,
神奈川,平均価格,1650,2381,2223,1777,1160,973,674,769,1498,871,720,1151,1750,
新潟,数量,4466,73,9,7,452,3487,336,23,7,28,21,16,7,
新潟,金額,3598240,78225,14580,5702,338116,2883860,174833,25077,5519,25845,22572,14645,9266,
新潟,平均価格,806,1072,1620,815,748,827,520,1090,788,923,1075,915,1324,
富山,数量,6,0,6,0,0,0,0,0,0,0,0,0,0,
富山,金額,8089,0,8089,0,0,0,0,0,0,0,0,0,0,
富山,平均価格,1348,-,1348,-,-,-,-,-,-,-,-,-,-,
石川,数量,337,15,9,91,85,65,17,16,0,0,0,39,0,
石川,金額,282008,14029,5994,103831,98042,41677,7981,3704,0,0,0,6750,0,
石川,平均価格,837,935,666,1141,1153,641,469,232,-,-,-,173,-,
福井,数量,5,0,0,0,5,0,0,0,0,0,0,0,0,
福井,金額,10152,0,0,0,10152,0,0,0,0,0,0,0,0,
福井,平均価格,2030,-,-,-,2030,-,-,-,-,-,-,-,-,
静岡,数量,298,43,0,43,0,0,0,0,0,0,0,25,187,
