検索結果／出荷地別取扱実績（ひらめ（国内））
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成30年1月,平成30年2月,平成30年3月,平成30年4月,平成30年5月,平成30年6月,平成30年7月,平成30年8月,平成30年9月,平成30年10月,平成30年11月,平成30年12月,
静岡,金額,975228,116640,0,138596,0,0,0,0,0,0,0,88388,631604,
静岡,平均価格,3273,2713,-,3223,-,-,-,-,-,-,-,3536,3378,
愛知,数量,1388,997,150,82,15,98,2,5,13,0,7,9,10,
愛知,金額,2583710,2072392,287506,72522,16480,86005,1242,6350,19289,0,4633,11794,5497,
愛知,平均価格,1861,2079,1917,884,1099,878,621,1270,1484,-,662,1310,550,
三重,数量,2254,156,179,648,406,140,102,272,104,68,49,59,71,
三重,金額,4496220,256706,287923,976568,735460,455997,417689,450373,354861,68999,62272,82555,346817,
三重,平均価格,1995,1646,1609,1507,1811,3257,4095,1656,3412,1015,1271,1399,4885,
京都,数量,30,14,0,0,0,13,0,3,0,0,0,0,0,
京都,金額,38027,23166,0,0,0,9677,0,5184,0,0,0,0,0,
京都,平均価格,1268,1655,-,-,-,744,-,1728,-,-,-,-,-,
兵庫,数量,711,84,105,87,74,95,75,10,19,10,30,28,94,
兵庫,金額,2567907,416994,416563,378457,193839,178431,126560,32688,53114,42433,156751,197377,374700,
兵庫,平均価格,3612,4964,3967,4350,2619,1878,1687,3269,2795,4243,5225,7049,3986,
和歌山,数量,430,46,33,52,50,46,32,32,29,28,20,30,32,
和歌山,金額,763186,86062,55218,92622,86984,84214,61683,53002,50883,46541,34242,55960,55775,
和歌山,平均価格,1775,1871,1673,1781,1740,1831,1928,1656,1755,1662,1712,1865,1743,
鳥取,数量,89,51,6,0,0,8,0,0,0,0,0,15,9,
鳥取,金額,73926,46494,4536,0,0,5184,0,0,0,0,0,7884,9828,
鳥取,平均価格,831,912,756,-,-,648,-,-,-,-,-,526,1092,
島根,数量,397,32,0,12,9,96,0,0,0,68,20,16,144,
島根,金額,524142,39614,0,15034,7884,73473,0,0,0,90651,23544,17150,256792,
島根,平均価格,1320,1238,-,1253,876,765,-,-,-,1333,1177,1072,1783,
山口,数量,301,112,55,11,5,0,0,0,0,0,0,30,88,
山口,金額,469910,191236,88290,14679,4147,0,0,0,0,0,0,47715,123843,
山口,平均価格,1561,1707,1605,1334,829,-,-,-,-,-,-,1591,1407,
徳島,数量,18,15,3,0,0,0,0,0,0,0,0,0,0,
徳島,金額,37400,33026,4374,0,0,0,0,0,0,0,0,0,0,
徳島,平均価格,2078,2202,1458,-,-,-,-,-,-,-,-,-,-,
香川,数量,212,24,0,0,27,41,8,0,41,21,0,45,5,
香川,金額,275133,121772,0,0,29964,28793,9900,0,26190,35294,0,16621,6599,
香川,平均価格,1298,5074,-,-,1110,702,1238,-,639,1681,-,369,1320,
愛媛,数量,7122,773,603,603,543,582,475,461,480,431,477,428,1266,
愛媛,金額,34823045,3346053,2196100,2568417,2311558,2847827,2394018,2123056,2343761,2265531,2388801,2284567,7753356,
愛媛,平均価格,4890,4329,3642,4259,4257,4893,5040,4605,4883,5256,5008,5338,6124,
高知,数量,46,0,0,0,4,42,0,0,0,0,0,0,0,
高知,金額,49205,0,0,0,5832,43373,0,0,0,0,0,0,0,
高知,平均価格,1070,-,-,-,1458,1033,-,-,-,-,-,-,-,
福岡,数量,2145,496,784,717,66,10,6,6,0,36,0,0,24,
福岡,金額,3110409,671330,1107644,973142,65188,71049,41237,7819,0,105128,0,0,67872,
福岡,平均価格,1450,1353,1413,1357,988,7105,6873,1303,-,2920,-,-,2828,
佐賀,数量,24,0,20,0,0,0,0,4,0,0,0,0,0,
佐賀,金額,29289,0,25012,0,0,0,0,4277,0,0,0,0,0,
佐賀,平均価格,1220,-,1251,-,-,-,-,1069,-,-,-,-,-,
長崎,数量,33715,4490,10711,14517,3527,109,12,15,0,1,14,76,243,
長崎,金額,60122420,9490576,19943882,24148112,5653280,196895,13402,20217,0,756,26460,122677,506163,
長崎,平均価格,1783,2114,1862,1663,1603,1806,1117,1348,-,756,1890,1614,2083,
熊本,数量,21851,3212,8963,9478,171,0,0,0,0,0,0,0,27,
熊本,金額,38686404,6112738,15942908,16261345,299062,0,0,0,0,0,0,0,70351,
熊本,平均価格,1770,1903,1779,1716,1749,-,-,-,-,-,-,-,2606,
大分,数量,538,59,31,131,135,125,11,2,0,6,12,13,13,
大分,金額,955873,101056,55771,236541,234575,222349,12053,734,0,17766,27086,22454,25488,
大分,平均価格,1777,1713,1799,1806,1738,1779,1096,367,-,2961,2257,1727,1961,
宮崎,数量,12,4,8,0,0,0,0,0,0,0,0,0,0,
宮崎,金額,19505,5994,13511,0,0,0,0,0,0,0,0,0,0,
宮崎,平均価格,1625,1499,1689,-,-,-,-,-,-,-,-,-,-,
鹿児島,数量,2051,527,747,370,82,116,18,0,0,0,13,60,118,
鹿児島,金額,5704656,1537047,2003495,997942,226130,166591,29894,0,0,0,55469,227188,460900,
鹿児島,平均価格,2781,2917,2682,2697,2758,1436,1661,-,-,-,4267,3786,3906,
