検索結果／出荷地別取扱実績（ひらめ（国内））
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成15年1月,平成15年2月,平成15年3月,平成15年4月,平成15年5月,平成15年6月,平成15年7月,平成15年8月,平成15年9月,平成15年10月,平成15年11月,平成15年12月,
鳥取,数量,6228,498,851,150,527,1587,9,46,6,9,469,1431,645,
鳥取,金額,7412749,767631,1452497,252003,563220,1814641,8862,49961,7821,23426,407874,1153661,911152,
鳥取,平均価格,1190,1541,1707,1680,1069,1143,985,1086,1304,2603,870,806,1413,
島根,数量,4236,1203,275,309,274,669,0,0,0,0,185,613,708,
島根,金額,8004387,2111206,553529,597870,423864,884011,0,0,0,0,451322,1331668,1650917,
島根,平均価格,1890,1755,2013,1935,1547,1321,-,-,-,-,2440,2172,2332,
岡山,数量,13,0,0,0,13,0,0,0,0,0,0,0,0,
岡山,金額,20508,0,0,0,20508,0,0,0,0,0,0,0,0,
岡山,平均価格,1578,-,-,-,1578,-,-,-,-,-,-,-,-,
山口,数量,16444,2655,2877,1406,1968,513,2,2,198,697,1061,2008,3057,
山口,金額,34565589,4804637,5099084,2704395,3270465,653849,10244,9194,465528,1912976,2808575,4939427,7887215,
山口,平均価格,2102,1810,1772,1923,1662,1275,5122,4597,2351,2745,2647,2460,2580,
徳島,数量,37,3,13,10,0,11,0,0,0,0,0,0,0,
徳島,金額,67159,12600,21620,18722,0,14217,0,0,0,0,0,0,0,
徳島,平均価格,1815,4200,1663,1872,-,1292,-,-,-,-,-,-,-,
香川,数量,571,4,1,22,131,321,23,6,0,4,7,3,49,
香川,金額,988557,20685,2457,51556,250958,495403,35460,10290,0,8085,14028,3150,96485,
香川,平均価格,1731,5171,2457,2343,1916,1543,1542,1715,-,2021,2004,1050,1969,
愛媛,数量,2038,326,11,32,166,104,3,0,12,2,11,27,1344,
愛媛,金額,8788042,1338752,20549,74363,317491,165691,13650,0,57435,2310,35679,136080,6626042,
愛媛,平均価格,4312,4107,1868,2324,1913,1593,4550,-,4786,1155,3244,5040,4930,
高知,数量,2944,174,303,71,156,55,16,2133,0,2,2,21,11,
高知,金額,5761086,432477,545427,130799,236204,76535,18292,4214062,0,4462,4463,69269,29096,
高知,平均価格,1957,2486,1800,1842,1514,1392,1143,1976,-,2231,2232,3299,2645,
福岡,数量,7414,355,1327,2433,1326,51,195,0,0,78,1026,280,343,
福岡,金額,14077811,770510,2767639,5263863,2322514,39131,175216,0,0,215986,789240,851630,882082,
福岡,平均価格,1899,2170,2086,2164,1752,767,899,-,-,2769,769,3042,2572,
佐賀,数量,3683,284,202,304,217,389,342,288,316,265,252,260,564,
佐賀,金額,15367006,998542,776139,1150947,887387,1578066,1338813,1179360,1285841,1217832,1156449,1190564,2607066,
佐賀,平均価格,4172,3516,3842,3786,4089,4057,3915,4095,4069,4596,4589,4579,4622,
長崎,数量,20034,3738,5875,5873,3390,598,57,12,23,3,23,94,348,
長崎,金額,45171163,9207927,12725696,14097368,6716802,885182,106743,15121,55829,7298,70298,273303,1009596,
長崎,平均価格,2255,2463,2166,2400,1981,1480,1873,1260,2427,2433,3056,2907,2901,
熊本,数量,15477,2922,7505,3916,1042,0,1,0,0,0,0,10,81,
熊本,金額,38259201,7444200,17882601,10464817,2138478,0,1775,0,0,0,0,37119,290211,
熊本,平均価格,2472,2548,2383,2672,2052,-,1775,-,-,-,-,3712,3583,
大分,数量,16876,1737,2578,2160,1839,1426,463,941,905,897,699,1540,1691,
大分,金額,30073724,3801318,4701640,4392576,3307380,2264464,756854,1472402,1332992,1192578,1329272,2429060,3093188,
大分,平均価格,1782,2188,1824,2034,1798,1588,1635,1565,1473,1330,1902,1577,1829,
宮崎,数量,1063,321,265,161,35,35,0,0,6,0,4,23,213,
宮崎,金額,2918549,916342,699161,427377,71497,71936,0,0,11498,0,11120,32645,676973,
宮崎,平均価格,2746,2855,2638,2655,2043,2055,-,-,1916,-,2780,1419,3178,
鹿児島,数量,8128,2148,3000,1574,445,132,14,2,5,9,44,191,564,
鹿児島,金額,24557914,6707249,8243461,4881650,1301047,352566,35459,3465,13020,22512,173027,734997,2089461,
鹿児島,平均価格,3021,3123,2748,3101,2924,2671,2533,1733,2604,2501,3932,3848,3705,
