検索結果／出荷地別取扱実績（ひらめ（国内））,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成25年1月,平成25年2月,平成25年3月,平成25年4月,平成25年5月,平成25年6月,平成25年7月,平成25年8月,平成25年9月,平成25年10月,平成25年11月,平成25年12月
合計,数量,960012,65026,75147,77609,47373,78825,124680,130174,57070,57782,76641,86695,82990
合計,金額,1188940943,91345259,98347952,106306884,79297392,93522652,104080702,120878601,90722897,81692881,97481527,95329147,129935049
合計,平均価格,1238,1405,1309,1370,1674,1186,835,929,1590,1414,1272,1100,1566
北海道,数量,56600,852,417,157,36,2180,11704,2844,2288,8720,12250,11330,3822
北海道,金額,61325067,1186034,554699,85806,52522,2150179,5997441,2445473,3033340,11109733,16697122,12893657,5119061
北海道,平均価格,1083,1392,1330,547,1459,986,512,860,1326,1274,1363,1138,1339
青森,数量,160599,6150,541,350,1108,9854,37578,28712,6291,15143,24181,17854,12837
青森,金額,146860942,8041666,798956,441661,1230303,9935893,31299839,25778388,9812001,13432385,18392305,13436325,14261220
青森,平均価格,914,1308,1477,1262,1110,1008,833,898,1560,887,761,753,1111
岩手,数量,37048,1139,206,275,80,750,4412,7643,2092,2146,3472,10759,4074
岩手,金額,36953300,1533018,193233,256211,118419,762379,2994566,4992191,2707427,2710337,5780746,10043416,4861357
岩手,平均価格,997,1346,938,932,1480,1017,679,653,1294,1263,1665,933,1193
宮城,数量,152871,5049,4072,5066,4185,9535,30460,30177,18336,4730,7709,21134,12418
宮城,金額,147090288,4071687,3227814,4421308,4352810,9609183,21939493,24056226,23773739,7133325,10064089,16700435,17740179
宮城,平均価格,962,806,793,873,1040,1008,720,797,1297,1508,1305,790,1429
秋田,数量,833,12,11,19,198,229,238,0,3,69,54,0,0
秋田,金額,1031901,16895,14039,25348,346607,303461,165160,0,4253,100046,56092,0,0
秋田,平均価格,1239,1408,1276,1334,1751,1325,694,-,1418,1450,1039,-,-
山形,数量,2742,4,27,32,118,875,1444,0,0,60,99,66,17
山形,金額,2297493,4515,45413,42232,185183,816583,1029192,0,0,51041,75989,19814,27531
山形,平均価格,838,1129,1682,1320,1569,933,713,-,-,851,768,300,1619
福島,数量,445,33,0,0,0,402,9,1,0,0,0,0,0
福島,金額,318330,17998,0,0,0,296237,3465,630,0,0,0,0,0
福島,平均価格,715,545,-,-,-,737,385,630,-,-,-,-,-
茨城,数量,173557,16650,20990,15048,8096,20718,16482,26501,10510,5202,4597,10506,18257
茨城,金額,183138312,16867293,15948399,11562595,11896793,18204295,13536119,22118639,16568649,9917911,7722794,13520598,25274227
茨城,平均価格,1055,1013,760,768,1469,879,821,835,1576,1907,1680,1287,1384
埼玉,数量,399,0,0,0,0,0,0,101,122,176,0,0,0
埼玉,金額,731065,0,0,0,0,0,0,189737,319200,222128,0,0,0
埼玉,平均価格,1832,-,-,-,-,-,-,1879,2616,1262,-,-,-
千葉,数量,153310,11936,14414,21356,18271,21855,8660,23804,6698,6511,3675,3198,12932
千葉,金額,228667380,17559331,19637431,31237140,34116961,30489588,9428795,24880047,12385034,11030906,7802512,6413145,23686490
千葉,平均価格,1492,1471,1362,1463,1867,1395,1089,1045,1849,1694,2123,2005,1832
東京,数量,122430,8911,8843,9209,8233,8730,11427,8749,9426,13711,14453,8770,11968
東京,金額,196677036,14772610,15512272,15585516,14482684,14617810,14031946,13246708,17067662,21056587,20677696,14682748,20942797
東京,平均価格,1606,1658,1754,1692,1759,1674,1228,1514,1811,1536,1431,1674,1750
神奈川,数量,5571,520,395,1952,847,210,131,577,107,59,114,167,492
神奈川,金額,12336801,2061297,979806,3093618,1523881,546902,401979,597772,414437,365220,613168,466567,1272154
神奈川,平均価格,2214,3964,2481,1585,1799,2604,3069,1036,3873,6190,5379,2794,2586
新潟,数量,1104,13,0,41,60,603,194,3,0,6,39,47,98
新潟,金額,925763,15384,0,43355,62160,445720,122572,1733,0,12390,59672,34200,128577
新潟,平均価格,839,1183,-,1057,1036,739,632,578,-,2065,1530,728,1312
富山,数量,14,0,0,0,0,0,0,0,0,0,4,0,10
富山,金額,26303,0,0,0,0,0,0,0,0,0,14207,0,12096
富山,平均価格,1879,-,-,-,-,-,-,-,-,-,3552,-,1210
石川,数量,462,0,0,3,0,0,0,207,0,0,0,252,0
石川,金額,258300,0,0,4095,0,0,0,96663,0,0,0,157542,0
石川,平均価格,559,-,-,1365,-,-,-,467,-,-,-,625,-
静岡,数量,163,0,21,98,44,0,0,0,0,0,0,0,0
静岡,金額,264075,0,40939,174772,48364,0,0,0,0,0,0,0,0
静岡,平均価格,1620,-,1949,1783,1099,-,-,-,-,-,-,-,-
愛知,数量,295,40,0,46,71,82,26,0,7,0,5,2,16
愛知,金額,327548,83393,0,45938,68513,77003,15268,0,8054,0,8190,798,20391
愛知,平均価格,1110,2085,-,999,965,939,587,-,1151,-,1638,399,1274
三重,数量,3514,649,1104,357,148,83,145,71,46,69,83,52,707
三重,金額,6251033,1031849,1258884,541633,230926,147309,153280,72703,57703,81101,90455,64118,2521072
三重,平均価格,1779,1590,1140,1517,1560,1775,1057,1024,1254,1175,1090,1233,3566
京都,数量,81,0,0,0,0,0,0,4,0,0,0,0,77
京都,金額,93419,0,0,0,0,0,0,4200,0,0,0,0,89219
京都,平均価格,1153,-,-,-,-,-,-,1050,-,-,-,-,1159
大阪,数量,1666,0,274,3,22,154,586,73,135,91,77,103,148
大阪,金額,1519168,0,378266,35300,36292,107581,383021,66230,89592,71306,65239,131582,154759
大阪,平均価格,912,-,1381,11767,1650,699,654,907,664,784,847,1277,1046
兵庫,数量,4714,71,20,40,46,78,41,58,16,50,2235,106,1953
兵庫,金額,7441251,282068,112035,288957,209411,216440,125717,287137,57875,375894,2264550,755310,2465857
兵庫,平均価格,1579,3973,5602,7224,4552,2775,3066,4951,3617,7518,1013,7126,1263
和歌山,数量,5,0,0,0,0,0,0,0,0,0,0,5,0
和歌山,金額,8921,0,0,0,0,0,0,0,0,0,0,8921,0
和歌山,平均価格,1784,-,-,-,-,-,-,-,-,-,-,1784,-
鳥取,数量,1424,58,38,77,349,268,168,0,0,0,191,166,109
鳥取,金額,1680540,66665,39526,153134,410686,238100,125287,0,0,0,321534,203986,121622
鳥取,平均価格,1180,1149,1040,1989,1177,888,746,-,-,-,1683,1229,1116
島根,数量,3389,483,82,0,385,277,0,0,5,225,929,931,72
島根,金額,4371739,430241,81219,0,410108,265982,0,0,5670,450231,1512919,1137312,78057
島根,平均価格,1290,891,990,-,1065,960,-,-,1134,2001,1629,1222,1084
岡山,数量,25,0,0,0,0,0,25,0,0,0,0,0,0
岡山,金額,4725,0,0,0,0,0,4725,0,0,0,0,0,0
岡山,平均価格,189,-,-,-,-,-,189,-,-,-,-,-,-
広島,数量,2,0,0,0,0,0,2,0,0,0,0,0,0
広島,金額,945,0,0,0,0,0,945,0,0,0,0,0,0
広島,平均価格,473,-,-,-,-,-,473,-,-,-,-,-,-
山口,数量,1147,353,131,35,67,27,41,8,5,0,337,32,111
山口,金額,1301631,354187,114556,45274,76945,31281,37087,2394,8348,0,516623,27455,87481
山口,平均価格,1135,1003,874,1294,1148,1159,905,299,1670,-,1533,858,788
徳島,数量,42,10,2,8,2,14,0,0,0,0,0,0,6
徳島,金額,47902,12107,1848,9860,3780,19992,0,0,0,0,0,0,315
徳島,平均価格,1141,1211,924,1233,1890,1428,-,-,-,-,-,-,53
香川,数量,356,16,0,0,40,224,24,3,6,0,40,3,0
香川,金額,370871,11099,0,0,39543,278709,18575,1943,2195,0,16371,2436,0
香川,平均価格,1042,694,-,-,989,1244,774,648,366,-,409,812,-
愛媛,数量,8757,724,411,385,370,411,386,276,776,646,1674,964,1734
愛媛,金額,36751218,3208438,1786559,1826115,1654326,1813920,1568705,1349365,3965232,3260785,3908063,4176438,8233272
愛媛,平均価格,4197,4432,4347,4743,4471,4413,4064,4889,5110,5048,2335,4332,4748
高知,数量,287,47,61,6,83,78,0,0,0,0,0,2,10
高知,金額,416944,76672,96687,9891,118076,97285,0,0,0,0,0,2898,15435
高知,平均価格,1453,1631,1585,1649,1423,1247,-,-,-,-,-,1449,1544
福岡,数量,2170,232,187,403,234,194,182,139,49,113,299,93,45
福岡,金額,2550775,293321,224701,442577,209055,173250,162435,123166,50558,173618,535417,121622,41055
福岡,平均価格,1175,1264,1202,1098,893,893,893,886,1032,1536,1791,1308,912
佐賀,数量,40,0,31,0,0,0,0,0,0,0,0,9,0
佐賀,金額,36036,0,27447,0,0,0,0,0,0,0,0,8589,0
佐賀,平均価格,901,-,885,-,-,-,-,-,-,-,-,954,-
長崎,数量,39840,5442,12551,17340,3427,423,54,7,0,4,44,86,462
長崎,金額,62705858,9212589,19174777,26623595,5658853,606044,62266,6720,0,3276,79223,204551,1073964
長崎,平均価格,1574,1693,1528,1535,1651,1433,1153,960,-,819,1801,2379,2325
熊本,数量,16480,3742,7759,4249,476,53,0,0,0,5,8,29,159
熊本,金額,27579376,6040375,12793080,7198159,944381,81312,0,0,0,12390,13608,71853,424218
