検索結果／出荷地別取扱実績（ひらめ（国内））
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成23年1月,平成23年2月,平成23年3月,平成23年4月,平成23年5月,平成23年6月,平成23年7月,平成23年8月,平成23年9月,平成23年10月,平成23年11月,平成23年12月,
合計,数量,747873,54343,48354,42502,40018,63338,107206,59430,35705,42683,73928,78798,101568,
合計,金額,1032421271,91364362,82531303,75637013,67334216,84541748,112229988,83965978,61824614,64640740,82136425,91023105,135191779,
合計,平均価格,1380,1681,1707,1780,1683,1335,1047,1413,1732,1514,1111,1155,1331,
北海道,数量,91764,1601,574,165,450,2840,16088,12252,7684,6691,10963,11731,20725,
北海道,金額,116901461,2672190,858351,323354,391746,3130817,13121326,15699638,11676073,11150668,17201809,16782700,23892789,
北海道,平均価格,1274,1669,1495,1960,871,1102,816,1281,1520,1667,1569,1431,1153,
青森,数量,155010,8652,1413,662,1558,14030,44715,13817,3678,7720,31965,18706,8094,
青森,金額,173292719,13048015,2253805,1018303,2261543,17484936,48166253,19432547,6569012,11799092,23157260,19154518,8947435,
青森,平均価格,1118,1508,1595,1538,1452,1246,1077,1406,1786,1528,724,1024,1105,
岩手,数量,18255,423,110,6,2,59,1261,688,920,1078,2158,7031,4519,
岩手,金額,21536543,597150,87418,7308,1575,65275,1075445,877805,1274146,1489106,2768914,8019122,5273279,
岩手,平均価格,1180,1412,795,1218,788,1106,853,1276,1385,1381,1283,1141,1167,
宮城,数量,16622,533,118,69,0,0,678,4465,4042,2361,1752,1809,795,
宮城,金額,31689127,1016860,269895,121613,0,0,582186,6259030,8338793,6855276,4388797,2728363,1128314,
宮城,平均価格,1906,1908,2287,1763,-,-,859,1402,2063,2904,2505,1508,1419,
秋田,数量,1694,8,99,112,132,689,315,73,0,81,7,149,29,
秋田,金額,2306344,16443,150665,218256,205516,813497,291519,130948,0,158374,17798,262156,41172,
秋田,平均価格,1361,2055,1522,1949,1557,1181,925,1794,-,1955,2543,1759,1420,
山形,数量,1538,15,86,203,65,378,590,34,4,12,31,76,44,
山形,金額,1902507,23626,139479,339671,100088,470795,573966,38379,6048,21945,37727,84978,65805,
山形,平均価格,1237,1575,1622,1673,1540,1245,973,1129,1512,1829,1217,1118,1496,
福島,数量,9815,6902,2427,468,0,0,0,0,0,0,0,18,0,
福島,金額,13929855,9862372,3280119,770942,0,0,0,0,0,0,0,16422,0,
福島,平均価格,1419,1429,1352,1647,-,-,-,-,-,-,-,912,-,
茨城,数量,136529,5873,5600,1756,1709,15470,22228,11586,5494,9725,9507,19329,28252,
茨城,金額,137062618,9719889,8660743,3071075,2890564,16711716,19445743,15308850,9721723,7244996,7106969,15026634,22153716,
茨城,平均価格,1004,1655,1547,1749,1691,1080,875,1321,1770,745,748,777,784,
埼玉,数量,134,0,0,0,11,32,30,30,28,0,0,0,3,
埼玉,金額,207005,0,0,0,17672,50246,47097,43635,43315,0,0,0,5040,
埼玉,平均価格,1545,-,-,-,1607,1570,1570,1455,1547,-,-,-,1680,
千葉,数量,84913,9248,4273,5214,11374,12239,8862,4707,1653,3012,3618,7301,13412,
千葉,金額,140549574,16614630,10067622,10920198,21302820,19390319,10144849,7006583,2501790,4954266,4771058,7955343,24920096,
千葉,平均価格,1655,1797,2356,2094,1873,1584,1145,1489,1513,1645,1319,1090,1858,
東京,数量,107162,8684,6294,7344,8569,10370,8473,9006,9648,8262,8622,7091,14799,
東京,金額,179422786,15817161,10512629,12245566,14068601,16268226,13441339,14833768,16903001,14106257,13791665,11454569,25980004,
東京,平均価格,1674,1821,1670,1667,1642,1569,1586,1647,1752,1707,1600,1615,1756,
神奈川,数量,1290,59,59,331,331,128,152,54,79,20,15,33,29,
神奈川,金額,2237008,126359,170289,537159,571835,218602,176131,64789,131477,29485,10752,43428,156702,
神奈川,平均価格,1734,2142,2886,1623,1728,1708,1159,1200,1664,1474,717,1316,5404,
新潟,数量,2884,12,26,13,267,1739,787,23,2,7,0,8,0,
新潟,金額,2909349,14763,31490,13965,376162,1861108,569827,28708,893,8820,0,3613,0,
新潟,平均価格,1009,1230,1211,1074,1409,1070,724,1248,447,1260,-,452,-,
富山,数量,168,92,14,0,0,35,0,0,0,2,10,15,0,
