検索結果／出荷地別取扱実績（ひらめ（国内））
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成20年1月,平成20年2月,平成20年3月,平成20年4月,平成20年5月,平成20年6月,平成20年7月,平成20年8月,平成20年9月,平成20年10月,平成20年11月,平成20年12月,
合計,数量,729020,51390,57846,57514,41206,62267,98794,65146,26800,43374,71353,73031,80299,
合計,金額,1242778236,105150334,116690106,118874713,85386968,105017006,122886539,92225464,59794701,80316194,107438174,112267770,136730267,
合計,平均価格,1705,2046,2017,2067,2072,1687,1244,1416,2231,1852,1506,1537,1703,
北海道,数量,40128,350,72,142,184,1108,6644,3159,2262,2309,6817,8666,8415,
北海道,金額,72935703,554807,111079,258903,416233,1457194,6794469,3719201,5472411,7213025,16603349,16846371,13488661,
北海道,平均価格,1818,1585,1543,1823,2262,1315,1023,1177,2419,3124,2436,1944,1603,
青森,数量,209532,9470,4736,2197,4137,20696,40095,11691,2333,21788,39706,33368,19315,
青森,金額,266331828,16404574,7121283,2883251,7333016,29446994,46503911,15340843,4404816,29432789,42196351,39891189,25372811,
青森,平均価格,1271,1732,1504,1312,1773,1423,1160,1312,1888,1351,1063,1195,1314,
岩手,数量,19023,1091,165,153,112,2659,2658,1709,304,1517,3599,3343,1713,
岩手,金額,28011853,2092511,251990,228640,217304,3675483,2937983,1896198,599394,2486982,5959409,5252037,2413922,
岩手,平均価格,1473,1918,1527,1494,1940,1382,1105,1110,1972,1639,1656,1571,1409,
宮城,数量,10346,450,277,275,149,1533,3033,1315,729,544,364,372,1305,
宮城,金額,15699913,802082,437633,424484,225278,2553578,3741513,1721412,1372885,1142487,647312,689239,1942010,
宮城,平均価格,1517,1782,1580,1544,1512,1666,1234,1309,1883,2100,1778,1853,1488,
秋田,数量,6207,231,206,133,810,2104,1113,218,0,285,656,107,344,
秋田,金額,8264355,382884,308227,148643,1632197,2918760,1303531,244337,0,338516,639900,106891,240469,
秋田,平均価格,1331,1658,1496,1118,2015,1387,1171,1121,-,1188,975,999,699,
山形,数量,3986,79,69,166,236,997,635,12,0,174,564,531,523,
