検索結果／出荷地別取扱実績（ひらめ（国内））
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成20年1月,平成20年2月,平成20年3月,平成20年4月,平成20年5月,平成20年6月,平成20年7月,平成20年8月,平成20年9月,平成20年10月,平成20年11月,平成20年12月,
山形,金額,4754416,132574,125255,321415,431929,1328913,571906,11802,0,153657,657123,537578,482264,
山形,平均価格,1193,1678,1815,1936,1830,1333,901,984,-,883,1165,1012,922,
福島,数量,56030,2640,1373,863,1636,3589,14466,8960,3664,2476,3734,4717,7912,
福島,金額,91492708,4353732,2070182,1566148,2286396,6068886,18008654,12679902,9514953,6867538,7238709,7932400,12905208,
福島,平均価格,1633,1649,1508,1815,1398,1691,1245,1415,2597,2774,1939,1682,1631,
茨城,数量,76871,4674,3402,5110,1961,2747,15259,20688,4494,1870,1822,3718,11126,
茨城,金額,127477642,9301033,6957710,9893668,4114334,4772287,16957637,27628553,10250880,5226549,3901139,7420507,21053345,
茨城,平均価格,1658,1990,2045,1936,2098,1737,1111,1335,2281,2795,2141,1996,1892,
埼玉,数量,946,177,257,78,0,0,0,0,0,0,48,68,318,
埼玉,金額,2804940,560554,599601,188371,0,0,0,0,0,0,25253,84126,1347035,
埼玉,平均価格,2965,3167,2333,2415,-,-,-,-,-,-,526,1237,4236,
千葉,数量,58882,3100,2062,8093,8219,9755,5914,7924,1890,1925,924,2893,6183,
千葉,金額,123138756,7636968,5710532,18546767,19830438,20642398,8220310,11021771,4473398,5614856,2415033,5933330,13092955,
千葉,平均価格,2091,2464,2769,2292,2413,2116,1390,1391,2367,2917,2614,2051,2118,
東京,数量,110980,8525,8718,9420,8340,8598,6355,7563,9194,8158,9101,9736,17272,
東京,金額,216101833,18147516,18621438,19815586,17453123,17868722,12607461,14225786,18399315,16172901,17811401,17029944,27948640,
東京,平均価格,1947,2129,2136,2104,2093,2078,1984,1881,2001,1982,1957,1749,1618,
神奈川,数量,435,83,26,104,91,12,49,15,20,6,6,23,0,
神奈川,金額,927233,205864,23132,219851,160949,15058,198660,32519,38472,11297,1239,20192,0,
神奈川,平均価格,2132,2480,890,2114,1769,1255,4054,2168,1924,1883,207,878,-,
新潟,数量,4151,284,191,97,411,2501,392,17,13,23,41,140,41,
新潟,金額,4482628,254713,210391,129369,687990,2546697,348762,14113,16465,35680,53981,140860,43607,
新潟,平均価格,1080,897,1102,1334,1674,1018,890,830,1267,1551,1317,1006,1064,
富山,数量,217,193,0,0,0,7,0,0,0,0,0,0,17,
富山,金額,266681,254133,0,0,0,7350,0,0,0,0,0,0,5198,
富山,平均価格,1229,1317,-,-,-,1050,-,-,-,-,-,-,306,
石川,数量,24,14,0,0,0,0,0,0,0,0,0,10,0,
石川,金額,34871,19961,0,0,0,0,0,0,0,0,0,14910,0,
石川,平均価格,1453,1426,-,-,-,-,-,-,-,-,-,1491,-,
福井,数量,65,0,0,0,0,21,33,0,0,0,0,11,0,
福井,金額,66056,0,0,0,0,28119,27941,0,0,0,0,9996,0,
福井,平均価格,1016,-,-,-,-,1339,847,-,-,-,-,909,-,
静岡,数量,357,45,25,185,80,0,12,5,0,0,0,2,3,
静岡,金額,721803,120425,50438,358945,149668,0,13210,5124,0,0,0,8400,15593,
静岡,平均価格,2022,2676,2018,1940,1871,-,1101,1025,-,-,-,4200,5198,
愛知,数量,601,50,62,132,72,49,31,8,0,34,26,109,28,
愛知,金額,903607,88694,120952,250387,118056,76946,33370,5355,0,11445,32708,134015,31679,
愛知,平均価格,1504,1774,1951,1897,1640,1570,1076,669,-,337,1258,1229,1131,
三重,数量,4793,158,393,753,498,269,232,205,374,239,305,945,422,
三重,金額,8634587,456627,928960,1631316,1086163,686965,485904,367351,743831,443624,526863,712102,564881,
三重,平均価格,1801,2890,2364,2166,2181,2554,2094,1792,1989,1856,1727,754,1339,
京都,数量,742,590,23,8,18,57,23,0,0,2,5,4,12,
京都,金額,751222,589757,19678,11119,25179,51849,22239,0,0,5248,8346,5250,12557,
京都,平均価格,1012,1000,856,1390,1399,910,967,-,-,2624,1669,1313,1046,
大阪,数量,688,0,0,0,4,140,428,79,31,0,3,3,0,
大阪,金額,721944,0,0,0,8400,149294,380009,103549,66475,0,8211,6006,0,
大阪,平均価格,1049,-,-,-,2100,1066,888,1311,2144,-,2737,2002,-,
兵庫,数量,157,66,30,0,0,0,10,0,3,0,13,13,22,
兵庫,金額,998828,473837,228239,0,0,0,46872,0,6510,0,76871,29421,137078,
兵庫,平均価格,6362,7179,7608,-,-,-,4687,-,2170,-,5913,2263,6231,
和歌山,数量,359,25,41,251,35,0,0,0,0,0,0,3,4,
和歌山,金額,692340,57444,83297,469593,72031,0,0,0,0,0,0,5566,4409,
和歌山,平均価格,1929,2298,2032,1871,2058,-,-,-,-,-,-,1855,1102,
鳥取,数量,618,63,37,48,7,198,22,4,0,0,100,73,66,
鳥取,金額,869755,97368,43292,67641,7245,224563,17063,1260,0,0,206778,121351,83194,
鳥取,平均価格,1407,1546,1170,1409,1035,1134,776,315,-,-,2068,1662,1261,
島根,数量,3661,254,462,421,972,237,5,0,0,156,104,363,687,
島根,金額,5463031,370398,686081,657011,1536218,253670,7088,0,0,238244,180527,619144,914650,
島根,平均価格,1492,1458,1485,1561,1580,1070,1418,-,-,1527,1736,1706,1331,
岡山,数量,55,11,24,8,0,12,0,0,0,0,0,0,0,
岡山,金額,136875,41541,63328,21023,0,10983,0,0,0,0,0,0,0,
岡山,平均価格,2489,3776,2639,2628,-,915,-,-,-,-,-,-,-,
広島,数量,1,1,0,0,0,0,0,0,0,0,0,0,0,
広島,金額,2310,2310,0,0,0,0,0,0,0,0,0,0,0,
広島,平均価格,2310,2310,-,-,-,-,-,-,-,-,-,-,-,
山口,数量,7697,1059,1437,231,435,903,13,3,33,324,1505,1745,9,
山口,金額,12352797,1252984,1800153,346374,586205,953453,17871,3570,76934,745292,3251932,3308474,9555,
山口,平均価格,1605,1183,1253,1499,1348,1056,1375,1190,2331,2300,2161,1896,1062,
徳島,数量,102,14,22,44,3,4,8,2,0,0,0,5,0,
徳島,金額,170701,21095,46526,69710,5681,5093,9870,2016,0,0,0,10710,0,
徳島,平均価格,1674,1507,2115,1584,1894,1273,1234,1008,-,-,-,2142,-,
香川,数量,1666,5,19,86,834,655,46,0,0,0,2,5,14,
香川,金額,3179561,17010,54159,195627,1710976,1117126,57583,0,0,0,3003,7350,16727,
香川,平均価格,1909,3402,2850,2275,2052,1706,1252,-,-,-,1502,1470,1195,
愛媛,数量,13487,2665,1444,1530,1026,1057,603,484,791,545,642,873,1827,
愛媛,金額,40471427,5216940,4117662,4176054,3437200,3270161,2163847,1789041,3171217,2130658,2444151,2705629,5848867,
愛媛,平均価格,3001,1958,2852,2729,3350,3094,3588,3696,4009,3909,3807,3099,3201,
高知,数量,933,44,40,73,96,27,14,604,0,17,5,13,0,
高知,金額,991371,84074,69385,128165,150680,38053,15048,446378,0,29421,6542,23625,0,
高知,平均価格,1063,1911,1735,1756,1570,1409,1075,739,-,1731,1308,1817,-,
福岡,数量,6477,409,802,1299,535,314,334,327,329,503,825,427,373,
福岡,金額,8122144,394138,1164656,2028598,629237,260411,265818,276444,265041,797036,1297867,390108,352790,
福岡,平均価格,1254,964,1452,1562,1176,829,796,845,806,1585,1573,914,946,
佐賀,数量,2669,368,240,305,227,252,186,114,130,141,138,143,425,
佐賀,金額,13910656,1670015,1284261,1495815,1220006,1339333,841097,642642,729152,790944,768815,787616,2340960,
佐賀,平均価格,5212,4538,5351,4904,5374,5315,4522,5637,5609,5610,5571,5508,5508,
長崎,数量,55494,7956,21211,16315,7463,1211,86,22,11,99,127,263,730,
長崎,金額,109580843,16694347,40328297,32688021,14252115,2272928,90944,20929,16360,191038,245322,591426,2189116,
長崎,平均価格,1975,2098,1901,2004,1910,1877,1057,951,1487,1930,1932,2249,2999,
熊本,数量,15897,2122,5906,6385,1303,4,0,0,0,4,8,55,110,
熊本,金額,34222717,5102906,12440937,13487113,2722887,10878,0,0,0,11655,23279,137541,285521,
熊本,平均価格,2153,2405,2106,2112,2090,2720,-,-,-,2914,2910,2501,2596,
大分,数量,2765,349,430,501,922,321,81,11,9,7,26,35,73,
大分,金額,5942623,841769,959609,1030691,1919437,640963,165527,15603,17798,20412,64145,82289,184380,
大分,平均価格,2149,2412,2232,2057,2082,1997,2044,1418,1978,2916,2467,2351,2526,
宮崎,数量,2163,467,538,540,92,70,5,0,14,13,12,126,286,
宮崎,金額,4969640,1077077,1213117,1182103,183111,29243,6132,0,41685,39271,28687,297522,871692,
宮崎,平均価格,2298,2306,2255,2189,1990,418,1226,-,2978,3021,2391,2361,3048,
鹿児島,数量,9815,3308,3106,1568,298,160,9,7,172,215,125,123,724,
鹿児島,金額,26176038,9375672,8438626,3954311,777286,294655,24309,9765,116709,165629,113928,374655,2530493,
鹿児島,平均価格,2667,2834,2717,2522,2608,1842,2701,1395,679,770,911,3046,3495,
