検索結果／出荷地別取扱実績（活ひらめ）
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成31年1月,平成31年2月,平成31年3月,平成31年4月,令和元年5月,令和元年6月,令和元年7月,令和元年8月,令和元年9月,令和元年10月,令和元年11月,令和元年12月,
島根,金額,1918379,0,42399,100460,88852,41699,0,9418,0,38458,791520,217848,587725,
島根,平均価格,2872,-,3029,1620,1154,1017,-,856,-,3496,4059,3112,3143,
山口,数量,25,25,0,0,0,0,0,0,0,0,0,0,0,
山口,金額,71226,71226,0,0,0,0,0,0,0,0,0,0,0,
山口,平均価格,2849,2849,-,-,-,-,-,-,-,-,-,-,-,
徳島,数量,660,266,323,49,14,6,0,0,0,0,0,0,2,
徳島,金額,2164962,772027,1260744,104122,18695,8564,0,0,0,0,0,0,810,
徳島,平均価格,3280,2902,3903,2125,1335,1427,-,-,-,-,-,-,405,
愛媛,数量,78972,5205,6585,7254,8579,6586,3811,5606,7012,6091,6162,7552,8529,
愛媛,金額,155064070,11768387,14608124,15037085,18588371,13603931,7658578,10101333,12572023,10649851,11266218,13655317,15554852,
愛媛,平均価格,1964,2261,2218,2073,2167,2066,2010,1802,1793,1748,1828,1808,1824,
福岡,数量,56656,3182,4006,4762,4281,4823,4462,4060,5038,4848,5367,5549,6278,
福岡,金額,101037717,6325529,7771861,9089182,8228935,8847079,7588013,7224791,9017075,8407966,8919785,9093301,10524200,
福岡,平均価格,1783,1988,1940,1909,1922,1834,1701,1780,1790,1734,1662,1639,1676,
佐賀,数量,32,1,10,16,0,5,0,0,0,0,0,0,0,
佐賀,金額,43232,972,20055,16740,0,5465,0,0,0,0,0,0,0,
佐賀,平均価格,1351,972,2006,1046,-,1093,-,-,-,-,-,-,-,
長崎,数量,4917,763,1789,1950,356,0,0,0,0,0,0,34,25,
長崎,金額,13017209,1873460,5713500,4477809,800895,0,0,0,0,0,0,96325,55220,
長崎,平均価格,2647,2455,3194,2296,2250,-,-,-,-,-,-,2833,2209,
熊本,数量,563,0,0,0,0,0,0,0,0,0,0,287,276,
熊本,金額,2413600,0,0,0,0,0,0,0,0,0,0,1074576,1339024,
熊本,平均価格,4287,-,-,-,-,-,-,-,-,-,-,3744,4852,
大分,数量,2182,118,166,94,67,90,124,53,1058,229,54,60,69,
大分,金額,5489258,318818,508691,279666,204800,275502,375010,166623,2311851,485448,166375,184362,212112,
大分,平均価格,2516,2702,3064,2975,3057,3061,3024,3144,2185,2120,3081,3073,3074,
宮崎,数量,8,0,0,0,0,8,0,0,0,0,0,0,0,
宮崎,金額,10800,0,0,0,0,10800,0,0,0,0,0,0,0,
宮崎,平均価格,1350,-,-,-,-,1350,-,-,-,-,-,-,-,
