検索結果／出荷地別取扱実績（ひらめ（国内））,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成18年1月,平成18年2月,平成18年3月,平成18年4月,平成18年5月,平成18年6月,平成18年7月,平成18年8月,平成18年9月,平成18年10月,平成18年11月,平成18年12月
合計,数量,745966,50859,56281,59407,52727,60126,75813,50585,37327,49273,85935,72324,95309
合計,金額,1275024843,93705341,105505676,110880603,94074134,99514773,110328366,88717653,74937641,90171597,116833386,115777344,174578329
合計,平均価格,1709,1842,1875,1866,1784,1655,1455,1754,2008,1830,1360,1601,1832
北海道,数量,74365,1859,168,181,516,1005,15130,8278,4328,3295,7700,11105,20800
北海道,金額,134732781,3471005,257023,194880,906556,1609702,19956861,14313777,9216262,8388776,17426629,22445155,36546155
北海道,平均価格,1812,1867,1530,1077,1757,1602,1319,1729,2129,2546,2263,2021,1757
青森,数量,156791,6852,4399,2057,6518,12785,17259,16112,10767,11909,29905,15500,22728
青森,金額,171350199,6244585,6118018,1627771,6176363,15081112,23225858,23276481,12864426,12042521,24248060,15452404,24992600
青森,平均価格,1093,911,1391,791,948,1180,1346,1445,1195,1011,811,997,1100
岩手,数量,17463,311,214,38,34,58,85,1556,2105,2474,5309,3870,1409
岩手,金額,19503300,437748,237805,50243,49204,77554,103942,1830212,2352707,2997573,5013976,4523113,1829223
岩手,平均価格,1117,1408,1111,1322,1447,1337,1223,1176,1118,1212,944,1169,1298
宮城,数量,10439,410,185,186,166,446,709,243,313,357,588,2500,4336
宮城,金額,12222087,873509,576075,643157,515550,951695,1015493,503151,854631,819686,583307,1819304,3066529
宮城,平均価格,1171,2131,3114,3458,3106,2134,1432,2071,2730,2296,992,728,707
秋田,数量,13584,106,1162,472,825,2865,4215,210,0,2215,1107,179,228
秋田,金額,14169476,129077,887315,389285,693294,3783483,4930287,210772,0,1895143,882359,210811,157650
秋田,平均価格,1043,1218,764,825,840,1321,1170,1004,-,856,797,1178,691
山形,数量,497,0,0,0,0,198,113,0,0,77,22,10,77
山形,金額,477651,0,0,0,0,204365,88129,0,0,45360,13061,18900,107836
山形,平均価格,961,-,-,-,-,1032,780,-,-,589,594,1890,1400
福島,数量,50250,1468,1046,412,670,3282,8133,1502,755,6364,10353,10199,6066
福島,金額,63320733,1759526,1428796,684350,1020914,4891473,11211245,2790160,1971607,12188329,11052553,8473427,5848353
福島,平均価格,1260,1199,1366,1661,1524,1490,1378,1858,2611,1915,1068,831,964
茨城,数量,53085,1074,1434,514,1314,5211,8669,6569,3182,7035,10651,3304,4128
茨城,金額,85293795,2475104,3206676,1287777,2841662,8709311,11632936,12540109,8589173,10994400,10176616,6024885,6815146
茨城,平均価格,1607,2305,2236,2505,2163,1671,1342,1909,2699,1563,955,1824,1651
群馬,数量,62,0,0,0,0,0,0,0,0,0,62,0,0
群馬,金額,40364,0,0,0,0,0,0,0,0,0,40364,0,0
群馬,平均価格,651,-,-,-,-,-,-,-,-,-,651,-,-
埼玉,数量,1948,145,161,560,322,0,0,9,0,0,17,433,301
