検索結果／出荷地別取扱実績（活ひらめ）,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成30年1月,平成30年2月,平成30年3月,平成30年4月,平成30年5月,平成30年6月,平成30年7月,平成30年8月,平成30年9月,平成30年10月,平成30年11月,平成30年12月
千葉,金額,147082605,13238531,33432206,34817098,17634500,6627126,2038186,1586907,5391475,5906752,4248139,8448665,13713020
千葉,平均価格,2495,3435,3222,2281,1775,1811,1333,1744,3037,2390,2817,2891,2892
東京,数量,443163,45868,35785,39159,28319,31610,27259,31613,42950,36463,32978,32779,58380
東京,金額,991075146,107243872,81645764,87322022,63100202,69167432,57423190,68993540,94410059,79562500,72792476,73290276,136123813
東京,平均価格,2236,2338,2282,2230,2228,2188,2107,2182,2198,2182,2207,2236,2332
神奈川,数量,20119,1178,1998,5400,2426,662,561,820,1472,2027,1439,1001,1135
神奈川,金額,45557572,3824668,5800777,10832111,3689120,913959,745279,1618802,4966918,4938812,3182072,2251429,2793625
神奈川,平均価格,2264,3247,2903,2006,1521,1381,1328,1974,3374,2437,2211,2249,2461
新潟,数量,2274,56,0,583,545,758,232,7,0,0,0,56,37
新潟,金額,4467793,153566,0,1405687,1018436,1313447,352794,8273,0,0,0,133434,82156
新潟,平均価格,1965,2742,-,2411,1869,1733,1521,1182,-,-,-,2383,2220
石川,数量,34,0,0,0,10,10,10,0,0,0,0,4,0
石川,金額,41363,0,0,0,12398,15941,9741,0,0,0,0,3283,0
石川,平均価格,1217,-,-,-,1240,1594,974,-,-,-,-,821,-
福井,数量,10,0,0,0,10,0,0,0,0,0,0,0,0
福井,金額,16362,0,0,0,16362,0,0,0,0,0,0,0,0
福井,平均価格,1636,-,-,-,1636,-,-,-,-,-,-,-,-
静岡,数量,2490,52,77,774,851,321,69,27,0,0,9,128,182
静岡,金額,3519220,98389,99739,1102047,1169125,438693,82944,22583,0,0,16340,133617,355743
静岡,平均価格,1413,1892,1295,1424,1374,1367,1202,836,-,-,1816,1044,1955
愛知,数量,1492,1178,207,18,0,3,0,7,0,0,0,4,75
愛知,金額,3738460,2992957,556871,21448,0,4212,0,15919,0,0,0,7992,139061
愛知,平均価格,2506,2541,2690,1192,-,1404,-,2274,-,-,-,1998,1854
三重,数量,16975,2262,3624,2635,1290,1207,1648,897,597,428,590,545,1252
三重,金額,40348924,6234807,10109438,5861099,2602020,2647045,3050782,2002834,1326536,961921,1408805,1298380,2845257
三重,平均価格,2377,2756,2790,2224,2017,2193,1851,2233,2222,2247,2388,2382,2273
京都,数量,1362,868,120,73,129,130,16,22,2,0,0,2,0
京都,金額,3214042,2285161,394728,134405,195556,159718,15681,24592,2948,0,0,1253,0
京都,平均価格,2360,2633,3289,1841,1516,1229,980,1118,1474,-,-,627,-
大阪,数量,144,0,0,0,0,0,0,0,0,0,18,53,73
大阪,金額,609465,0,0,0,0,0,0,0,0,0,47617,207726,354122
大阪,平均価格,4232,-,-,-,-,-,-,-,-,-,2645,3919,4851
兵庫,数量,2587,526,222,60,170,52,13,5,24,51,146,499,819
兵庫,金額,11974541,2489223,1085739,363723,387320,104760,19667,9623,95149,161060,691761,2329875,4236641
兵庫,平均価格,4629,4732,4891,6062,2278,2015,1513,1925,3965,3158,4738,4669,5173
和歌山,数量,74,19,34,21,0,0,0,0,0,0,0,0,0
和歌山,金額,216701,50446,124686,41569,0,0,0,0,0,0,0,0,0
和歌山,平均価格,2928,2655,3667,1979,-,-,-,-,-,-,-,-,-
島根,数量,1671,130,193,179,0,1058,5,0,1,48,30,10,17
島根,金額,3002131,325644,376098,257190,0,1747236,5530,0,3888,107881,81734,39636,57294
島根,平均価格,1797,2505,1949,1437,-,1651,1106,-,3888,2248,2724,3964,3370
広島,数量,3,0,0,0,0,0,0,0,0,3,0,0,0
広島,金額,9720,0,0,0,0,0,0,0,0,9720,0,0,0
広島,平均価格,3240,-,-,-,-,-,-,-,-,3240,-,-,-
山口,数量,10,0,0,0,0,0,0,0,0,0,0,0,10
山口,金額,39809,0,0,0,0,0,0,0,0,0,0,0,39809
山口,平均価格,3981,-,-,-,-,-,-,-,-,-,-,-,3981
徳島,数量,959,83,527,63,19,0,0,0,247,0,0,7,13
徳島,金額,2737171,327995,1977122,175154,35845,0,0,0,168567,0,0,19246,33242
徳島,平均価格,2854,3952,3752,2780,1887,-,-,-,682,-,-,2749,2557
香川,数量,25,0,0,0,0,0,0,25,0,0,0,0,0
香川,金額,54000,0,0,0,0,0,0,54000,0,0,0,0,0
香川,平均価格,2160,-,-,-,-,-,-,2160,-,-,-,-,-
愛媛,数量,71622,5196,6436,6460,6506,6823,4982,4568,5992,6780,5765,5523,6591
愛媛,金額,153401215,11122651,13652248,13764893,14588945,14509035,10416594,9496662,12543470,13907348,12490960,12201522,14706887
愛媛,平均価格,2142,2141,2121,2131,2242,2126,2091,2079,2093,2051,2167,2209,2231
福岡,数量,40694,2305,3899,2246,3535,3998,4191,3542,3209,3429,3891,3422,3027
福岡,金額,80005005,4337539,7573445,4263254,6875952,7712337,8431632,7169556,6260117,6345725,7788349,6911948,6335151
福岡,平均価格,1966,1882,1942,1898,1945,1929,2012,2024,1951,1851,2002,2020,2093
長崎,数量,6923,773,2676,2850,32,35,24,6,2,0,8,59,458
長崎,金額,20871145,2797311,9391902,7299545,56020,55339,25369,6696,7938,0,18166,120388,1092471
長崎,平均価格,3015,3619,3510,2561,1751,1581,1057,1116,3969,-,2271,2040,2385
熊本,数量,761,55,558,146,0,0,0,2,0,0,0,0,0
熊本,金額,1874953,262915,1279460,322642,0,0,0,9936,0,0,0,0,0
熊本,平均価格,2464,4780,2293,2210,-,-,-,4968,-,-,-,-,-
大分,数量,1022,100,187,12,3,70,63,60,50,61,195,107,114
大分,金額,3035468,291028,501464,26320,10022,215967,198570,181333,155973,181635,596603,320133,356420
大分,平均価格,2970,2910,2682,2193,3341,3085,3152,3022,3119,2978,3060,2992,3126
