検索結果／出荷地別取扱実績（活ひらめ）,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成30年1月,平成30年2月,平成30年3月,平成30年4月,平成30年5月,平成30年6月,平成30年7月,平成30年8月,平成30年9月,平成30年10月,平成30年11月,平成30年12月
合計,数量,866529,76299,74264,80627,60694,61105,60284,64616,70915,73088,68944,70870,104823
合計,金額,2061057482,202878940,193829963,180869199,128581558,126933241,114197815,132631277,176704472,180156540,182522147,179644483,262107847
合計,平均価格,2379,2659,2610,2243,2119,2077,1894,2053,2492,2465,2647,2535,2500
北海道,数量,5033,491,2,0,0,145,5,173,47,948,1150,1421,651
北海道,金額,15476607,2017104,2160,0,0,186819,6329,217252,156298,2604508,3649911,4816503,1819723
北海道,平均価格,3075,4108,1080,-,-,1288,1266,1256,3325,2747,3174,3390,2795
青森,数量,43179,3902,1266,812,2051,3751,6304,6563,3631,3381,1949,3629,5940
青森,金額,127247084,17830745,6726483,3182874,6872085,8807434,11183008,13603779,13220453,10386963,5894580,9192172,20346508
青森,平均価格,2947,4570,5313,3920,3351,2348,1774,2073,3641,3072,3024,2533,3425
岩手,数量,3,0,1,0,2,0,0,0,0,0,0,0,0
岩手,金額,3672,0,1080,0,2592,0,0,0,0,0,0,0,0
岩手,平均価格,1224,-,1080,-,1296,-,-,-,-,-,-,-,-
宮城,数量,78990,3791,1020,563,862,3224,9860,8027,3781,14414,16226,10836,6386
宮城,金額,244654417,17013180,5821978,2568413,2551908,5296860,14712469,15561844,14415467,49159520,59335106,38195604,20022068
宮城,平均価格,3097,4488,5708,4562,2960,1643,1492,1939,3813,3411,3657,3525,3135
秋田,数量,5919,188,292,553,803,1659,1180,220,43,7,264,462,248
秋田,金額,21025947,856332,1771264,2906680,2984513,4506174,2545152,679717,207490,20196,1022793,2058563,1467073
秋田,平均価格,3552,4555,6066,5256,3717,2716,2157,3090,4825,2885,3874,4456,5916
山形,数量,86,0,0,0,86,0,0,0,0,0,0,0,0
山形,金額,172778,0,0,0,172778,0,0,0,0,0,0,0,0
山形,平均価格,2009,-,-,-,2009,-,-,-,-,-,-,-,-
福島,数量,18461,58,118,4,7,542,1892,1034,0,845,1611,4716,7634
福島,金額,42312930,160595,281403,9936,16643,814052,2373516,1467363,0,1694326,5053688,11575180,18866228
福島,平均価格,2292,2769,2385,2484,2378,1502,1255,1419,-,2005,3137,2454,2471
茨城,数量,41495,3366,4647,2749,3102,1387,441,6088,7092,1732,1167,2685,7039
茨城,金額,93271236,6924281,11223908,4191089,4589216,1689655,561382,9900066,23371726,4207673,4203047,6087658,16321535
茨城,平均価格,2248,2057,2415,1525,1479,1218,1273,1626,3296,2429,3602,2267,2319
千葉,数量,58949,3854,10375,15267,9936,3660,1529,910,1775,2471,1508,2922,4742
