検索結果／出荷地別取扱実績（活ひらめ）,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成17年1月,平成17年2月,平成17年3月,平成17年4月,平成17年5月,平成17年6月,平成17年7月,平成17年8月,平成17年9月,平成17年10月,平成17年11月,平成17年12月
合計,数量,1502489,128869,128131,136778,127977,119213,107291,101409,103198,112767,123908,126771,186177
合計,金額,3093482569,299461051,278077841,278054914,233441649,199278018,162631963,170433898,198756372,264703624,296234089,279820637,432588513
合計,平均価格,2059,2324,2170,2033,1824,1672,1516,1681,1926,2347,2391,2207,2324
北海道,数量,5245,28,0,0,5,119,725,1272,805,677,406,154,1054
北海道,金額,19540371,92874,0,0,16801,221537,993749,2264249,2770198,3321656,2178425,567981,7112901
北海道,平均価格,3726,3317,-,-,3360,1862,1371,1780,3441,4906,5366,3688,6748
青森,数量,48602,10091,1110,451,1044,3810,9284,6793,3490,2634,3284,2071,4540
青森,金額,169196499,46768357,6249217,2206944,4167016,8273567,15095568,16793398,14130794,13123613,15622798,7211892,19553335
青森,平均価格,3481,4635,5630,4893,3991,2172,1626,2472,4049,4982,4757,3482,4307
岩手,数量,183,9,0,3,6,9,0,0,34,29,63,30,0
岩手,金額,875660,38430,0,7613,19635,20276,0,0,158919,151732,350186,128869,0
岩手,平均価格,4785,4270,-,2538,3273,2253,-,-,4674,5232,5559,4296,-
宮城,数量,68498,4097,464,316,846,9073,17574,7107,3501,7536,8968,6326,2690
宮城,金額,251230070,20051505,2730816,1771301,3133473,20369632,29024418,18912553,13977230,42328960,51442484,30842672,16645026
宮城,平均価格,3668,4894,5885,5605,3704,2245,1652,2661,3992,5617,5736,4876,6188
秋田,数量,1092,66,30,9,24,0,311,102,21,191,182,57,99
秋田,金額,3913482,278777,146467,50484,92747,0,434595,294697,48595,1026627,878213,196582,465698
秋田,平均価格,3584,4224,4882,5609,3864,-,1397,2889,2314,5375,4825,3449,4704
福島,数量,17804,807,11,38,50,53,1445,2623,2776,3048,2279,2467,2207
福島,金額,68250474,3267094,26408,127261,282955,104822,2232625,6251909,10138565,16336167,10808531,7988614,10685523
福島,平均価格,3833,4048,2401,3349,5659,1978,1545,2383,3652,5360,4743,3238,4842
茨城,数量,31624,2193,1224,539,471,1163,5254,4098,4196,2202,1366,4810,4108
茨城,金額,91183332,6834330,4188793,1877184,1463420,1835822,6362834,7027481,12724893,10432892,5847550,14120402,18467731
茨城,平均価格,2883,3116,3422,3483,3107,1579,1211,1715,3033,4738,4281,2936,4496
埼玉,数量,1595,498,498,176,256,128,39,0,0,0,0,0,0
埼玉,金額,4983410,2111105,1403914,504462,729492,168190,66247,0,0,0,0,0,0
埼玉,平均価格,3124,4239,2819,2866,2850,1314,1699,-,-,-,-,-,-
千葉,数量,139401,8728,20976,21513,21097,17014,5852,7660,4468,3847,5402,10453,12391
千葉,金額,397843870,30611332,62801324,63440863,47536729,28674278,9388072,12011372,9120409,11728835,20859811,38135647,63535198
千葉,平均価格,2854,3507,2994,2949,2253,1685,1604,1568,2041,3049,3861,3648,5128
東京,数量,374136,29212,25245,29828,28915,27090,16826,19494,30558,39993,34400,34188,58387
東京,金額,651878434,52208701,45795719,52649948,48961191,43651667,27488692,31341841,50924356,71614642,61753975,60870222,104617480
東京,平均価格,1742,1787,1814,1765,1693,1611,1634,1608,1666,1791,1795,1780,1792
神奈川,数量,15189,758,2724,5032,2942,592,61,23,58,138,380,1718,763
神奈川,金額,54098122,2763764,12192705,18803110,9367948,1479576,72238,55199,190606,657508,1317197,4889926,2308345
神奈川,平均価格,3562,3646,4476,3737,3184,2499,1184,2400,3286,4765,3466,2846,3025
新潟,数量,6800,13,40,84,778,4433,1254,21,0,19,70,58,30
新潟,金額,15819530,45855,167349,320255,2696173,9809714,2011540,44174,0,105284,311742,152295,155149
新潟,平均価格,2326,3527,4184,3813,3466,2213,1604,2104,-,5541,4453,2626,5172
