検索結果／出荷地別取扱実績（ひらめ（国内））
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成16年1月,平成16年2月,平成16年3月,平成16年4月,平成16年5月,平成16年6月,平成16年7月,平成16年8月,平成16年9月,平成16年10月,平成16年11月,平成16年12月,
静岡,平均価格,2141,2893,1006,2510,2179,1844,1401,1127,-,21000,-,-,-,
愛知,数量,103,4,18,21,22,6,29,0,0,0,0,2,1,
愛知,金額,238008,8936,48962,58065,59443,13125,41423,0,0,0,0,3938,4116,
愛知,平均価格,2311,2234,2720,2765,2702,2188,1428,-,-,-,-,1969,4116,
三重,数量,15015,1451,933,484,1082,1489,1726,2581,647,1612,1582,1119,309,
三重,金額,10046946,1243497,819856,580923,1007190,934194,1040855,1464220,405403,892545,907666,559537,191060,
三重,平均価格,669,857,879,1200,931,627,603,567,627,554,574,500,618,
京都,数量,921,0,11,0,115,520,0,0,0,61,27,74,113,
京都,金額,1347500,0,17514,0,215295,683071,0,0,0,73323,35438,114946,207913,
京都,平均価格,1463,-,1592,-,1872,1314,-,-,-,1202,1313,1553,1840,
大阪,数量,1524,79,105,165,109,125,125,205,118,185,131,99,78,
大阪,金額,2041560,108675,139965,239715,125160,159705,128647,267960,204332,257670,163380,141876,104475,
大阪,平均価格,1340,1376,1333,1453,1148,1278,1029,1307,1732,1393,1247,1433,1339,
兵庫,数量,71,0,12,16,0,0,0,6,0,0,0,4,33,
兵庫,金額,290736,0,36855,46316,0,0,0,2993,0,0,0,21315,183257,
兵庫,平均価格,4095,-,3071,2895,-,-,-,499,-,-,-,5329,5553,
和歌山,数量,120,3,2,106,2,0,0,0,0,7,0,0,0,
和歌山,金額,292951,6090,2363,267446,4200,0,0,0,0,12852,0,0,0,
和歌山,平均価格,2441,2030,1182,2523,2100,-,-,-,-,1836,-,-,-,
鳥取,数量,1518,33,644,137,208,193,16,0,0,0,58,91,138,
鳥取,金額,2192072,78100,533729,298580,417829,268951,13682,0,0,0,125088,134601,321512,
鳥取,平均価格,1444,2367,829,2179,2009,1394,855,-,-,-,2157,1479,2330,
島根,数量,7875,916,1560,736,292,645,0,0,0,46,356,867,2457,
島根,金額,13019546,1293121,2459637,1390057,416211,888754,0,0,0,112277,752619,1187742,4519128,
島根,平均価格,1653,1412,1577,1889,1425,1378,-,-,-,2441,2114,1370,1839,
岡山,数量,100,44,0,24,0,0,23,0,0,9,0,0,0,
岡山,金額,103029,63106,0,22324,0,0,12769,0,0,4830,0,0,0,
岡山,平均価格,1030,1434,-,930,-,-,555,-,-,537,-,-,-,
広島,数量,11,0,0,0,0,0,11,0,0,0,0,0,0,
広島,金額,13272,0,0,0,0,0,13272,0,0,0,0,0,0,
広島,平均価格,1207,-,-,-,-,-,1207,-,-,-,-,-,-,
山口,数量,19459,3476,2344,1563,1957,1458,0,5,208,638,2378,2349,3083,
山口,金額,36773219,6064810,3915884,2951539,3134878,1932260,0,7098,518869,1733324,5870835,4194737,6448985,
山口,平均価格,1890,1745,1671,1888,1602,1325,-,1420,2495,2717,2469,1786,2092,
徳島,数量,32,13,0,3,5,11,0,0,0,0,0,0,0,
徳島,金額,71738,37874,0,5828,12012,16024,0,0,0,0,0,0,0,
徳島,平均価格,2242,2913,-,1943,2402,1457,-,-,-,-,-,-,-,
香川,数量,392,7,1,58,111,71,40,7,23,5,20,8,41,
香川,金額,793753,15152,2520,114335,213141,103835,58958,7350,32487,7718,49130,12369,176758,
香川,平均価格,2025,2165,2520,1971,1920,1462,1474,1050,1412,1544,2457,1546,4311,
愛媛,数量,4087,357,180,200,316,258,450,314,378,384,230,190,830,
愛媛,金額,12283164,1364970,438383,461991,554378,688417,1337619,721141,1127562,1230137,707925,547750,3102891,
愛媛,平均価格,3005,3823,2435,2310,1754,2668,2972,2297,2983,3203,3078,2883,3738,
高知,数量,873,79,206,299,205,21,3,3,0,4,0,25,28,
高知,金額,1924783,159842,489801,733815,411500,31291,3150,4211,0,11550,0,18313,61310,
高知,平均価格,2205,2023,2378,2454,2007,1490,1050,1404,-,2888,-,733,2190,
福岡,数量,2651,544,513,720,418,41,0,4,39,109,92,54,117,
福岡,金額,6044995,1190503,1300641,1711423,804576,56921,0,11760,105032,292396,196731,136894,238118,
福岡,平均価格,2280,2188,2535,2377,1925,1388,-,2940,2693,2683,2138,2535,2035,
佐賀,数量,5342,400,499,500,431,576,377,340,294,353,377,456,739,
佐賀,金額,23575263,1779895,2223966,2044286,1859995,2404228,1576031,1560649,1346901,1621597,1719029,2064401,3374285,
佐賀,平均価格,4413,4450,4457,4089,4316,4174,4180,4590,4581,4594,4560,4527,4566,
長崎,数量,22121,3833,5127,7506,4359,632,30,43,12,7,17,149,406,
長崎,金額,50958596,10194945,11229648,17387192,9197977,1302998,48658,64691,35120,27983,51345,331936,1086103,
長崎,平均価格,2304,2660,2190,2316,2110,2062,1622,1504,2927,3998,3020,2228,2675,
熊本,数量,10832,1891,4708,3271,897,13,0,0,0,0,2,0,50,
熊本,金額,26314525,5203564,10887650,7961432,2036114,34332,0,0,0,0,5985,0,185448,
熊本,平均価格,2429,2752,2313,2434,2270,2641,-,-,-,-,2993,-,3709,
大分,数量,16590,932,1221,2094,1483,1174,895,929,1014,1177,1619,1942,2110,
大分,金額,27750347,1983281,2241582,3572162,2518381,1643786,1223010,1251092,1673229,2036181,2950585,3253770,3403288,
大分,平均価格,1673,2128,1836,1706,1698,1400,1366,1347,1650,1730,1822,1675,1613,
宮崎,数量,983,327,283,71,44,45,3,0,0,17,48,64,81,
宮崎,金額,2785483,1004816,747369,187786,94869,97179,8401,0,0,65153,176215,155601,248094,
宮崎,平均価格,2834,3073,2641,2645,2156,2160,2800,-,-,3833,3671,2431,3063,
鹿児島,数量,7599,2069,2718,1417,386,210,24,6,16,13,31,116,593,
鹿児島,金額,22490545,6708342,7461493,4062918,1080573,509013,39219,9019,43921,24098,94229,360701,2097019,
鹿児島,平均価格,2960,3242,2745,2867,2799,2424,1634,1503,2745,1854,3040,3109,3536,
