検索結果／出荷地別取扱実績（ひらめ（国内））
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成16年1月,平成16年2月,平成16年3月,平成16年4月,平成16年5月,平成16年6月,平成16年7月,平成16年8月,平成16年9月,平成16年10月,平成16年11月,平成16年12月,
合計,数量,506849,40800,43515,41795,39430,52318,55291,45487,28303,28748,32876,44341,53945,
合計,金額,990104606,91989173,89540885,93455158,79702995,89258422,81940594,72802548,59954184,61034169,70052745,80421040,119952693,
合計,平均価格,1953,2255,2058,2236,2021,1706,1482,1601,2118,2123,2131,1814,2224,
北海道,数量,50765,654,1035,243,854,3882,13196,6114,2523,2598,3224,8053,8389,
北海道,金額,77735968,1270610,1860685,220500,779301,4805942,15755773,8314338,4247809,4512950,6622151,14320822,15025087,
北海道,平均価格,1531,1943,1798,907,913,1238,1194,1360,1684,1737,2054,1778,1791,
青森,数量,63238,2915,3042,1866,4350,7612,9126,5410,5313,6273,6161,6483,4687,
青森,金額,115085733,5642574,3924268,3185103,7638341,12297364,13870226,8518688,9697486,12484135,13784724,11671585,12371239,
青森,平均価格,1820,1936,1290,1707,1756,1616,1520,1575,1825,1990,2237,1800,2639,
岩手,数量,3829,179,29,43,20,239,282,135,122,916,640,489,735,
岩手,金額,7948347,423407,48679,61982,46652,470685,435063,174516,290508,1753714,1459216,1049176,1734749,
岩手,平均価格,2076,2365,1679,1441,2333,1969,1543,1293,2381,1915,2280,2146,2360,
宮城,数量,7846,428,240,285,459,1691,1759,1143,526,448,236,242,389,
宮城,金額,21592002,1974148,1173409,1365400,1624389,2998727,3173535,2727160,1677728,1182575,912219,947301,1835411,
宮城,平均価格,2752,4612,4889,4791,3539,1773,1804,2386,3190,2640,3865,3914,4718,
秋田,数量,632,0,5,15,70,419,19,0,0,51,16,26,11,
秋田,金額,1146929,0,17588,37234,207984,649069,25358,0,0,58716,56910,71558,22512,
秋田,平均価格,1815,-,3518,2482,2971,1549,1335,-,-,1151,3557,2752,2047,
山形,数量,476,0,13,0,9,190,119,0,0,0,27,86,32,
山形,金額,544477,0,11004,0,23101,220226,88805,0,0,0,51398,90754,59189,
山形,平均価格,1144,-,846,-,2567,1159,746,-,-,-,1904,1055,1850,
福島,数量,17576,1309,715,573,482,2030,3728,2170,330,553,1075,2281,2330,
福島,金額,29803711,2549278,1587154,1441138,1099913,3834658,5458723,3687997,978894,1376662,1637629,2706003,3445662,
福島,平均価格,1696,1948,2220,2515,2282,1889,1464,1700,2966,2489,1523,1186,1479,
茨城,数量,43504,1434,555,184,635,3833,8494,9437,3323,1986,3189,4243,6191,
茨城,金額,92502861,3896901,1455101,488978,1662147,7502525,13150817,16996274,10785107,6598131,7640463,7973787,14352630,
茨城,平均価格,2126,2718,2622,2657,2618,1957,1548,1801,3246,3322,2396,1879,2318,
埼玉,数量,1172,0,8,2,1,557,543,0,0,0,0,0,61,
埼玉,金額,1136935,0,19845,1784,2625,583029,478705,0,0,0,0,0,50947,
埼玉,平均価格,970,-,2481,892,2625,1047,882,-,-,-,-,-,835,
千葉,数量,46078,2204,2395,3747,6307,8749,3678,5585,4430,2239,1090,1769,3885,
千葉,金額,107453007,6765937,7751848,12798676,16472122,16633944,5634475,8194114,8993749,6411559,2832705,2855596,12108282,
千葉,平均価格,2332,3070,3237,3416,2612,1901,1532,1467,2030,2864,2599,1614,3117,
東京,数量,146274,14703,13985,14650,13254,14821,10339,10901,8925,9003,10168,10081,15444,
東京,金額,280830084,29872918,25913321,27847872,24969439,26336853,18075542,18644875,17716651,18091350,21143405,20062845,32155013,
東京,平均価格,1920,2032,1853,1901,1884,1777,1748,1710,1985,2009,2079,1990,2082,
神奈川,数量,4386,73,170,495,155,19,2,17,10,21,51,2859,514,
神奈川,金額,8295656,129214,357105,1317948,246861,34491,3465,31123,17220,38483,61268,5310496,747982,
神奈川,平均価格,1891,1770,2101,2663,1593,1815,1733,1831,1722,1833,1201,1857,1455,
新潟,数量,1226,25,15,98,154,457,153,104,45,12,31,83,49,
新潟,金額,1595205,19163,17325,167940,266723,654997,128051,90060,38546,13755,44457,99690,54498,
新潟,平均価格,1301,767,1155,1714,1732,1433,837,866,857,1146,1434,1201,1112,
富山,数量,9,1,0,0,0,0,0,0,0,0,0,1,7,
富山,金額,29589,1575,0,0,0,0,0,0,0,0,0,420,27594,
富山,平均価格,3288,1575,-,-,-,-,-,-,-,-,-,420,3942,
石川,数量,595,319,203,30,0,0,0,16,7,20,0,0,0,
石川,金額,1256668,650373,385606,77859,0,0,0,37695,17630,87505,0,0,0,
石川,平均価格,2112,2039,1900,2595,-,-,-,2356,2519,4375,-,-,-,
福井,数量,417,0,0,85,65,191,26,0,0,0,0,36,14,
福井,金額,496085,0,0,123722,122651,209727,11267,0,0,0,0,20580,8138,
福井,平均価格,1190,-,-,1456,1887,1098,433,-,-,-,-,572,581,
静岡,数量,607,98,20,88,173,140,75,12,0,1,0,0,0,
静岡,金額,1299318,283556,20129,220889,377024,258101,105095,13524,0,21000,0,0,0,
