検索結果／出荷地別取扱実績（活ひらめ）,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成19年1月,平成19年2月,平成19年3月,平成19年4月,平成19年5月,平成19年6月,平成19年7月,平成19年8月,平成19年9月,平成19年10月,平成19年11月,平成19年12月
合計,数量,1228561,113724,101551,106608,88789,91960,91271,80170,90180,94639,102532,113813,153324
合計,金額,2862046306,273565483,254958998,262211264,199565526,191648133,156429747,164176650,201114084,246947900,262759163,278334234,370335124
合計,平均価格,2330,2406,2511,2460,2248,2084,1714,2048,2230,2609,2563,2446,2415
北海道,数量,2927,210,33,0,0,147,75,23,23,1326,499,325,266
北海道,金額,12016796,1088391,85377,0,0,315277,147780,55998,88599,5397841,2537759,1321548,978226
北海道,平均価格,4105,5183,2587,-,-,2145,1970,2435,3852,4071,5086,4066,3678
青森,数量,98198,6180,761,744,1434,8697,17484,10326,7724,6424,9028,14286,15110
青森,金額,253722598,18184588,3216361,3183139,4770772,16561162,23376759,21104721,23516972,25510543,27933745,39091550,47272286
青森,平均価格,2584,2942,4226,4278,3327,1904,1337,2044,3045,3971,3094,2736,3129
岩手,数量,457,0,0,0,0,65,31,20,80,84,46,23,108
岩手,金額,1472637,0,0,0,0,115691,45330,53855,260286,353916,233081,124678,285800
岩手,平均価格,3222,-,-,-,-,1780,1462,2693,3254,4213,5067,5421,2646
宮城,数量,92499,6685,1405,1041,2587,10037,16383,9506,5722,7016,9142,9893,13082
宮城,金額,306740904,24675591,7118164,5920451,9162831,22331578,27188404,22718163,19971196,34382868,44096921,40380763,48793974
宮城,平均価格,3316,3691,5066,5687,3542,2225,1660,2390,3490,4901,4824,4082,3730
秋田,数量,2987,71,16,66,972,371,88,119,215,309,454,294,12
秋田,金額,10658072,326372,40320,358208,3671053,1058967,123690,193957,664930,1165404,1705607,1303122,46442
秋田,平均価格,3568,4597,2520,5427,3777,2854,1406,1630,3093,3772,3757,4432,3870
山形,数量,32,7,0,0,25,0,0,0,0,0,0,0,0
山形,金額,56364,28539,0,0,27825,0,0,0,0,0,0,0,0
山形,平均価格,1761,4077,-,-,1113,-,-,-,-,-,-,-,-
福島,数量,20970,3058,510,109,326,1105,2877,1871,1475,2077,2764,2100,2698
福島,金額,62081447,9683829,2064707,470285,1187630,2319395,4104009,4347361,4712193,7851519,10511088,6543187,8286244
福島,平均価格,2960,3167,4048,4315,3643,2099,1426,2324,3195,3780,3803,3116,3071
茨城,数量,45966,6744,2921,432,853,873,6688,6142,2640,3909,2296,4516,7952
茨城,金額,112026147,14802708,8855779,1178128,1955815,1633035,7300618,9051547,7199308,15569714,8970774,13225118,22283603
茨城,平均価格,2437,2195,3032,2727,2293,1871,1092,1474,2727,3983,3907,2929,2802
埼玉,数量,1364,5,0,0,19,0,0,0,0,0,95,1103,142
