検索結果／出荷地別取扱実績（ひらめ（国内））
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成27年1月,平成27年2月,平成27年3月,平成27年4月,平成27年5月,平成27年6月,平成27年7月,平成27年8月,平成27年9月,平成27年10月,平成27年11月,平成27年12月,
大阪,数量,633,131,67,78,93,117,88,59,0,0,0,0,0,
大阪,金額,386620,82644,39506,45994,54840,75974,52871,34791,0,0,0,0,0,
大阪,平均価格,611,631,590,590,590,649,601,590,-,-,-,-,-,
兵庫,数量,1686,86,88,84,37,1,11,27,19,498,33,620,182,
兵庫,金額,5241737,651769,527020,614218,157033,1555,35619,146620,120346,647665,234653,830400,1274839,
兵庫,平均価格,3109,7579,5989,7312,4244,1555,3238,5430,6334,1301,7111,1339,7005,
和歌山,数量,259,22,0,0,6,81,44,51,55,0,0,0,0,
和歌山,金額,493737,24127,0,0,12150,164210,86831,97884,108535,0,0,0,0,
和歌山,平均価格,1906,1097,-,-,2025,2027,1973,1919,1973,-,-,-,-,
鳥取,数量,317,63,8,31,39,47,0,0,0,0,15,109,5,
鳥取,金額,306071,74887,8748,26525,42552,31308,0,0,0,0,16092,100883,5076,
鳥取,平均価格,966,1189,1094,856,1091,666,-,-,-,-,1073,926,1015,
島根,数量,1690,103,18,121,239,118,0,0,0,98,213,698,82,
島根,金額,1807168,119782,19214,119243,370663,77609,0,0,0,114231,231597,609688,145141,
島根,平均価格,1069,1163,1067,985,1551,658,-,-,-,1166,1087,873,1770,
岡山,数量,17,0,0,0,11,0,0,0,0,0,6,0,0,
岡山,金額,16956,0,0,0,11664,0,0,0,0,0,5292,0,0,
岡山,平均価格,997,-,-,-,1060,-,-,-,-,-,882,-,-,
山口,数量,1346,0,276,441,210,13,17,0,7,2,34,196,150,
山口,金額,3310627,0,729052,1143147,520128,30078,13694,0,18662,2052,75946,431912,345956,
山口,平均価格,2460,-,2641,2592,2477,2314,806,-,2666,1026,2234,2204,2306,
徳島,数量,5,3,0,0,2,0,0,0,0,0,0,0,0,
徳島,金額,5368,4018,0,0,1350,0,0,0,0,0,0,0,0,
徳島,平均価格,1074,1339,-,-,675,-,-,-,-,-,-,-,-,
香川,数量,210,70,0,0,60,48,9,0,0,0,11,12,0,
香川,金額,262633,146750,0,0,46234,47725,2895,0,0,0,7322,11707,0,
香川,平均価格,1251,2096,-,-,771,994,322,-,-,-,666,976,-,
愛媛,数量,11804,1717,960,984,1742,725,670,878,869,689,622,548,1400,
愛媛,金額,52082238,8731443,4503041,4665582,3727060,3511731,3046737,3193064,4085518,3446571,3095856,2759371,7316264,
愛媛,平均価格,4412,5085,4691,4741,2140,4844,4547,3637,4701,5002,4977,5035,5226,
高知,数量,146,0,58,46,26,12,2,0,0,0,0,0,2,
高知,金額,177044,0,65199,68397,24710,13392,1458,0,0,0,0,0,3888,
高知,平均価格,1213,-,1124,1487,950,1116,729,-,-,-,-,-,1944,
福岡,数量,1491,104,729,199,88,31,46,66,73,55,76,24,0,
福岡,金額,1535047,119610,953489,172724,45144,33372,41688,34884,34992,34884,42228,22032,0,
福岡,平均価格,1030,1150,1308,868,513,1077,906,529,479,634,556,918,-,
佐賀,数量,12,10,2,0,0,0,0,0,0,0,0,0,0,
佐賀,金額,34876,30316,4560,0,0,0,0,0,0,0,0,0,0,
佐賀,平均価格,2906,3032,2280,-,-,-,-,-,-,-,-,-,-,
長崎,数量,32519,4437,13240,12655,1492,340,23,6,15,3,14,20,274,
長崎,金額,54578998,9035266,22273294,19766302,2308932,476087,22669,10444,20639,5941,26222,36990,596212,
長崎,平均価格,1678,2036,1682,1562,1548,1400,986,1741,1376,1980,1873,1850,2176,
熊本,数量,11099,2386,3599,4418,514,0,0,0,0,0,165,0,17,
熊本,金額,20052092,4353790,6250208,8107511,976698,0,0,0,0,0,330286,0,33599,
熊本,平均価格,1807,1825,1737,1835,1900,-,-,-,-,-,2002,-,1976,
大分,数量,612,211,150,95,41,29,2,14,3,7,4,19,37,
大分,金額,1069315,384503,254609,164257,67296,34096,1901,18004,6480,11826,10870,57596,57877,
大分,平均価格,1747,1822,1697,1729,1641,1176,951,1286,2160,1689,2718,3031,1564,
宮崎,数量,335,171,97,0,3,0,0,0,0,0,0,0,64,
宮崎,金額,598429,305780,131189,0,5076,0,0,0,0,0,0,0,156384,
宮崎,平均価格,1786,1788,1352,-,1692,-,-,-,-,-,-,-,2444,
鹿児島,数量,4317,1569,1607,771,43,20,0,0,0,0,12,69,226,
鹿児島,金額,9709928,3369423,3325593,1749493,105917,42012,0,0,0,0,57164,284181,776145,
鹿児島,平均価格,2249,2147,2069,2269,2463,2101,-,-,-,-,4764,4119,3434,
