検索結果／出荷地別取扱実績（ひらめ（国内））
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成27年1月,平成27年2月,平成27年3月,平成27年4月,平成27年5月,平成27年6月,平成27年7月,平成27年8月,平成27年9月,平成27年10月,平成27年11月,平成27年12月,
合計,数量,1150009,65546,70916,70999,84427,100676,172496,116967,44458,56401,147786,128980,90357,
合計,金額,1425572177,109187314,109263717,111312893,111399677,109959950,135850525,131945580,79075473,89561302,139353683,135746030,162916033,
合計,平均価格,1240,1666,1541,1568,1319,1092,788,1128,1779,1588,943,1052,1803,
北海道,数量,48357,312,111,3,53,2544,8657,3341,1435,6478,9034,12290,4099,
北海道,金額,56153741,520197,171169,8640,81636,2236247,6599478,3638105,2507462,8363726,12281119,13643786,6102176,
北海道,平均価格,1161,1667,1542,2880,1540,879,762,1089,1747,1291,1359,1110,1489,
青森,数量,190006,9238,653,407,2180,12184,35042,22121,6318,15609,34379,34710,17165,
青森,金額,196996038,12136598,1073574,602824,3707721,14162281,29434813,24638840,10576520,18618493,25804050,32388532,23851792,
青森,平均価格,1037,1314,1644,1481,1701,1162,840,1114,1674,1193,751,933,1390,
岩手,数量,16164,433,49,85,35,474,2142,2292,914,1563,1659,2667,3851,
岩手,金額,19669499,537117,64379,116390,30985,423443,1669715,2467146,1383820,2453090,2375926,3381567,4765921,
岩手,平均価格,1217,1240,1314,1369,885,893,780,1076,1514,1569,1432,1268,1238,
宮城,数量,386888,7113,14881,7296,6516,16128,84965,71460,20025,13983,76645,50058,17818,
宮城,金額,370840608,9187675,17035098,10073369,8607949,14709639,56839224,73876996,31602301,25778934,53176577,39468166,30484680,
宮城,平均価格,959,1292,1145,1381,1321,912,669,1034,1578,1844,694,788,1711,
秋田,数量,67,0,24,0,5,0,0,0,0,21,0,0,17,
秋田,金額,99353,0,33182,0,6739,0,0,0,0,31482,0,0,27950,
秋田,平均価格,1483,-,1383,-,1348,-,-,-,-,1499,-,-,1644,
山形,数量,3412,35,56,15,165,302,2667,14,0,33,22,95,8,
山形,金額,2710625,53784,72402,19537,213300,281840,1857194,13954,0,23058,33405,134980,7171,
山形,平均価格,794,1537,1293,1302,1293,933,696,997,-,699,1518,1421,896,
福島,数量,20551,256,390,279,1092,1329,6961,3356,580,184,1119,2300,2705,
福島,金額,20615445,242740,369673,282700,1028776,1113256,5354773,3645124,836751,231359,1517181,2611295,3381817,
福島,平均価格,1003,948,948,1013,942,838,769,1086,1443,1257,1356,1135,1250,
茨城,数量,177497,15172,12165,17573,28398,30193,11707,2870,4236,6894,13374,14936,19979,
茨城,金額,213789313,19154026,14565389,19913326,29238516,26645111,8950576,3346893,8137733,9882814,21392508,20124561,32437860,
茨城,平均価格,1204,1262,1197,1133,1030,882,765,1166,1921,1434,1600,1347,1624,
埼玉,数量,508,0,15,0,0,168,63,79,5,0,115,6,57,
埼玉,金額,649403,0,16848,0,0,200275,47628,74617,7290,0,64865,7290,230590,
埼玉,平均価格,1278,-,1123,-,-,1192,756,945,1458,-,564,1215,4045,
千葉,数量,131540,13553,14790,16054,32130,26360,5878,3153,2621,2888,2219,2102,9792,
千葉,金額,203767185,23241738,24488549,28505422,46057666,31748228,6423901,4561824,4663471,5179297,3518976,4050883,21327230,
千葉,平均価格,1549,1715,1656,1776,1433,1204,1093,1447,1779,1793,1586,1927,2178,
東京,数量,94766,7243,5881,6728,7314,8260,11521,6829,6939,7077,7829,7353,11792,
東京,金額,167698296,13775756,10334622,11062899,11181543,12210795,13559466,11368085,13752130,13629321,14603463,14325938,27894278,
東京,平均価格,1770,1902,1757,1644,1529,1478,1177,1665,1982,1926,1865,1948,2366,
神奈川,数量,7267,280,788,2184,1117,401,1316,180,177,159,97,106,462,
神奈川,金額,13858316,1187180,1548795,3413642,1829544,822479,1243773,477933,527157,451510,383211,422217,1550875,
神奈川,平均価格,1907,4240,1965,1563,1638,2051,945,2655,2978,2840,3951,3983,3357,
新潟,数量,1575,1,6,34,327,518,578,76,5,18,1,8,3,
新潟,金額,1064834,1685,7430,28307,222716,387860,339405,49664,2646,14807,562,4266,5486,
新潟,平均価格,676,1685,1238,833,681,749,587,653,529,823,562,533,1829,
富山,数量,540,446,0,0,0,0,0,0,0,0,0,8,86,
富山,金額,557524,491870,0,0,0,0,0,0,0,0,0,14688,50966,
富山,平均価格,1032,1103,-,-,-,-,-,-,-,-,-,1836,593,
石川,数量,137,2,0,24,4,32,8,21,0,0,38,8,0,
石川,金額,103431,7560,0,26136,9288,20520,1663,18878,0,0,13608,5778,0,
石川,平均価格,755,3780,-,1089,2322,641,208,899,-,-,358,722,-,
福井,数量,23,0,23,0,0,0,0,0,0,0,0,0,0,
福井,金額,27108,0,27108,0,0,0,0,0,0,0,0,0,0,
福井,平均価格,1179,-,1179,-,-,-,-,-,-,-,-,-,-,
静岡,数量,138,0,5,32,60,38,0,3,0,0,0,0,0,
静岡,金額,208883,0,6318,52412,104058,44529,0,1566,0,0,0,0,0,
静岡,平均価格,1514,-,1264,1638,1734,1172,-,522,-,-,-,-,-,
愛知,数量,196,27,0,52,41,26,2,9,1,0,17,0,21,
愛知,金額,193410,39086,0,45760,39118,21082,864,7279,1210,0,23459,0,15552,
愛知,平均価格,987,1448,-,880,954,811,432,809,1210,-,1380,-,741,
三重,数量,1790,347,180,310,344,105,77,55,161,142,33,13,23,
三重,金額,4831236,1167770,364459,518136,562675,371972,221689,217196,681810,640241,31245,10519,43524,
三重,平均価格,2699,3365,2025,1671,1636,3543,2879,3949,4235,4509,947,809,1892,
京都,数量,89,5,0,0,0,32,0,7,0,0,0,5,40,
京都,金額,69045,8424,0,0,0,21244,0,5789,0,0,0,6804,26784,
京都,平均価格,776,1685,-,-,-,664,-,827,-,-,-,1361,670,
