検索結果／出荷地別取扱実績（ひらめ（国内））,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成21年1月,平成21年2月,平成21年3月,平成21年4月,平成21年5月,平成21年6月,平成21年7月,平成21年8月,平成21年9月,平成21年10月,平成21年11月,平成21年12月
合計,数量,762388,55250,59041,51204,47713,68622,99150,63119,39011,54429,72794,58634,93421
合計,金額,1155157969,99032641,96419874,88845127,78396673,93152795,114489286,90367878,68135832,85516861,102018043,92516404,146266555
合計,平均価格,1515,1792,1633,1735,1643,1357,1155,1432,1747,1571,1401,1578,1566
北海道,数量,44543,682,119,8,35,1654,8409,4143,3249,2937,4507,6371,12429
北海道,金額,70546787,1363585,136995,8442,55115,1882130,7994587,5449230,5703924,7092062,9894555,13189530,17776632
北海道,平均価格,1584,1999,1151,1055,1575,1138,951,1315,1756,2415,2195,2070,1430
青森,数量,151254,12440,1657,1096,3933,14432,28412,11435,4298,16348,27838,7221,22144
青森,金額,182567527,22115881,2750022,1731565,5755638,18553303,29338934,14036143,7301922,19734519,27003107,9803979,24442514
青森,平均価格,1207,1778,1660,1580,1463,1286,1033,1227,1699,1207,970,1358,1104
岩手,数量,15047,381,54,30,70,1005,1508,1252,2023,2324,2551,2343,1506
岩手,金額,16859417,682211,59252,37360,81942,1110604,1200600,1325167,2323778,2750329,2868584,2871932,1547658
岩手,平均価格,1120,1791,1097,1245,1171,1105,796,1058,1149,1183,1124,1226,1028
宮城,数量,9584,471,663,747,170,1181,1832,1515,492,648,534,525,806
宮城,金額,13861957,664845,934244,1017891,247665,1587409,1931368,2173418,757732,1456623,1050934,928586,1111242
宮城,平均価格,1446,1412,1409,1363,1457,1344,1054,1435,1540,2248,1968,1769,1379
秋田,数量,3846,23,11,35,1281,1718,320,40,6,130,237,7,38
秋田,金額,5801541,33033,10364,52857,2198985,2500797,267197,29836,9450,224777,413901,10668,49676
秋田,平均価格,1508,1436,942,1510,1717,1456,835,746,1575,1729,1746,1524,1307
山形,数量,2962,191,48,89,320,873,692,43,8,250,214,68,166
山形,金額,3445984,295829,63410,126757,373868,909628,537943,18874,4599,487636,381340,63179,182921
山形,平均価格,1163,1549,1321,1424,1168,1042,777,439,575,1951,1782,929,1102
福島,数量,92566,3113,1509,368,1108,8785,19856,9025,4445,9292,10527,12106,12432
福島,金額,119224986,4069681,1866702,473189,1368664,11926997,22254151,13251634,8036355,12553263,13337479,14722401,15364470
福島,平均価格,1288,1307,1237,1286,1235,1358,1121,1468,1808,1351,1267,1216,1236
茨城,数量,73098,3615,4081,2879,5752,8584,13215,10358,3527,3656,3727,6528,7176
茨城,金額,108060889,6217435,5443288,3948468,8019340,10420053,12996976,14748799,7505056,6490815,6899493,11794839,13576327
茨城,平均価格,1478,1720,1334,1371,1394,1214,984,1424,2128,1775,1851,1807,1892
埼玉,数量,576,533,0,4,0,0,0,0,0,0,0,0,39
埼玉,金額,1507800,1421301,0,12600,0,0,0,0,0,0,0,0,73899
埼玉,平均価格,2618,2667,-,3150,-,-,-,-,-,-,-,-,1895
千葉,数量,72591,2987,4860,7327,14168,11488,3472,9338,3112,2313,2457,3613,7456
千葉,金額,133533879,6976928,10211468,15781566,26248345,18700844,4823159,13641530,5932638,4561101,4712363,4996899,16947038
千葉,平均価格,1840,2336,2101,2154,1853,1628,1389,1461,1906,1972,1918,1383,2273
東京,数量,148050,11742,10228,9971,10634,12834,14805,12254,14250,11846,11553,10898,17035
東京,金額,246689843,19397703,15417065,15208026,18341853,17641030,23874658,19418390,24230059,21243582,20880169,19838902,31198406
東京,平均価格,1666,1652,1507,1525,1725,1375,1613,1585,1700,1793,1807,1820,1831
神奈川,数量,1145,8,187,645,188,41,41,2,3,0,13,8,9
神奈川,金額,2121867,12380,302200,1347775,330588,44480,34715,1386,2730,0,6658,23310,15645
神奈川,平均価格,1853,1548,1616,2090,1758,1085,847,693,910,-,512,2914,1738
新潟,数量,2223,291,145,30,475,806,332,6,19,13,13,76,17
新潟,金額,2514173,434840,162679,28572,669289,857710,226162,4452,15446,14805,16254,69032,14932
新潟,平均価格,1131,1494,1122,952,1409,1064,681,742,813,1139,1250,908,878
石川,数量,24,0,7,0,17,0,0,0,0,0,0,0,0
石川,金額,41013,0,5880,0,35133,0,0,0,0,0,0,0,0
石川,平均価格,1709,-,840,-,2067,-,-,-,-,-,-,-,-
静岡,数量,801,18,66,253,276,32,80,51,0,0,9,3,13
静岡,金額,1456452,32534,114662,483501,501608,58476,142345,89284,0,0,10902,5451,17689
静岡,平均価格,1818,1807,1737,1911,1817,1827,1779,1751,-,-,1211,1817,1361
愛知,数量,548,90,64,73,162,62,8,0,0,12,24,15,38
愛知,金額,745088,135077,78698,99285,214810,69669,7455,0,0,15068,38137,30167,56722
愛知,平均価格,1360,1501,1230,1360,1326,1124,932,-,-,1256,1589,2011,1493
三重,数量,11229,1358,620,646,704,596,777,667,655,724,1035,2008,1439
三重,金額,13578097,1673748,839915,794304,777769,702744,955998,843648,953167,1139937,1219977,1937010,1739880
三重,平均価格,1209,1233,1355,1230,1105,1179,1230,1265,1455,1574,1179,965,1209
京都,数量,139,5,6,4,10,3,0,0,0,0,0,90,21
京都,金額,139860,5418,5481,5670,10238,1312,0,0,0,0,0,89775,21966
京都,平均価格,1006,1084,914,1418,1024,437,-,-,-,-,-,998,1046
大阪,数量,1186,44,6,0,5,548,436,52,10,0,18,14,53
大阪,金額,799361,111041,11860,0,4200,221290,272608,46296,11256,0,16401,18144,86265
大阪,平均価格,674,2524,1977,-,840,404,625,890,1126,-,911,1296,1628
兵庫,数量,95,12,16,5,32,0,0,0,0,0,2,19,9
兵庫,金額,419173,53004,60963,18753,89734,0,0,0,0,0,16422,116257,64040
兵庫,平均価格,4412,4417,3810,3751,2804,-,-,-,-,-,8211,6119,7116
和歌山,数量,135,17,56,32,11,9,0,0,0,0,0,1,9
和歌山,金額,217521,32907,93872,54338,17483,8484,0,0,0,0,0,672,9765
和歌山,平均価格,1611,1936,1676,1698,1589,943,-,-,-,-,-,672,1085
鳥取,数量,905,108,250,0,17,213,26,32,4,31,55,88,81
鳥取,金額,1162693,90855,269370,0,23750,232919,20748,24476,2100,75607,137709,163791,121368
鳥取,平均価格,1285,841,1077,-,1397,1094,798,765,525,2439,2504,1861,1498
島根,数量,5080,1377,300,41,1762,921,151,1,1,135,51,212,128
島根,金額,5127432,1423245,268811,53845,1698693,745295,107090,1260,1890,283379,110262,316545,117117
島根,平均価格,1009,1034,896,1313,964,809,709,1260,1890,2099,2162,1493,915
岡山,数量,200,0,0,0,116,75,1,1,0,2,0,0,5
岡山,金額,284367,0,0,0,173401,102345,819,1176,0,3623,0,0,3003
岡山,平均価格,1422,-,-,-,1495,1365,819,1176,-,1812,-,-,601
山口,数量,7491,1373,814,97,279,337,50,72,53,401,2177,1235,603
山口,金額,12414052,1901463,860268,108297,269400,306989,236035,291850,125784,984184,3882601,2365589,1081592
山口,平均価格,1657,1385,1057,1116,966,911,4721,4053,2373,2454,1783,1915,1794
徳島,数量,122,14,27,40,13,11,6,0,0,0,0,0,11
徳島,金額,157188,20370,39166,57552,19436,10920,5208,0,0,0,0,0,4536
徳島,平均価格,1288,1455,1451,1439,1495,993,868,-,-,-,-,-,412
香川,数量,518,5,13,17,256,162,45,4,13,0,0,0,3
香川,金額,713867,9167,48459,17966,349164,228053,36246,3675,17325,0,0,0,3812
香川,平均価格,1378,1833,3728,1057,1364,1408,805,919,1333,-,-,-,1271
愛媛,数量,30084,857,921,1013,881,1267,2594,2198,2288,2649,4166,4068,7182
愛媛,金額,60294338,2517921,2137713,2450546,2142602,2960675,4645302,4443666,4616946,5338799,7411824,7162766,14465578
愛媛,平均価格,2004,2938,2321,2419,2432,2337,1791,2022,2018,2015,1779,1761,2014
高知,数量,159,54,36,56,9,0,4,0,0,0,0,0,0
高知,金額,232265,91173,41761,82867,13020,0,3444,0,0,0,0,0,0
高知,平均価格,1461,1688,1160,1480,1447,-,861,-,-,-,-,-,-
福岡,数量,7700,583,874,1048,732,532,535,536,458,630,899,453,420
福岡,金額,6864104,539965,1048351,1501958,563518,256620,209160,196560,193673,736998,1186221,220596,210484
福岡,平均価格,891,926,1199,1433,770,482,391,367,423,1170,1319,487,501
佐賀,数量,920,247,157,119,93,90,48,53,64,45,0,0,4
佐賀,金額,4450957,1227844,604760,585165,449809,473550,254100,277200,334950,236775,0,0,6804
佐賀,平均価格,4838,4971,3852,4917,4837,5262,5294,5230,5234,5262,-,-,1701
長崎,数量,45038,7096,17049,16589,3109,272,89,16,19,10,90,334,365
長崎,金額,75534024,12996981,27105100,27669347,5230430,390086,99845,17819,34220,17168,241851,858876,872301
長崎,平均価格,1677,1832,1590,1668,1682,1434,1122,1114,1801,1717,2687,2571,2390
熊本,数量,19757,2423,10238,5651,458,0,0,0,4,0,25,110,848
熊本,金額,34883121,4665873,16951252,10021723,822393,0,0,0,3780,0,59641,287074,2071385
熊本,平均価格,1766,1926,1656,1773,1796,-,-,-,945,-,2386,2610,2443
大分,数量,2510,190,204,279,346,3,1361,9,7,27,26,9,49
大分,金額,4094310,430829,354230,527353,581177,3203,1919968,12159,9912,61373,65857,22376,105873
大分,平均価格,1631,2268,1736,1890,1680,1068,1411,1351,1416,2273,2533,2486,2161
宮崎,数量,1149,388,441,111,67,5,7,0,0,4,0,50,76
宮崎,金額,2296935,852752,842942,222283,91917,5670,6521,0,0,10238,0,108444,156168
宮崎,平均価格,1999,2198,1911,2003,1372,1134,932,-,-,2560,-,2169,2055
鹿児島,数量,9113,2514,3314,1901,224,83,38,16,3,2,46,161,811
鹿児島,金額,22515101,6534822,7278671,4315306,625696,239510,85944,19950,7140,4200,155401,499614,2748847
鹿児島,平均価格,2471,2599,2196,2270,2793,2886,2262,1247,2380,2100,3378,3103,3389
