検索結果／出荷地別取扱実績（活ひらめ）,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成15年1月,平成15年2月,平成15年3月,平成15年4月,平成15年5月,平成15年6月,平成15年7月,平成15年8月,平成15年9月,平成15年10月,平成15年11月,平成15年12月
合計,数量,1305161,114918,108741,121464,109177,111305,102451,93854,91844,100678,102539,102322,145868
合計,金額,2966975295,278059369,252939213,267114451,213063795,197407665,175891497,178538025,186885488,246176883,299887350,277474266,393537293
合計,平均価格,2273,2420,2326,2199,1952,1774,1717,1902,2035,2445,2925,2712,2698
北海道,数量,4943,156,52,0,4,76,1450,1061,713,212,149,149,921
北海道,金額,16014588,607670,184676,0,12516,134848,2272375,2624077,2451308,978687,748108,664138,5336185
北海道,平均価格,3240,3895,3551,-,3129,1774,1567,2473,3438,4616,5021,4457,5794
青森,数量,63458,5453,488,37,1329,12682,14508,6076,2351,4256,6678,4585,5015
青森,金額,197878635,24006068,2044034,118326,5069369,25608378,25321460,13604350,7127500,16780392,33490189,18598727,26109842
青森,平均価格,3118,4402,4189,3198,3814,2019,1745,2239,3032,3943,5015,4056,5206
岩手,数量,1213,0,0,0,0,420,224,0,0,128,370,71,0
岩手,金額,2717609,0,0,0,0,446560,230753,0,0,582921,1072895,384480,0
岩手,平均価格,2240,-,-,-,-,1063,1030,-,-,4554,2900,5415,-
宮城,数量,55412,6009,391,285,658,8356,9872,8120,4317,4172,6563,4628,2041
宮城,金額,201171746,28051202,2382738,1575289,3091565,17680203,18951034,21498791,15526851,19545968,36547103,24156038,12164964
宮城,平均価格,3630,4668,6094,5527,4698,2116,1920,2648,3597,4685,5569,5220,5960
秋田,数量,1325,51,78,42,189,146,0,0,0,293,365,146,15
秋田,金額,5848623,176811,416945,203628,626828,418006,0,0,0,1373318,1941566,644029,47492
秋田,平均価格,4414,3467,5345,4848,3317,2863,-,-,-,4687,5319,4411,3166
福島,数量,55920,2377,5112,3963,1042,1787,8859,5748,4177,6523,5033,5917,5382
福島,金額,199043157,9431193,18205418,13976965,2651858,2933337,16768800,14230445,15671988,27162859,25197499,25590431,27222364
福島,平均価格,3559,3968,3561,3527,2545,1641,1893,2476,3752,4164,5006,4325,5058
茨城,数量,32093,4409,2189,94,418,1235,6962,3336,2085,3443,1024,3254,3644
茨城,金額,95658974,14279792,7400933,257590,1346414,2356678,9618916,4957462,6184925,14441108,4923039,11879888,18012229
茨城,平均価格,2981,3239,3381,2740,3221,1908,1382,1486,2966,4194,4808,3651,4943
埼玉,数量,5990,132,296,45,193,164,142,804,1535,1651,431,291,306
埼玉,金額,24467031,572776,2012089,282442,1009264,606665,286296,2385277,5282820,7086628,2086645,1453753,1402376
埼玉,平均価格,4085,4339,6798,6276,5229,3699,2016,2967,3442,4292,4841,4996,4583
千葉,数量,98845,10487,13977,17327,12725,7131,5223,3836,3785,4211,3374,6263,10506
千葉,金額,327522406,40059564,58038768,62507502,36937538,14770497,9042506,7670687,8587274,11762188,9921132,23729454,44495296
千葉,平均価格,3313,3820,4152,3608,2903,2071,1731,2000,2269,2793,2940,3789,4235
東京,数量,293172,22854,23373,27359,24658,22394,16442,19788,24715,27481,30170,22174,31764
東京,金額,565138536,42171548,42378530,48927679,42676718,38882302,28997494,35431055,44008086,53372430,70431088,49294110,68567496
東京,平均価格,1928,1845,1813,1788,1731,1736,1764,1791,1781,1942,2334,2223,2159
神奈川,数量,10214,447,1850,4378,1767,184,89,41,94,101,148,528,587
神奈川,金額,35376423,1767188,7245456,15298921,4804159,370117,175519,91612,314480,352120,577944,1781174,2597733
神奈川,平均価格,3464,3953,3916,3495,2719,2012,1972,2234,3346,3486,3905,3373,4425
新潟,数量,6875,20,16,81,1397,4415,828,19,0,0,9,39,51
新潟,金額,16476120,67107,49613,333190,4509883,9327101,1618997,37496,0,0,46934,192804,292995
新潟,平均価格,2397,3355,3101,4113,3228,2113,1955,1973,-,-,5215,4944,5745
富山,数量,804,0,0,0,0,0,0,0,0,0,0,8,796
