検索結果／出荷地別取扱実績（ひらめ（国内））
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成26年1月,平成26年2月,平成26年3月,平成26年4月,平成26年5月,平成26年6月,平成26年7月,平成26年8月,平成26年9月,平成26年10月,平成26年11月,平成26年12月,
合計,数量,1097402,69063,57155,81048,69040,90467,149872,136389,67659,66919,109719,99189,100882,
合計,金額,1363207951,100211955,92187302,109685060,89997540,105661837,126581490,140340047,97536274,91904419,127655287,122769590,158677150,
合計,平均価格,1242,1451,1613,1353,1304,1168,845,1029,1442,1373,1163,1238,1573,
北海道,数量,59357,262,171,20,40,606,2880,1732,1357,3874,7264,28090,13061,
北海道,金額,60379838,383285,226388,61919,38276,700645,2026223,1574010,1786139,4012669,10121364,26066856,13382064,
北海道,平均価格,1017,1463,1324,3096,957,1156,704,909,1316,1036,1393,928,1025,
青森,数量,231788,5358,875,542,1850,13810,44519,38630,13975,19010,42706,22008,28505,
青森,金額,233177951,6574125,1330804,509638,1779183,14535109,37555801,39512369,18364514,20267327,36725350,22571585,33452146,
青森,平均価格,1006,1227,1521,940,962,1053,844,1023,1314,1066,860,1026,1174,
岩手,数量,47326,1622,383,184,22,1525,5492,7291,5326,6160,8567,7992,2762,
岩手,金額,43874331,1904713,288081,142424,24883,1192267,3579357,6031888,5191200,5581431,8129797,7960820,3847470,
岩手,平均価格,927,1174,752,774,1131,782,652,827,975,906,949,996,1393,
宮城,数量,269716,5524,4773,7448,6608,20550,68733,55730,22261,14947,30305,22534,10303,
宮城,金額,279870234,6472313,5395468,7748859,6768563,20285786,50365592,50295406,29324907,23536045,35085438,30166903,14424954,
宮城,平均価格,1038,1172,1130,1040,1024,987,733,902,1317,1575,1158,1339,1400,
秋田,数量,243,0,0,52,47,12,5,73,0,44,0,10,0,
秋田,金額,336490,0,0,76080,71377,11232,4795,105948,0,48903,0,18155,0,
秋田,平均価格,1385,-,-,1463,1519,936,959,1451,-,1111,-,1816,-,
山形,数量,3002,9,60,79,108,491,1501,61,0,47,146,471,29,
