検索結果／出荷地別取扱実績（ひらめ（国内））
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成26年1月,平成26年2月,平成26年3月,平成26年4月,平成26年5月,平成26年6月,平成26年7月,平成26年8月,平成26年9月,平成26年10月,平成26年11月,平成26年12月,
山形,金額,2407867,15593,92917,84127,111909,394904,1068926,44237,0,55793,114838,389318,35305,
山形,平均価格,802,1733,1549,1065,1036,804,712,725,-,1187,787,827,1217,
福島,数量,1094,0,74,227,271,343,0,0,0,0,43,39,97,
福島,金額,863091,0,63620,192919,209304,242343,0,0,0,0,36235,31471,87199,
福島,平均価格,789,-,860,850,772,707,-,-,-,-,843,807,899,
茨城,数量,124755,20062,11298,13097,12896,17391,8382,11472,5326,5739,2713,3675,12704,
茨城,金額,145772397,23873230,12885330,13304693,14541643,17088289,6849807,11401063,9115677,8107594,4202298,6257202,18145571,
茨城,平均価格,1168,1190,1140,1016,1128,983,817,994,1712,1413,1549,1703,1428,
埼玉,数量,579,0,0,0,0,0,6,0,0,0,337,111,125,
埼玉,金額,527191,0,0,0,0,0,9882,0,0,0,369036,84391,63882,
埼玉,平均価格,911,-,-,-,-,-,1647,-,-,-,1095,760,511,
千葉,数量,175792,14622,13732,32361,33816,25074,8760,12224,9062,6185,2335,2804,14817,
千葉,金額,244989186,20608290,23129648,42436142,43142420,31305632,9636346,14661312,11263369,9336779,5346875,5422933,28699440,
千葉,平均価格,1394,1409,1684,1311,1276,1249,1100,1199,1243,1510,2290,1934,1937,
東京,数量,109519,7445,7606,8258,7654,8111,7534,7789,8591,9716,13811,9376,13628,
東京,金額,181410733,12696583,13372586,13503987,11751187,12710771,10353260,11914584,14925672,15932331,21575319,16862128,25812325,
東京,平均価格,1656,1705,1758,1635,1535,1567,1374,1530,1737,1640,1562,1798,1894,
神奈川,数量,5635,617,581,2601,589,191,334,178,84,64,109,96,191,
神奈川,金額,11983824,1828253,1153103,3831202,1142223,467958,668115,501159,343916,295326,589686,343994,818889,
神奈川,平均価格,2127,2963,1985,1473,1939,2450,2000,2816,4094,4614,5410,3583,4287,
新潟,数量,1330,1,20,15,230,320,390,91,0,46,122,39,56,
新潟,金額,888730,683,20665,14070,182962,223071,223214,44116,0,36741,62791,24517,55900,
新潟,平均価格,668,683,1033,938,795,697,572,485,-,799,515,629,998,
富山,数量,106,0,3,0,0,0,0,0,0,0,0,29,74,
富山,金額,156600,0,6825,0,0,0,0,0,0,0,0,49961,99814,
富山,平均価格,1477,-,2275,-,-,-,-,-,-,-,-,1723,1349,
石川,数量,11,0,0,0,0,0,5,6,0,0,0,0,0,
石川,金額,8305,0,0,0,0,0,3553,4752,0,0,0,0,0,
石川,平均価格,755,-,-,-,-,-,711,792,-,-,-,-,-,
静岡,数量,196,65,0,64,26,8,0,0,0,0,18,15,0,
静岡,金額,231045,74929,0,101102,20941,1706,0,0,0,0,17172,15195,0,
静岡,平均価格,1179,1153,-,1580,805,213,-,-,-,-,954,1013,-,
愛知,数量,727,0,0,627,28,29,0,0,3,7,0,33,0,
愛知,金額,1077158,0,0,969008,31903,42833,0,0,2333,8964,0,22117,0,
愛知,平均価格,1482,-,-,1545,1139,1477,-,-,778,1281,-,670,-,
三重,数量,2176,391,157,237,227,129,87,79,160,90,101,77,441,
三重,金額,6229714,1313554,252150,384976,318424,263141,247164,247661,642626,210854,276274,261250,1811640,
三重,平均価格,2863,3359,1606,1624,1403,2040,2841,3135,4016,2343,2735,3393,4108,
京都,数量,143,137,0,0,6,0,0,0,0,0,0,0,0,
京都,金額,162734,153781,0,0,8953,0,0,0,0,0,0,0,0,
京都,平均価格,1138,1122,-,-,1492,-,-,-,-,-,-,-,-,
大阪,数量,1575,111,69,96,105,207,253,136,100,78,102,182,136,
大阪,金額,1202197,87149,54578,77579,86504,165047,158768,93989,80908,45994,80372,162376,108933,
大阪,平均価格,763,785,791,808,824,797,628,691,809,590,788,892,801,
兵庫,数量,812,225,110,109,94,29,27,16,16,39,18,61,68,
兵庫,金額,4077763,1060195,603336,491339,367815,113604,100332,78776,87285,199076,117267,398345,460393,
兵庫,平均価格,5022,4712,5485,4508,3913,3917,3716,4924,5455,5105,6515,6530,6770,
鳥取,数量,882,34,15,0,454,73,66,0,0,0,56,129,55,
鳥取,金額,902945,37832,33006,0,408963,61365,46494,0,0,0,72058,187758,55469,
鳥取,平均価格,1024,1113,2200,-,901,841,704,-,-,-,1287,1455,1009,
島根,数量,1452,495,316,24,335,7,8,0,29,22,0,172,44,
島根,金額,1596284,441564,472785,32897,363096,4914,5454,0,24105,11718,0,181625,58126,
島根,平均価格,1099,892,1496,1371,1084,702,682,-,831,533,-,1056,1321,
岡山,数量,7,0,0,0,0,7,0,0,0,0,0,0,0,
岡山,金額,4860,0,0,0,0,4860,0,0,0,0,0,0,0,
岡山,平均価格,694,-,-,-,-,694,-,-,-,-,-,-,-,
広島,数量,3,0,0,0,0,3,0,0,0,0,0,0,0,
広島,金額,2808,0,0,0,0,2808,0,0,0,0,0,0,0,
広島,平均価格,936,-,-,-,-,936,-,-,-,-,-,-,-,
山口,数量,556,32,22,389,35,0,5,59,0,0,0,8,6,
山口,金額,609174,32730,21945,438366,22540,0,2819,55858,0,0,0,23436,11480,
山口,平均価格,1096,1023,998,1127,644,-,564,947,-,-,-,2930,1913,
徳島,数量,30,11,8,0,8,0,3,0,0,0,0,0,0,
徳島,金額,38410,16538,12789,0,6275,0,2808,0,0,0,0,0,0,
徳島,平均価格,1280,1503,1599,-,784,-,936,-,-,-,-,-,-,
香川,数量,384,0,0,125,96,66,0,4,61,0,9,2,21,
香川,金額,306818,0,0,30577,120613,45327,0,2722,61765,0,6264,2074,37476,
香川,平均価格,799,-,-,245,1256,687,-,681,1013,-,696,1037,1785,
愛媛,数量,14390,1998,696,1838,854,967,642,716,1227,806,881,909,2856,
愛媛,金額,64928463,5201263,3682371,4871853,4427853,5176955,3461067,3682307,6241582,4174754,4624436,4522455,14861567,
愛媛,平均価格,4512,2603,5291,2651,5185,5354,5391,5143,5087,5180,5249,4975,5204,
高知,数量,132,15,8,7,39,58,2,0,0,0,0,0,3,
高知,金額,164805,20675,9576,10364,56052,60729,2981,0,0,0,0,0,4428,
高知,平均価格,1249,1378,1197,1481,1437,1047,1491,-,-,-,-,-,1476,
福岡,数量,1052,177,156,126,105,102,94,60,60,44,44,42,42,
福岡,金額,1014424,237216,209969,105788,92609,61560,60070,40392,48600,40392,40392,37044,40392,
福岡,平均価格,964,1340,1346,840,882,604,639,673,810,918,918,882,962,
佐賀,数量,3,0,0,3,0,0,0,0,0,0,0,0,0,
佐賀,金額,3150,0,0,3150,0,0,0,0,0,0,0,0,0,
佐賀,平均価格,1050,-,-,1050,-,-,-,-,-,-,-,-,-,
長崎,数量,26191,5487,8351,9238,2193,293,86,30,11,1,22,122,357,
長崎,金額,43316608,9319485,14143248,14764647,3408017,402116,95298,34063,10098,1728,52035,238853,847020,
長崎,平均価格,1654,1698,1694,1598,1554,1372,1108,1135,918,1728,2365,1958,2373,
熊本,数量,11378,2695,5959,2553,111,18,0,0,0,0,2,0,40,
熊本,金額,19666229,4419640,10918205,4065457,169182,17043,0,0,0,0,2430,0,74272,
熊本,平均価格,1728,1640,1832,1592,1524,947,-,-,-,-,1215,-,1857,
大分,数量,669,218,101,50,126,40,58,12,10,0,8,21,25,
大分,金額,1037268,352353,163425,82751,191948,66128,53364,13435,21578,0,7560,39215,45511,
大分,平均価格,1550,1616,1618,1655,1523,1653,920,1120,2158,-,945,1867,1820,
宮崎,数量,639,427,83,9,0,0,0,0,0,0,0,31,89,
宮崎,金額,1036262,692823,120416,10868,0,0,0,0,0,0,0,58902,153253,
宮崎,平均価格,1622,1623,1451,1208,-,-,-,-,-,-,-,1900,1722,
鹿児島,数量,3752,1023,1528,669,67,7,0,0,0,0,0,111,347,
鹿児島,金額,8952064,2393160,3524068,1338278,131922,13694,0,0,0,0,0,368711,1182231,
鹿児島,平均価格,2386,2339,2306,2000,1969,1956,-,-,-,-,-,3322,3407,
