検索結果／出荷地別取扱実績（ひらめ（国内））
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成31年1月,平成31年2月,平成31年3月,平成31年4月,令和元年5月,令和元年6月,令和元年7月,令和元年8月,令和元年9月,令和元年10月,令和元年11月,令和元年12月,
島根,数量,1144,46,61,56,329,481,24,0,0,21,33,65,28,
島根,金額,1135560,70837,61302,80569,303259,420820,16568,0,0,28976,46375,73202,33652,
島根,平均価格,993,1540,1005,1439,922,875,690,-,-,1380,1405,1126,1202,
広島,数量,6,0,0,0,0,0,0,0,0,0,6,0,0,
広島,金額,7387,0,0,0,0,0,0,0,0,0,7387,0,0,
広島,平均価格,1231,-,-,-,-,-,-,-,-,-,1231,-,-,
山口,数量,193,28,33,0,50,51,0,2,21,0,2,0,6,
山口,金額,225670,38793,53039,0,52704,50376,0,2203,17798,0,2462,0,8295,
山口,平均価格,1169,1385,1607,-,1054,988,-,1102,848,-,1231,-,1383,
徳島,数量,60,3,0,2,38,15,1,1,0,0,0,0,0,
徳島,金額,76086,6480,0,3402,52024,12884,756,540,0,0,0,0,0,
徳島,平均価格,1268,2160,-,1701,1369,859,756,540,-,-,-,-,-,
香川,数量,163,0,0,18,67,48,6,1,0,4,0,9,10,
香川,金額,186301,0,0,34452,43891,53990,3370,162,0,6221,0,23274,20941,
香川,平均価格,1143,-,-,1914,655,1125,562,162,-,1555,-,2586,2094,
愛媛,数量,6547,443,403,455,503,486,396,438,537,468,466,442,1510,
愛媛,金額,33980913,2305008,2171907,2366782,2380765,2575038,2261115,2316229,2986564,2479649,2510842,2472354,7154660,
愛媛,平均価格,5190,5203,5389,5202,4733,5298,5710,5288,5562,5298,5388,5594,4738,
高知,数量,18,0,3,15,0,0,0,0,0,0,0,0,0,
高知,金額,29484,0,4536,24948,0,0,0,0,0,0,0,0,0,
高知,平均価格,1638,-,1512,1663,-,-,-,-,-,-,-,-,-,
福岡,数量,3671,350,1627,1232,462,0,0,0,0,0,0,0,0,
福岡,金額,5589725,474993,2513205,1924800,676727,0,0,0,0,0,0,0,0,
福岡,平均価格,1523,1357,1545,1562,1465,-,-,-,-,-,-,-,-,
佐賀,数量,77,17,17,0,3,0,0,0,0,0,0,7,33,
佐賀,金額,80626,21794,25639,0,2851,0,0,0,0,0,0,10692,19650,
佐賀,平均価格,1047,1282,1508,-,950,-,-,-,-,-,-,1527,595,
長崎,数量,28725,4096,9665,9586,4959,103,56,100,31,7,20,29,73,
