検索結果／出荷地別取扱実績（活ひらめ）,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成24年1月,平成24年2月,平成24年3月,平成24年4月,平成24年5月,平成24年6月,平成24年7月,平成24年8月,平成24年9月,平成24年10月,平成24年11月,平成24年12月
合計,数量,1097142,97189,94020,99735,81698,84093,85363,75308,78380,79299,87911,96776,137370
合計,金額,1855746757,175205233,165384003,166975566,125440748,122356428,113985563,114960901,134299299,147739751,181160257,170365116,237873892
合計,平均価格,1691,1803,1759,1674,1535,1455,1335,1527,1713,1863,2061,1760,1732
北海道,数量,27787,1485,1771,1977,1654,1474,2836,3569,2304,1143,2848,3114,3612
北海道,金額,51845970,1875584,2189431,2437766,1967602,1787169,3607963,6626214,4316246,4158840,8712032,7359140,6807983
北海道,平均価格,1866,1263,1236,1233,1190,1212,1272,1857,1873,3639,3059,2363,1885
青森,数量,32984,824,277,15,162,2220,6072,3132,4193,1174,2978,3426,8511
青森,金額,85976087,3028731,692818,15730,417329,4101690,9355117,6983448,13051855,3974970,12706930,8835082,22812387
青森,平均価格,2607,3676,2501,1049,2576,1848,1541,2230,3113,3386,4267,2579,2680
宮城,数量,37395,2521,171,577,351,3647,7154,5370,2164,2780,3516,3888,5256
宮城,金額,118983775,11685285,777509,2518464,1077148,7444515,11313166,10824819,7229593,11938307,19180954,15545760,19448255
宮城,平均価格,3182,4635,4547,4365,3069,2041,1581,2016,3341,4294,5455,3998,3700
秋田,数量,1950,332,19,28,57,776,360,43,126,0,128,74,7
秋田,金額,6563837,1547942,58779,177807,164042,1985703,692420,130174,449947,0,1081563,248422,27038
秋田,平均価格,3366,4662,3094,6350,2878,2559,1923,3027,3571,-,8450,3357,3863
山形,数量,2,0,0,0,2,0,0,0,0,0,0,0,0
山形,金額,2363,0,0,0,2363,0,0,0,0,0,0,0,0
山形,平均価格,1182,-,-,-,1182,-,-,-,-,-,-,-,-
福島,数量,1544,0,0,0,0,0,1004,540,0,0,0,0,0
福島,金額,2143568,0,0,0,0,0,1364464,779104,0,0,0,0,0
福島,平均価格,1388,-,-,-,-,-,1359,1443,-,-,-,-,-
茨城,数量,49345,3266,3218,1939,86,0,0,0,0,5387,4183,13788,17478
茨城,金額,88991666,8564728,6946424,2761258,222485,0,0,0,0,12207705,10861540,20249308,27178218
茨城,平均価格,1803,2622,2159,1424,2587,-,-,-,-,2266,2597,1469,1555
千葉,数量,122818,10894,15357,15781,14165,8698,5052,6074,8850,9581,5415,9206,13745
千葉,金額,287215923,31968336,43273091,41505878,30846360,16060465,6902808,10100795,20996516,21698694,14786940,21081768,27994272
千葉,平均価格,2339,2934,2818,2630,2178,1846,1366,1663,2372,2265,2731,2290,2037
東京,数量,375663,26766,25139,30023,24155,31623,31167,26724,29259,33964,38965,30023,47855
東京,金額,549197597,39061809,35717930,40587478,32435838,43178808,39728545,39495443,43745115,54426262,63452361,45498847,71869161
東京,平均価格,1462,1459,1421,1352,1343,1365,1275,1478,1495,1602,1628,1515,1502
神奈川,数量,27778,4707,6521,7140,4348,762,599,167,393,656,521,913,1051
神奈川,金額,70447721,13165253,17976790,17230267,8964727,1170346,835156,483185,1346423,1960298,1923602,2570262,2821412
神奈川,平均価格,2536,2797,2757,2413,2062,1536,1394,2893,3426,2988,3692,2815,2685
新潟,数量,2798,150,8,181,228,1444,770,12,0,0,0,5,0
新潟,金額,4588305,305101,15340,383349,419803,2460014,978794,22691,0,0,0,3213,0
新潟,平均価格,1640,2034,1918,2118,1841,1704,1271,1891,-,-,-,643,-
富山,数量,27,10,10,0,0,3,0,0,0,0,0,0,4
富山,金額,87424,41266,39123,0,0,3150,0,0,0,0,0,0,3885
富山,平均価格,3238,4127,3912,-,-,1050,-,-,-,-,-,-,971
石川,数量,151,0,0,0,21,97,14,0,5,0,6,8,0
石川,金額,244403,0,0,0,40089,131496,16401,0,14963,0,30135,11319,0
石川,平均価格,1619,-,-,-,1909,1356,1172,-,2993,-,5023,1415,-
福井,数量,35,0,0,0,10,14,0,0,0,0,0,4,7
福井,金額,69983,0,0,0,13545,25578,0,0,0,0,0,8694,22166
福井,平均価格,2000,-,-,-,1355,1827,-,-,-,-,-,2174,3167
静岡,数量,3399,140,227,443,1023,500,418,75,0,10,72,217,274
静岡,金額,6073246,390928,490200,1025861,1483165,605845,612503,190264,0,33548,323087,430275,487570
静岡,平均価格,1787,2792,2159,2316,1450,1212,1465,2537,-,3355,4487,1983,1779
愛知,数量,157429,16741,17201,14387,12506,10823,11397,9725,11252,10595,13996,14841,13965
愛知,金額,212014807,21610740,21302627,18411699,16079825,13839231,14336099,12199986,14964872,15723062,21648638,21712320,20185708
愛知,平均価格,1347,1291,1238,1280,1286,1279,1258,1254,1330,1484,1547,1463,1445
三重,数量,1906,139,357,714,309,60,3,1,130,0,5,159,29
三重,金額,4428286,398879,1168195,1820152,447107,74995,2521,3234,180453,0,26219,228818,77713
三重,平均価格,2323,2870,3272,2549,1447,1250,840,3234,1388,-,5244,1439,2680
京都,数量,323,0,11,0,50,75,25,20,0,0,0,3,139
京都,金額,427664,0,16486,0,88915,77598,31500,33737,0,0,0,1302,178126
京都,平均価格,1324,-,1499,-,1778,1035,1260,1687,-,-,-,434,1281
大阪,数量,25797,2029,1920,2181,3666,1458,2941,2361,1742,1519,1794,2386,1800
大阪,金額,38007445,2716896,2726703,3055081,5190837,2084091,4038403,3359839,2610740,2380812,3103032,3825034,2915977
大阪,平均価格,1473,1339,1420,1401,1416,1429,1373,1423,1499,1567,1730,1603,1620
兵庫,数量,47662,3863,3654,5421,3300,4886,3756,3344,3520,3360,4526,3052,4980
兵庫,金額,73879431,6763852,6024632,7711579,4734870,6959311,4699013,4702568,5343155,5601465,7916063,5306322,8116601
兵庫,平均価格,1550,1751,1649,1423,1435,1424,1251,1406,1518,1667,1749,1739,1630
和歌山,数量,322,90,50,177,0,0,0,0,0,0,0,5,0
和歌山,金額,989494,282067,182661,514213,0,0,0,0,0,0,0,10553,0
和歌山,平均価格,3073,3134,3653,2905,-,-,-,-,-,-,-,2111,-
島根,数量,716,215,105,2,101,21,0,0,1,0,271,0,0
島根,金額,1853510,411297,270026,1512,170048,20937,0,0,3528,0,976162,0,0
島根,平均価格,2589,1913,2572,756,1684,997,-,-,3528,-,3602,-,-
広島,数量,16,0,0,0,0,10,0,0,0,0,0,6,0
広島,金額,32572,0,0,0,0,15488,0,0,0,0,0,17084,0
広島,平均価格,2036,-,-,-,-,1549,-,-,-,-,-,2847,-
徳島,数量,84,7,1,7,53,0,14,0,0,2,0,0,0
徳島,金額,170954,7886,882,20528,111731,0,24855,0,0,5072,0,0,0
徳島,平均価格,2035,1127,882,2933,2108,-,1775,-,-,2536,-,-,-
愛媛,数量,83910,12982,7863,9164,8493,8980,5699,7175,6111,3337,3020,4564,6522
愛媛,金額,114463895,16703539,10268487,12010568,11116305,11545737,7518723,9889513,8870037,4964613,4959789,6988203,9628381
愛媛,平均価格,1364,1287,1306,1311,1309,1286,1319,1378,1451,1488,1642,1531,1476
高知,数量,42,0,25,17,0,0,0,0,0,0,0,0,0
高知,金額,75202,0,53561,21641,0,0,0,0,0,0,0,0,0
高知,平均価格,1791,-,2142,1273,-,-,-,-,-,-,-,-,-
佐賀,数量,6,0,0,0,0,0,0,0,0,0,2,0,4
佐賀,金額,14837,0,0,0,0,0,0,0,0,0,9177,0,5660
佐賀,平均価格,2473,-,-,-,-,-,-,-,-,-,4589,-,1415
長崎,数量,3641,1039,1131,1017,255,89,24,6,4,0,26,10,40
長崎,金額,10824105,2869558,3404701,3596059,516962,131798,27363,11970,7245,0,111637,32739,114073
