検索結果／出荷地別取扱実績（ひらめ（国内））
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成22年1月,平成22年2月,平成22年3月,平成22年4月,平成22年5月,平成22年6月,平成22年7月,平成22年8月,平成22年9月,平成22年10月,平成22年11月,平成22年12月,
合計,数量,880761,54200,57409,67011,48303,65595,128614,107620,42931,45567,80976,91808,90727,
合計,金額,1255150771,92015261,98263109,113797757,87400243,96955595,123313130,122121828,80539443,78384031,100504822,112484918,149370634,
合計,平均価格,1425,1698,1712,1698,1809,1478,959,1135,1876,1720,1241,1225,1646,
北海道,数量,68127,575,58,13,70,1045,18756,11397,4064,4366,5879,11825,10079,
北海道,金額,87400861,750566,70340,14805,137468,1367537,14208003,12010992,7381714,8907159,9103278,17245138,16203861,
北海道,平均価格,1283,1305,1213,1139,1964,1309,758,1054,1816,2040,1548,1458,1608,
青森,数量,202465,4124,1355,1092,5715,11563,33659,37228,7386,8184,36258,30412,25489,
青森,金額,204536804,7385305,2209746,1695824,7941544,15397267,27684663,31198770,11087848,10739142,29755759,27851182,31589754,
青森,平均価格,1010,1791,1631,1553,1390,1332,823,838,1501,1312,821,916,1239,
岩手,数量,31923,451,66,86,219,1194,2231,2119,2599,3080,5119,9694,5065,
岩手,金額,33556785,673879,88946,106211,270346,1277891,1740993,1893031,3477288,3961204,5317852,9238219,5510925,
岩手,平均価格,1051,1494,1348,1235,1234,1070,780,893,1338,1286,1039,953,1088,
宮城,数量,14525,375,470,302,228,471,2035,2698,456,591,1504,2075,3320,
宮城,金額,21090584,464567,623384,471923,374462,567286,1872121,3375594,580961,1098690,2578386,2869520,6213690,
宮城,平均価格,1452,1239,1326,1563,1642,1204,920,1251,1274,1859,1714,1383,1872,
秋田,数量,3143,83,55,4,492,1320,656,0,3,26,79,407,18,
秋田,金額,3753136,104035,65488,8778,1020873,1512256,550521,0,5198,41907,54717,368279,21084,
秋田,平均価格,1194,1253,1191,2195,2075,1146,839,-,1733,1612,693,905,1171,
山形,数量,4529,57,106,87,298,861,1391,132,3,149,456,843,146,
山形,金額,4827464,69721,168053,145161,454681,932525,1175358,120314,5040,212229,508578,836979,198825,
山形,平均価格,1066,1223,1585,1669,1526,1083,845,911,1680,1424,1115,993,1362,
福島,数量,101174,5034,1947,2680,4775,7086,20595,15268,5030,9117,7145,10386,12111,
福島,金額,130193762,6225575,2672360,3671491,6526484,9644263,19246198,17624753,8754293,13229568,10607794,13874778,18116205,
福島,平均価格,1287,1237,1373,1370,1367,1361,935,1154,1740,1451,1485,1336,1496,
茨城,数量,75112,3218,1632,719,2425,7626,19669,13953,4937,3116,8083,5211,4523,
茨城,金額,105659022,5523872,2563114,1066034,4558054,9811023,17308729,17256932,11389362,6443264,12910502,7680960,9147176,
茨城,平均価格,1407,1717,1571,1483,1880,1287,880,1237,2307,2068,1597,1474,2022,
埼玉,数量,656,0,51,21,257,103,224,0,0,0,0,0,0,
埼玉,金額,1072953,0,83927,60270,405720,220023,303013,0,0,0,0,0,0,
埼玉,平均価格,1636,-,1646,2870,1579,2136,1353,-,-,-,-,-,-,
千葉,数量,93306,8835,6301,8671,9821,16821,14317,11342,2661,1840,1089,3316,8292,
千葉,金額,154762259,12945267,11410534,18833053,21275662,24647339,14516575,13446881,5998118,4271591,2442245,5222820,19752174,
千葉,平均価格,1659,1465,1811,2172,2166,1465,1014,1186,2254,2322,2243,1575,2382,
東京,数量,136287,11842,9526,12991,10784,10163,10963,10860,11930,11132,9665,12415,14016,
東京,金額,256496575,22437333,18095099,24556728,22610297,20470267,18994507,20178600,24300559,21490097,17676679,18797666,26888743,
東京,平均価格,1882,1895,1900,1890,2097,2014,1733,1858,2037,1930,1829,1514,1918,
神奈川,数量,1505,135,137,620,308,7,30,28,15,7,44,142,32,
神奈川,金額,2612067,262701,248737,1181108,596901,5922,9822,22734,14091,11183,42893,94196,121779,
神奈川,平均価格,1736,1946,1816,1905,1938,846,327,812,939,1598,975,663,3806,
新潟,数量,2497,53,87,11,46,1121,904,56,0,0,121,82,16,
新潟,金額,2162996,70221,101316,12705,43637,975073,652434,38715,0,0,173099,86251,9545,
新潟,平均価格,866,1325,1165,1155,949,870,722,691,-,-,1431,1052,597,
富山,数量,314,3,0,0,3,308,0,0,0,0,0,0,0,
富山,金額,208238,3602,0,0,2898,201738,0,0,0,0,0,0,0,
富山,平均価格,663,1201,-,-,966,655,-,-,-,-,-,-,-,
石川,数量,509,0,7,0,0,0,460,0,0,0,21,21,0,
石川,金額,425818,0,7350,0,0,0,358932,0,0,0,30477,29059,0,
石川,平均価格,837,-,1050,-,-,-,780,-,-,-,1451,1384,-,
福井,数量,66,0,0,0,3,27,36,0,0,0,0,0,0,
福井,金額,55295,0,0,0,4505,25348,25442,0,0,0,0,0,0,
福井,平均価格,838,-,-,-,1502,939,707,-,-,-,-,-,-,
静岡,数量,192,3,0,64,60,6,10,0,0,0,0,42,7,
静岡,金額,264569,1890,0,102869,87843,10731,2184,0,0,0,0,50232,8820,
静岡,平均価格,1378,630,-,1607,1464,1789,218,-,-,-,-,1196,1260,
愛知,数量,601,56,47,90,224,32,47,5,14,7,38,28,13,
愛知,金額,740243,86574,68618,129256,284638,35229,32362,4505,17441,8841,28193,31597,12989,
愛知,平均価格,1232,1546,1460,1436,1271,1101,689,901,1246,1263,742,1128,999,
三重,数量,11486,1532,792,4712,897,527,363,445,644,366,340,352,516,
三重,金額,17213884,2179907,1061933,5955721,1441465,943207,613633,769175,1214678,663000,611353,641431,1118381,
三重,平均価格,1499,1423,1341,1264,1607,1790,1690,1728,1886,1811,1798,1822,2167,
京都,数量,117,0,0,4,17,11,0,0,3,0,1,0,81,
京都,金額,178029,0,0,5565,23889,7119,0,0,3780,0,546,0,137130,
京都,平均価格,1522,-,-,1391,1405,647,-,-,1260,-,546,-,1693,
大阪,数量,781,9,57,0,0,249,321,53,9,0,10,13,60,
大阪,金額,905235,26083,33983,0,0,232803,215495,31039,23348,0,38474,54005,250005,
大阪,平均価格,1159,2898,596,-,-,935,671,586,2594,-,3847,4154,4167,
兵庫,数量,1271,62,42,32,49,25,8,4,0,12,25,6,1006,
兵庫,金額,1370466,245177,141420,84863,92212,48836,15960,11760,0,52505,97325,34650,545758,
兵庫,平均価格,1078,3954,3367,2652,1882,1953,1995,2940,-,4375,3893,5775,543,
和歌山,数量,206,34,82,52,23,3,10,0,0,0,0,0,2,
和歌山,金額,251091,39071,103499,66361,30094,3024,6942,0,0,0,0,0,2100,
和歌山,平均価格,1219,1149,1262,1276,1308,1008,694,-,-,-,-,-,1050,
鳥取,数量,1249,8,35,0,268,567,97,43,2,3,33,130,63,
鳥取,金額,1419202,21263,45351,0,341621,647266,86749,38501,4605,5355,48349,113740,66402,
鳥取,平均価格,1136,2658,1296,-,1275,1142,894,895,2303,1785,1465,875,1054,
島根,数量,5841,826,649,238,1365,906,7,0,0,64,288,1122,376,
島根,金額,5937531,815097,671906,246299,1620633,846234,3255,0,0,104201,256077,966111,407718,
島根,平均価格,1017,987,1035,1035,1187,934,465,-,-,1628,889,861,1084,
岡山,数量,47,0,0,2,28,8,3,3,0,3,0,0,0,
岡山,金額,49321,0,0,1544,35155,5891,1607,1764,0,3360,0,0,0,
岡山,平均価格,1049,-,-,772,1256,736,536,588,-,1120,-,-,-,
山口,数量,4359,829,43,64,58,74,3,0,30,389,1657,964,248,
山口,金額,5319255,873666,67510,73000,62978,96352,14304,0,28350,651244,1949056,1152282,350513,
山口,平均価格,1220,1054,1570,1141,1086,1302,4768,-,945,1674,1176,1195,1413,
徳島,数量,159,14,44,15,60,6,0,0,0,0,0,0,20,
徳島,金額,219895,22134,79181,21516,78836,6510,0,0,0,0,0,0,11718,
徳島,平均価格,1383,1581,1800,1434,1314,1085,-,-,-,-,-,-,586,
香川,数量,402,9,3,0,157,168,65,0,0,0,0,0,0,
香川,金額,604404,18627,4883,0,263016,272507,45371,0,0,0,0,0,0,
香川,平均価格,1503,2070,1628,-,1675,1622,698,-,-,-,-,-,-,
愛媛,数量,31274,3286,3108,2988,2219,2515,1405,1643,2838,2250,2678,2059,4285,
愛媛,金額,66697277,6229904,5714598,5850709,5088901,5586652,3255590,3757924,5906783,4912825,5568822,4677892,10146677,
愛媛,平均価格,2133,1896,1839,1958,2293,2221,2317,2287,2081,2183,2079,2272,2368,
高知,数量,680,53,111,99,258,74,4,0,0,0,81,0,0,
高知,金額,972086,91572,157612,154216,382215,106440,5418,0,0,0,74613,0,0,
高知,平均価格,1430,1728,1420,1558,1481,1438,1355,-,-,-,921,-,-,
福岡,数量,6839,769,901,2537,485,220,210,244,294,845,286,33,15,
福岡,金額,8016599,966427,879253,2903490,307808,191939,199080,251895,315987,1527515,411748,33107,28350,
福岡,平均価格,1172,1257,976,1144,635,872,948,1032,1075,1808,1440,1003,1890,
佐賀,数量,134,17,14,103,0,0,0,0,0,0,0,0,0,
佐賀,金額,194465,8820,16275,169370,0,0,0,0,0,0,0,0,0,
佐賀,平均価格,1451,519,1163,1644,-,-,-,-,-,-,-,-,-,
長崎,数量,51320,6494,16650,21640,5646,322,53,53,0,11,41,98,312,
長崎,金額,83843386,11832020,26882301,34219152,9180224,538446,48532,38839,0,28770,118833,199096,757173,
長崎,平均価格,1634,1822,1615,1581,1626,1672,916,733,-,2615,2898,2032,2427,
熊本,数量,18370,2044,9662,6073,433,46,2,0,0,0,14,48,48,
熊本,金額,31682715,3657844,16976770,9954540,724766,74981,2520,0,0,0,36331,125506,129457,
熊本,平均価格,1725,1790,1757,1639,1674,1630,1260,-,-,-,2595,2615,2697,
大分,数量,1371,149,210,293,471,74,51,43,13,8,3,8,48,
大分,金額,2416862,295788,382392,524733,823906,126741,55021,45015,29999,16412,9450,7455,99950,
大分,平均価格,1763,1985,1821,1791,1749,1713,1079,1047,2308,2052,3150,932,2082,
宮崎,数量,692,288,151,51,18,0,12,0,0,0,3,15,154,
宮崎,金額,1343892,521718,298188,85892,35994,0,19269,0,0,0,5250,30544,347037,
宮崎,平均価格,1942,1812,1975,1684,2000,-,1606,-,-,-,1750,2036,2253,
鹿児島,数量,7232,2933,3010,657,123,46,17,3,0,1,15,61,366,
鹿児島,金額,16695745,7165035,6269042,1424570,270517,118929,42527,4095,0,3969,48143,172223,1176695,
鹿児島,平均価格,2309,2443,2083,2168,2199,2585,2502,1365,-,3969,3210,2823,3215,
