検索結果／出荷地別取扱実績（ひらめ（国内））,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成29年1月,平成29年2月,平成29年3月,平成29年4月,平成29年5月,平成29年6月,平成29年7月,平成29年8月,平成29年9月,平成29年10月,平成29年11月,平成29年12月
合計,数量,853109,47211,56397,61025,65508,89086,129698,81584,31809,38225,71286,90196,91084
合計,金額,1179068039,88659394,97937234,99835050,94837778,92542134,122238055,92034539,61149646,66014467,101614337,112250511,149954894
合計,平均価格,1382,1878,1737,1636,1448,1039,942,1128,1922,1727,1425,1245,1646
北海道,数量,42587,962,106,243,376,2558,4812,4013,1431,6105,9609,4563,7809
北海道,金額,56004855,1762238,194227,338086,585907,2248135,4754649,4560765,2576101,9216433,13980477,6601704,9186133
北海道,平均価格,1315,1832,1832,1391,1558,879,988,1136,1800,1510,1455,1447,1176
青森,数量,200577,5081,658,950,6365,18448,39054,14335,4427,12833,30458,36405,31563
青森,金額,238679556,10398100,1224992,1557188,10174765,19028680,36111566,15099007,7975146,19344669,35059644,40218908,42486891
青森,平均価格,1190,2046,1862,1639,1599,1031,925,1053,1801,1507,1151,1105,1346
岩手,数量,10693,475,120,45,66,485,704,839,776,816,1753,3685,929
岩手,金額,15488492,862814,184972,65373,93258,513372,642490,771131,1432521,1436466,2812364,5027875,1645856
岩手,平均価格,1448,1816,1541,1453,1413,1058,913,919,1846,1760,1604,1364,1772
宮城,数量,207016,4668,3999,2180,3826,22351,57713,45047,9560,4900,9487,22315,20970
宮城,金額,248833734,9905443,6595976,3349286,4442083,19717863,52401917,47821331,16804589,8824466,14427603,25837282,38705895
宮城,平均価格,1202,2122,1649,1536,1161,882,908,1062,1758,1801,1521,1158,1846
秋田,数量,1116,0,0,35,348,339,141,0,0,0,22,130,101
秋田,金額,1773653,0,0,58752,665864,407009,158694,0,0,0,47423,228950,206961
秋田,平均価格,1589,-,-,1679,1913,1201,1125,-,-,-,2156,1761,2049
山形,数量,2127,0,11,124,429,880,594,22,0,4,24,20,19
山形,金額,2281402,0,15335,196711,717393,674178,552317,14062,0,6178,40198,33934,31096
山形,平均価格,1073,-,1394,1586,1672,766,930,639,-,1545,1675,1697,1637
福島,数量,110240,7587,11006,10630,12567,12794,15111,3443,2100,3841,8112,11651,11398
福島,金額,129208872,9586484,14337111,12849056,14525703,10716993,11988306,3378293,3386298,6660171,12603158,13401487,15775812
福島,平均価格,1172,1264,1303,1209,1156,838,793,981,1613,1734,1554,1150,1384
茨城,数量,72878,9004,10588,7245,6128,11353,3586,3648,6010,3431,3751,4431,3703
茨城,金額,100708782,12955087,14889189,10581766,7634327,10179431,2998813,3819075,11522952,7014955,7150437,6083178,5879572
茨城,平均価格,1382,1439,1406,1461,1246,897,836,1047,1917,2045,1906,1373,1588
埼玉,数量,732,17,20,8,0,77,6,0,0,51,152,273,128
埼玉,金額,1164148,41386,43848,12474,0,73861,3888,0,0,112848,278297,363039,234507
埼玉,平均価格,1590,2434,2192,1559,-,959,648,-,-,2213,1831,1330,1832
千葉,数量,81049,5343,6254,17672,25624,10860,2216,4222,2514,1064,656,1283,3341
