検索結果／出荷地別取扱実績（活ひらめ）
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成22年1月,平成22年2月,平成22年3月,平成22年4月,平成22年5月,平成22年6月,平成22年7月,平成22年8月,平成22年9月,平成22年10月,平成22年11月,平成22年12月,
鳥取,数量,9,0,4,0,0,0,0,0,0,0,5,0,0,
鳥取,金額,19688,0,8600,0,0,0,0,0,0,0,11088,0,0,
鳥取,平均価格,2188,-,2150,-,-,-,-,-,-,-,2218,-,-,
島根,数量,1777,139,128,452,531,114,2,0,0,56,284,66,5,
島根,金額,4111856,292278,396376,891543,1120898,193214,2153,0,0,184738,861836,158992,9828,
島根,平均価格,2314,2103,3097,1972,2111,1695,1077,-,-,3299,3035,2409,1966,
徳島,数量,39,0,0,0,4,0,0,0,0,0,0,0,35,
徳島,金額,117506,0,0,0,6846,0,0,0,0,0,0,0,110660,
徳島,平均価格,3013,-,-,-,1712,-,-,-,-,-,-,-,3162,
香川,数量,187,21,8,3,0,0,0,0,0,4,11,140,0,
香川,金額,298845,31879,11341,4998,0,0,0,0,0,8547,20244,221836,0,
香川,平均価格,1598,1518,1418,1666,-,-,-,-,-,2137,1840,1585,-,
愛媛,数量,134733,16576,11784,11681,11128,7381,7713,5810,7268,9089,9792,10352,26159,
愛媛,金額,190052554,21377423,15759781,15238749,15340740,11474962,10110508,8086830,11793913,13671610,14169608,14881372,38147058,
愛媛,平均価格,1411,1290,1337,1305,1379,1555,1311,1392,1623,1504,1447,1438,1458,
長崎,数量,8331,533,2093,3979,130,119,13,20,3,1254,56,36,95,
長崎,金額,19683857,1334211,5767753,9094631,245346,142287,10121,31091,3119,2129603,316492,179699,429504,
長崎,平均価格,2363,2503,2756,2286,1887,1196,779,1555,1040,1698,5652,4992,4521,
熊本,数量,109748,9330,7422,8180,9455,7733,9619,9309,9948,8494,9162,8156,12940,
熊本,金額,166054110,12711528,9819017,10850453,15860271,12386278,12946358,13986475,16908493,14885224,14542012,12519955,18638046,
熊本,平均価格,1513,1362,1323,1326,1677,1602,1346,1502,1700,1752,1587,1535,1440,
大分,数量,4501,1477,1327,1192,89,0,0,84,0,0,0,2,330,
大分,金額,6984491,2255826,2101664,1902277,139124,0,0,131513,0,0,0,1344,452743,
大分,平均価格,1552,1527,1584,1596,1563,-,-,1566,-,-,-,672,1372,
鹿児島,数量,4,0,4,0,0,0,0,0,0,0,0,0,0,
鹿児島,金額,18354,0,18354,0,0,0,0,0,0,0,0,0,0,
鹿児島,平均価格,4589,-,4589,-,-,-,-,-,-,-,-,-,-,
