検索結果／出荷地別取扱実績（活ひらめ）,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成23年1月,平成23年2月,平成23年3月,平成23年4月,平成23年5月,平成23年6月,平成23年7月,平成23年8月,平成23年9月,平成23年10月,平成23年11月,平成23年12月
合計,数量,1108180,110511,96145,87399,84753,77998,76008,78236,78082,93505,94235,95483,135825
合計,金額,1886068916,195609013,170352595,155348424,137810654,122399576,101182392,117508542,129009140,174988362,176483857,169219951,236156410
合計,平均価格,1702,1770,1772,1777,1626,1569,1331,1502,1652,1871,1873,1772,1739
北海道,数量,21632,15,0,0,0,19,1923,2136,2102,3955,4714,3985,2783
北海道,金額,45541862,40845,0,0,0,24224,2441751,3009036,3494107,10190203,13265497,7789914,5286285
北海道,平均価格,2105,2723,-,-,-,1275,1270,1409,1662,2577,2814,1955,1899
青森,数量,66860,4839,1234,541,1312,3995,8001,7503,5515,4692,8251,9524,11453
青森,金額,170744641,14300987,4537789,2122158,3756991,9081678,11205115,14292153,15685890,16995351,22196722,22776315,33793492
青森,平均価格,2554,2955,3677,3923,2864,2273,1400,1905,2844,3622,2690,2391,2951
岩手,数量,33,33,0,0,0,0,0,0,0,0,0,0,0
岩手,金額,60749,60749,0,0,0,0,0,0,0,0,0,0,0
岩手,平均価格,1841,1841,-,-,-,-,-,-,-,-,-,-,-
宮城,数量,55587,3855,1841,620,185,3762,8426,5360,3776,5293,6134,8428,7907
宮城,金額,168226390,13363469,7817558,2907688,508267,7449021,11758524,10442336,11364764,21845127,24553647,29513968,26702021
宮城,平均価格,3026,3467,4246,4690,2747,1980,1396,1948,3010,4127,4003,3502,3377
秋田,数量,2602,20,91,8,172,472,412,132,8,217,861,132,77
秋田,金額,7645027,65174,265464,25116,669018,1186271,670052,348199,24256,918276,2733948,497700,241553
秋田,平均価格,2938,3259,2917,3140,3890,2513,1626,2638,3032,4232,3175,3770,3137
山形,数量,7,0,0,0,0,7,0,0,0,0,0,0,0
山形,金額,12989,0,0,0,0,12989,0,0,0,0,0,0,0
山形,平均価格,1856,-,-,-,-,1856,-,-,-,-,-,-,-
福島,数量,1583,174,153,0,0,0,0,841,0,19,0,0,396
福島,金額,3188250,563274,479084,0,0,0,0,1657588,0,31584,0,0,456720
福島,平均価格,2014,3237,3131,-,-,-,-,1971,-,1662,-,-,1153
茨城,数量,51829,6796,6596,1328,0,212,4174,6974,5348,4399,1893,3207,10902
茨城,金額,104841455,13364579,12936684,4236476,0,295114,3946166,10501422,11787329,14326926,5183768,6880012,21382979
茨城,平均価格,2023,1967,1961,3190,-,1392,945,1506,2204,3257,2738,2145,1961
千葉,数量,105502,15303,16203,12383,14386,8572,4950,5218,6679,3961,5366,4249,8232
千葉,金額,212106931,31269269,35988724,33572101,31605457,16427074,6169439,6817237,7823950,7217362,9689545,7891648,17635125
千葉,平均価格,2010,2043,2221,2711,2197,1916,1246,1306,1171,1822,1806,1857,2142
東京,数量,332061,36068,27135,26227,27667,26924,18001,21144,23973,32969,25924,25859,40170
東京,金額,495010555,57644766,42820441,39341676,40400066,39124697,25311040,31979241,36129794,48800173,38665256,38116892,56676513
東京,平均価格,1491,1598,1578,1500,1460,1453,1406,1512,1507,1480,1491,1474,1411
神奈川,数量,14175,1199,2223,3159,2241,372,192,182,95,403,1385,1617,1107
神奈川,金額,33981673,3418233,6365134,8401081,4629909,614262,214831,239372,191754,1360258,3026286,2986457,2534096
神奈川,平均価格,2397,2851,2863,2659,2066,1651,1119,1315,2018,3375,2185,1847,2289
新潟,数量,4363,101,69,219,934,2103,406,108,3,11,195,185,29
新潟,金額,8069322,207627,151852,587290,2100603,3765872,419814,134917,3581,31627,339489,289165,37485
新潟,平均価格,1849,2056,2201,2682,2249,1791,1034,1249,1194,2875,1741,1563,1293
富山,数量,290,219,53,0,2,16,0,0,0,0,0,0,0
富山,金額,623548,452752,146719,0,4473,19604,0,0,0,0,0,0,0
富山,平均価格,2150,2067,2768,-,2237,1225,-,-,-,-,-,-,-
石川,数量,212,9,0,11,40,81,20,11,0,5,9,26,0
石川,金額,389229,14721,0,34860,87687,111269,16874,8212,0,21326,32781,61499,0
石川,平均価格,1836,1636,-,3169,2192,1374,844,747,-,4265,3642,2365,-
静岡,数量,2164,5,39,768,509,516,152,26,0,20,32,14,83
静岡,金額,3401950,18249,135303,1734637,666894,482037,139789,18627,0,47986,55106,23826,79496
静岡,平均価格,1572,3650,3469,2259,1310,934,920,716,-,2399,1722,1702,958
愛知,数量,166678,12396,13030,13759,11847,11208,11313,13518,12300,14980,16506,16783,19038
愛知,金額,225989783,17199717,17554407,18382915,16594926,15545993,15136188,17691722,16804597,20856917,22772197,22394943,25055261
愛知,平均価格,1356,1388,1347,1336,1401,1387,1338,1309,1366,1392,1380,1334,1316
三重,数量,7316,1807,1585,1355,977,626,578,138,209,15,2,3,21
三重,金額,15942468,4124930,3614177,3613340,1944332,1325229,761233,173029,322172,20954,7560,3654,31858
三重,平均価格,2179,2283,2280,2667,1990,2117,1317,1254,1541,1397,3780,1218,1517
京都,数量,655,9,91,0,319,163,66,4,0,0,1,0,2
京都,金額,1331232,20769,276153,0,690367,283326,53120,4746,0,0,1890,0,861
