検索結果／出荷地別取扱実績（活ひらめ）,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成18年1月,平成18年2月,平成18年3月,平成18年4月,平成18年5月,平成18年6月,平成18年7月,平成18年8月,平成18年9月,平成18年10月,平成18年11月,平成18年12月
合計,数量,1318041,126865,122572,133589,108329,105637,98855,92061,84498,95256,98966,99639,151774
合計,金額,3031839804,282930547,260901077,268338717,213389648,209169123,177052895,187818673,213503754,277464968,280221756,278385878,382662768
合計,平均価格,2300,2230,2129,2009,1970,1980,1791,2040,2527,2913,2831,2794,2521
北海道,数量,4859,140,0,0,0,341,1348,663,16,659,362,659,671
北海道,金額,16052469,812056,0,0,0,640948,2139911,1261439,62876,3195774,1991773,3421023,2526669
北海道,平均価格,3304,5800,-,-,-,1880,1587,1903,3930,4849,5502,5191,3766
青森,数量,73329,3988,1170,1333,177,2698,7298,9618,6140,7702,9609,7259,16337
青森,金額,199908048,15288014,4389479,6213005,627545,6323542,12527568,22124861,18301387,26308760,27710557,22186480,37906850
青森,平均価格,2726,3834,3752,4661,3545,2344,1717,2300,2981,3416,2884,3056,2320
岩手,数量,142,0,0,0,0,9,0,44,0,52,28,9,0
岩手,金額,418712,0,0,0,0,21420,0,79434,0,143253,119448,55157,0
岩手,平均価格,2949,-,-,-,-,2380,-,1805,-,2755,4266,6129,-
宮城,数量,61128,1028,476,1100,652,5721,12907,4822,5136,5719,7308,5585,10674
宮城,金額,221517484,5813942,2402985,3447950,2774926,14109351,22909355,12234636,19738771,29311365,40090234,30800096,37883873
宮城,平均価格,3624,5656,5048,3135,4256,2466,1775,2537,3843,5125,5486,5515,3549
秋田,数量,2422,95,15,43,467,793,83,210,108,149,313,86,60
秋田,金額,9012411,540333,65248,227621,1997050,2574146,174804,374861,415685,746184,1144484,495790,256205
秋田,平均価格,3721,5688,4350,5294,4276,3246,2106,1785,3849,5008,3656,5765,4270
福島,数量,17946,541,242,326,5,320,2388,3415,1560,3746,2703,1301,1399
福島,金額,60301535,2863651,1422116,1773102,15498,882807,4162816,7034223,4665285,15762906,11347933,5249511,5121687
福島,平均価格,3360,5293,5877,5439,3100,2759,1743,2060,2991,4208,4198,4035,3661
茨城,数量,24631,3645,3260,80,166,981,2846,2629,2910,3378,511,1208,3017
茨城,金額,75896535,12817418,11033558,306664,438939,1951033,3819325,4615900,8901282,15767291,2517601,5587557,8139967
茨城,平均価格,3081,3516,3385,3833,2644,1989,1342,1756,3059,4668,4927,4625,2698
埼玉,数量,21,0,0,0,0,0,0,12,0,0,0,6,3
埼玉,金額,34451,0,0,0,0,0,0,16790,0,0,0,10080,7581
埼玉,平均価格,1641,-,-,-,-,-,-,1399,-,-,-,1680,2527
千葉,数量,96503,10366,11359,10492,13414,8015,6011,6386,6146,2629,3830,5333,12522
千葉,金額,296241313,38749033,42061970,32071450,35872704,18981065,11318660,13069293,13957804,10089406,13348097,19196695,47525136
千葉,平均価格,3070,3738,3703,3057,2674,2368,1883,2047,2271,3838,3485,3600,3795
東京,数量,465226,34380,30349,36319,38324,38336,31295,36471,36502,44861,44892,42241,51256
東京,金額,955135280,59382777,53115781,61160125,67284890,73222225,57073351,71499541,85131458,108658699,106958159,98068039,113580235
東京,平均価格,2053,1727,1750,1684,1756,1910,1824,1960,2332,2422,2383,2322,2216
神奈川,数量,9947,1714,1306,2057,1459,225,77,25,135,248,598,1264,839
神奈川,金額,33968729,5143221,4832774,6868172,4091481,438247,115617,48123,500496,1019084,1920042,5658584,3332888
