検索結果／出荷地別取扱実績（活ひらめ）
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成16年1月,平成16年2月,平成16年3月,平成16年4月,平成16年5月,平成16年6月,平成16年7月,平成16年8月,平成16年9月,平成16年10月,平成16年11月,平成16年12月,
合計,数量,1387656,115768,109110,123384,107872,106356,107239,104878,96010,109919,113350,127313,166457,
合計,金額,2977385486,291856960,255769863,271290229,206202319,185523870,168430985,173623608,195053163,260777729,290589114,279216526,399051120,
合計,平均価格,2146,2521,2344,2199,1912,1744,1571,1655,2032,2372,2564,2193,2397,
北海道,数量,3244,23,0,1,28,132,588,832,423,305,350,145,417,
北海道,金額,10531551,144124,0,1260,54191,133732,914446,1861951,1710725,1578167,1820507,503316,1809132,
北海道,平均価格,3246,6266,-,1260,1935,1013,1555,2238,4044,5174,5201,3471,4338,
青森,数量,75017,1794,386,636,1420,6674,8524,6112,2490,5227,9743,14265,17746,
青森,金額,247409216,9664007,1821132,3112765,4944846,14734206,15195378,13896020,10823861,23653036,41618488,37433845,70511632,
青森,平均価格,3298,5387,4718,4894,3482,2208,1783,2274,4347,4525,4272,2624,3973,
岩手,数量,526,4,3,0,0,99,39,25,68,133,123,9,23,
岩手,金額,1826191,5019,5765,0,0,196166,55587,63778,238616,578188,539379,45717,97976,
岩手,平均価格,3472,1255,1922,-,-,1981,1425,2551,3509,4347,4385,5080,4260,
宮城,数量,63677,2864,636,505,2264,7117,9246,6148,3033,3625,5564,14512,8163,
宮城,金額,221273272,15421246,3402128,2880970,8719564,18184486,18136993,15517772,12792659,18604975,29621383,43067297,34923799,
宮城,平均価格,3475,5385,5349,5705,3851,2555,1962,2524,4218,5132,5324,2968,4278,
秋田,数量,1720,0,93,54,170,93,122,234,97,392,267,45,153,
秋田,金額,6897724,0,450704,259814,651550,249756,208342,528969,384774,2092691,1352320,94102,624702,
秋田,平均価格,4010,-,4846,4811,3833,2686,1708,2261,3967,5338,5065,2091,4083,
福島,数量,38604,1626,2468,3564,1748,1949,10135,5741,2933,2749,2121,1715,1855,
福島,金額,111652950,8355697,10514253,11638511,5566432,3558179,16540343,12334084,10833357,12133073,9790119,4265963,6122939,
福島,平均価格,2892,5139,4260,3266,3184,1826,1632,2148,3694,4414,4616,2487,3301,
茨城,数量,35479,2203,1562,366,1762,1930,6124,5097,3783,5412,2062,3392,1786,
茨城,金額,105450668,9665395,5585964,1428458,5148644,3796279,9150968,8386246,12952361,25193778,10434194,7844642,5863739,
茨城,平均価格,2972,4387,3576,3903,2922,1967,1494,1645,3424,4655,5060,2313,3283,
埼玉,数量,2446,326,124,37,86,34,104,242,328,201,523,101,340,
埼玉,金額,10730638,1941675,736344,176539,311297,64513,192720,541170,1626294,1065567,2585709,376437,1112373,
埼玉,平均価格,4387,5956,5938,4771,3620,1897,1853,2236,4958,5301,4944,3727,3272,
千葉,数量,81522,10802,14322,9837,8212,6070,5436,7994,4570,3633,1864,1952,6830,
千葉,金額,251825333,46865463,57590385,39133367,21094958,12837793,8120605,11679025,7943687,8972552,7498767,5810052,24278679,
千葉,平均価格,3089,4339,4021,3978,2569,2115,1494,1461,1738,2470,4023,2976,3555,
東京,数量,333966,24546,21723,25163,23385,21162,18300,24911,27299,35097,36760,31165,44455,
東京,金額,621948749,49854064,42983299,46275410,41037436,36043139,30287524,40525174,47854329,66165042,74318949,61006054,85598329,
東京,平均価格,1862,2031,1979,1839,1755,1703,1655,1627,1753,1885,2022,1958,1926,
神奈川,数量,14968,300,2193,3440,1700,58,11,61,124,150,338,4989,1604,
神奈川,金額,47439399,1155956,8191760,12765860,5284965,97118,13640,106820,362017,571032,1457839,12172999,5259393,
神奈川,平均価格,3169,3853,3735,3711,3109,1674,1240,1751,2919,3807,4313,2440,3279,
新潟,数量,5805,12,49,141,967,3326,1088,38,1,6,8,114,55,
新潟,金額,14070816,45319,175678,667763,3318365,7408383,1903347,75434,3675,21903,34293,247070,169586,
新潟,平均価格,2424,3777,3585,4736,3432,2227,1749,1985,3675,3651,4287,2167,3083,
富山,数量,984,606,100,10,55,53,17,2,4,0,6,2,129,
富山,金額,3533661,2456622,333039,28896,218789,120635,15855,8337,4221,0,19593,3171,324503,
富山,平均価格,3591,4054,3330,2890,3978,2276,933,4169,1055,-,3266,1586,2516,
石川,数量,114,37,0,0,0,4,0,0,0,0,13,35,25,
石川,金額,232871,117926,0,0,0,5828,0,0,0,0,19541,49329,40247,
石川,平均価格,2043,3187,-,-,-,1457,-,-,-,-,1503,1409,1610,
静岡,数量,3347,498,613,666,234,19,203,205,0,188,2,2,717,
静岡,金額,9054200,1892595,1880431,1948853,772408,49917,308858,244545,0,294354,6111,3990,1652138,
静岡,平均価格,2705,3800,3068,2926,3301,2627,1521,1193,-,1566,3056,1995,2304,
愛知,数量,243518,22781,21493,26349,22514,20128,15478,18285,17352,17298,19038,18993,23809,
愛知,金額,430334681,44227046,38403915,44708983,35993203,31345177,22762140,26920624,30894629,32964805,38937207,37336985,45839967,
愛知,平均価格,1767,1941,1787,1697,1599,1557,1471,1472,1780,1906,2045,1966,1925,
三重,数量,22153,2648,2585,4034,2275,1235,1447,940,790,1581,1048,1440,2130,
三重,金額,52622103,6768355,7777724,12122118,4917447,2288274,2434790,1807125,1624707,3242945,2282482,3011932,4344204,
三重,平均価格,2375,2556,3009,3005,2162,1853,1683,1922,2057,2051,2178,2092,2040,
京都,数量,23444,5104,493,809,5125,3584,430,4,277,785,676,1644,4513,
京都,金額,57050115,14739675,1437673,1992008,10372447,6154031,564482,5586,862421,2356979,2308203,3564778,12691832,
京都,平均価格,2433,2888,2916,2462,2024,1717,1313,1397,3113,3003,3415,2168,2812,
大阪,数量,4705,361,382,661,384,335,355,445,406,334,448,238,356,
大阪,金額,8787829,776254,760775,1122929,696338,571239,594747,720492,762474,669206,875839,504893,732643,
大阪,平均価格,1868,2150,1992,1699,1813,1705,1675,1619,1878,2004,1955,2121,2058,
兵庫,数量,6458,872,1422,1548,639,776,458,326,0,59,63,284,11,
兵庫,金額,10861236,1655530,2452858,2462350,1050290,1194053,633434,509797,0,118379,194797,538823,50925,
兵庫,平均価格,1682,1899,1725,1591,1644,1539,1383,1564,-,2006,3092,1897,4630,
和歌山,数量,192,34,0,51,0,12,0,0,0,0,2,37,56,
和歌山,金額,428415,119187,0,106355,0,19542,0,0,0,0,4568,71967,106796,
和歌山,平均価格,2231,3506,-,2085,-,1629,-,-,-,-,2284,1945,1907,
鳥取,数量,1432,1295,0,0,56,9,0,0,0,0,0,72,0,
鳥取,金額,2146425,1911947,0,0,63129,33053,0,0,0,0,0,138296,0,
鳥取,平均価格,1499,1476,-,-,1127,3673,-,-,-,-,-,1921,-,
島根,数量,7310,439,990,4144,1041,17,1,2,0,236,421,11,8,
島根,金額,18798088,1299140,2091458,10683477,2224135,36089,1512,3623,0,791445,1606214,28392,32603,
島根,平均価格,2572,2959,2113,2578,2137,2123,1512,1812,-,3354,3815,2581,4075,
山口,数量,9,0,9,0,0,0,0,0,0,0,0,0,0,
山口,金額,29526,0,29526,0,0,0,0,0,0,0,0,0,0,
山口,平均価格,3281,-,3281,-,-,-,-,-,-,-,-,-,-,
香川,数量,2743,239,201,458,275,142,156,423,412,185,0,93,159,
香川,金額,5155945,533894,408946,784190,469623,241094,233685,704709,756106,371475,0,272252,379971,
香川,平均価格,1880,2234,2035,1712,1708,1698,1498,1666,1835,2008,-,2927,2390,
愛媛,数量,2036,390,51,8,46,80,137,105,75,67,199,771,107,
愛媛,金額,4124447,819595,98738,14438,64274,120846,239367,165419,145577,129807,414214,1654899,257273,
愛媛,平均価格,2026,2102,1936,1805,1397,1511,1747,1575,1941,1937,2081,2146,2404,
福岡,数量,9788,671,2070,3113,1830,411,92,51,72,381,497,131,469,
福岡,金額,25399806,1981988,5928773,8839904,4195853,831423,174636,95445,134263,784574,948813,246645,1237489,
福岡,平均価格,2595,2954,2864,2840,2293,2023,1898,1871,1865,2059,1909,1883,2639,
長崎,数量,6795,1573,1157,3221,482,86,19,4,0,11,34,16,192,
長崎,金額,24675470,6498034,3767896,11875187,1451225,133803,22198,8652,0,38525,158477,33328,688145,
長崎,平均価格,3631,4131,3257,3687,3011,1556,1168,2163,-,3502,4661,2083,3584,
熊本,数量,161194,10570,10459,11303,9883,10975,12665,13231,15281,15975,16178,15016,19658,
熊本,金額,270955471,20000531,18001542,18027513,14407691,15715007,17736266,18612711,25327112,28689262,31308375,27684915,35444546,
熊本,平均価格,1681,1892,1721,1595,1458,1432,1400,1407,1657,1796,1935,1844,1803,
大分,数量,207461,19973,20134,20227,17488,16552,13395,11720,15449,15360,13904,15176,28083,
大分,金額,350345716,35902499,33679564,32163088,26442670,23674142,17648607,15507907,25766656,28723346,28334896,29392574,53109767,
大分,平均価格,1689,1798,1673,1590,1512,1430,1318,1323,1668,1870,2038,1937,1891,
宮崎,数量,151,15,0,0,0,0,0,0,0,0,0,0,136,
宮崎,金額,364372,53425,0,0,0,0,0,0,0,0,0,0,310947,
宮崎,平均価格,2413,3562,-,-,-,-,-,-,-,-,-,-,2286,
鹿児島,数量,15247,2231,2446,1924,2573,2363,1510,531,0,0,0,52,1617,
鹿児島,金額,31535290,5205767,5550301,4199957,4771162,4242555,2563256,982857,0,0,0,129319,3890116,
鹿児島,平均価格,2068,2333,2269,2183,1854,1795,1698,1851,-,-,-,2487,2406,
沖繩,数量,11601,931,946,1114,1230,931,1159,1169,743,529,1098,896,855,
沖繩,金額,19893312,1778985,1709292,1869266,1959387,1443412,1777259,1809336,1248642,972623,2097837,1682544,1544729,
沖繩,平均価格,1715,1911,1807,1678,1593,1550,1533,1548,1681,1839,1911,1878,1807,
