検索結果／出荷地別取扱実績（活ひらめ）,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成21年1月,平成21年2月,平成21年3月,平成21年4月,平成21年5月,平成21年6月,平成21年7月,平成21年8月,平成21年9月,平成21年10月,平成21年11月,平成21年12月
合計,数量,1451939,128869,133512,136843,122684,112412,101250,98234,99158,104006,124021,120270,170680
合計,金額,2279152391,217517188,196209668,192437925,154993980,142190859,122715148,129049447,157963987,203895814,234382818,225369912,302425645
合計,平均価格,1570,1688,1470,1406,1263,1265,1212,1314,1593,1960,1890,1874,1772
北海道,数量,2699,221,0,0,0,0,175,166,69,186,420,577,885
北海道,金額,10283421,1068106,0,0,0,0,257168,336382,362287,1075448,1402051,2747629,3034350
北海道,平均価格,3810,4833,-,-,-,-,1470,2026,5251,5782,3338,4762,3429
青森,数量,66984,3620,1584,704,1348,4791,12285,6226,4856,6252,11466,2686,11166
青森,金額,181990584,14932278,6028889,2387588,3409853,7946039,16093141,10926473,13853359,22513504,37763124,10162503,35973833
青森,平均価格,2717,4125,3806,3391,2530,1659,1310,1755,2853,3601,3293,3784,3222
岩手,数量,940,27,0,0,16,149,178,152,115,146,79,11,67
岩手,金額,2208226,61143,0,0,39281,287421,275965,276880,365214,506840,216796,20108,158578
岩手,平均価格,2349,2265,-,-,2455,1929,1550,1822,3176,3472,2744,1828,2367
宮城,数量,56612,4410,892,613,2266,5099,7980,6040,4104,6536,8382,4392,5898
宮城,金額,185313573,22331127,3274159,2301815,5606119,9548181,10892350,12260645,13095448,28549487,33304493,21181675,22968074
宮城,平均価格,3273,5064,3671,3755,2474,1873,1365,2030,3191,4368,3973,4823,3894
秋田,数量,4148,142,91,444,594,1060,585,106,15,365,166,387,193
秋田,金額,13025319,603089,341366,1711343,1533767,2681732,724354,201990,55935,1535793,568309,2083967,983674
秋田,平均価格,3140,4247,3751,3854,2582,2530,1238,1906,3729,4208,3424,5385,5097
山形,数量,114,3,8,0,0,37,0,0,0,2,0,47,17
山形,金額,305279,9135,16653,0,0,73091,0,0,0,4725,0,142150,59525
山形,平均価格,2678,3045,2082,-,-,1975,-,-,-,2363,-,3024,3501
福島,数量,15170,620,298,34,51,372,1761,2786,1508,3397,2300,765,1278
福島,金額,35370105,2445212,942713,147799,61804,609869,2159479,4809159,4349479,8554741,4738716,2694305,3856829
福島,平均価格,2332,3944,3163,4347,1212,1639,1226,1726,2884,2518,2060,3522,3018
茨城,数量,33505,2678,2636,743,792,920,1425,5112,3401,2886,1820,4417,6675
茨城,金額,79448538,6864252,6581834,1831377,1120150,1260433,1562091,6903649,8915817,9850439,5389341,13785368,15383787
茨城,平均価格,2371,2563,2497,2465,1414,1370,1096,1350,2622,3413,2961,3121,2305
埼玉,数量,7,0,7,0,0,0,0,0,0,0,0,0,0
埼玉,金額,12432,0,12432,0,0,0,0,0,0,0,0,0,0
埼玉,平均価格,1776,-,1776,-,-,-,-,-,-,-,-,-,-
千葉,数量,99009,12716,14148,16681,15758,6156,3513,6174,3779,2344,2680,4738,10322
千葉,金額,232439607,38069004,39887536,43605417,30543596,9893572,4624052,7099751,5108975,6095840,7927137,15883673,23701054
千葉,平均価格,2348,2994,2819,2614,1938,1607,1316,1150,1352,2601,2958,3352,2296
東京,数量,527347,48609,49585,46646,40733,38381,27226,30793,42291,41345,47445,49899,64394
東京,金額,687326850,56775122,57623222,51446864,44606132,44880488,32877432,38792464,58448935,63093492,69533304,75986655,93262740
東京,平均価格,1303,1168,1162,1103,1095,1169,1208,1260,1382,1526,1466,1523,1448
神奈川,数量,14234,1264,3087,4082,1140,250,205,310,513,593,1071,1071,648
神奈川,金額,35833069,3415240,7710623,10079823,2025159,359730,338964,517443,941856,1688451,2842833,3660362,2252585
神奈川,平均価格,2517,2702,2498,2469,1776,1439,1653,1669,1836,2847,2654,3418,3476
新潟,数量,6899,148,54,228,1521,3496,1211,8,20,20,25,64,104
新潟,金額,11728947,335394,98220,535675,2819425,5905563,1430725,17976,42525,55116,73039,192750,222539
新潟,平均価格,1700,2266,1819,2349,1854,1689,1181,2247,2126,2756,2922,3012,2140
富山,数量,91,61,8,0,0,0,0,0,0,0,0,4,18
富山,金額,236589,163225,13230,0,0,0,0,0,0,0,0,3308,56826
富山,平均価格,2600,2676,1654,-,-,-,-,-,-,-,-,827,3157
石川,数量,216,62,6,0,0,24,0,0,0,6,29,31,58
石川,金額,641977,126769,8663,0,0,27889,0,0,0,27731,102008,166920,181997
石川,平均価格,2972,2045,1444,-,-,1162,-,-,-,4622,3518,5385,3138
静岡,数量,4368,915,685,1063,609,431,255,30,13,0,0,138,229
静岡,金額,8516296,1681750,1266397,1919772,1104244,717701,408928,47345,21567,0,0,600927,747665
静岡,平均価格,1950,1838,1849,1806,1813,1665,1604,1578,1659,-,-,4355,3265
愛知,数量,186452,15612,13600,17606,17090,14311,11400,11112,11257,15955,19490,18960,20059
愛知,金額,236358887,18482086,15439524,19562697,18899827,16833497,13595847,13228686,15179182,23135457,27913158,26504349,27584577
愛知,平均価格,1268,1184,1135,1111,1106,1176,1193,1190,1348,1450,1432,1398,1375
三重,数量,43642,4059,3631,2914,2128,1927,2185,4170,3417,4315,3853,5022,6021
三重,金額,62368551,5616931,5026699,4597170,2642359,2386777,2714915,5016995,4614080,6677085,5822732,7841962,9410846
三重,平均価格,1429,1384,1384,1578,1242,1239,1243,1203,1350,1547,1511,1562,1563
京都,数量,280,0,70,0,25,152,18,12,0,0,3,0,0
京都,金額,381456,0,152429,0,30104,162803,18039,13797,0,0,4284,0,0
京都,平均価格,1362,-,2178,-,1204,1071,1002,1150,-,-,1428,-,-
大阪,数量,13877,1048,672,1285,2063,883,1632,1172,100,377,1029,1407,2209
大阪,金額,17703658,1049534,919691,1765812,2036676,1005205,1758529,1232440,158151,562520,1593407,2210215,3411478
大阪,平均価格,1276,1001,1369,1374,987,1138,1078,1052,1582,1492,1549,1571,1544
兵庫,数量,37818,2403,4013,2900,3198,2051,2075,3255,3429,2682,3683,2999,5130
兵庫,金額,50776670,4275283,4209701,3107360,3335648,2202952,2524635,3940128,4626252,4068123,5573640,5051628,7861320
兵庫,平均価格,1343,1779,1049,1072,1043,1074,1217,1210,1349,1517,1513,1684,1532
和歌山,数量,1229,604,73,129,379,2,23,0,0,0,4,2,13
和歌山,金額,2342633,1509155,203063,199448,331772,5555,24969,0,0,0,12758,3350,52563
和歌山,平均価格,1906,2499,2782,1546,875,2778,1086,-,-,-,3190,1675,4043
鳥取,数量,11,0,0,0,0,8,0,0,0,0,0,3,0
鳥取,金額,22182,0,0,0,0,5182,0,0,0,0,0,17000,0
鳥取,平均価格,2017,-,-,-,-,648,-,-,-,-,-,5667,-
島根,数量,989,154,0,17,8,6,1,3,0,169,234,149,248
島根,金額,2890748,453372,0,30881,8936,6731,578,1880,0,534551,734178,483065,636576
島根,平均価格,2923,2944,-,1817,1117,1122,578,627,-,3163,3138,3242,2567
広島,数量,3,0,0,0,0,0,3,0,0,0,0,0,0
広島,金額,1764,0,0,0,0,0,1764,0,0,0,0,0,0
広島,平均価格,588,-,-,-,-,-,588,-,-,-,-,-,-
徳島,数量,7,7,0,0,0,0,0,0,0,0,0,0,0
徳島,金額,18270,18270,0,0,0,0,0,0,0,0,0,0,0
徳島,平均価格,2610,2610,-,-,-,-,-,-,-,-,-,-,-
香川,数量,216,4,0,102,0,63,0,22,5,0,0,4,16
香川,金額,261065,5145,0,114020,0,72514,0,26125,6279,0,0,6458,30524
香川,平均価格,1209,1286,-,1118,-,1151,-,1188,1256,-,-,1615,1908
愛媛,数量,136912,12320,12209,14683,13103,13418,11635,7437,6402,5954,9474,12692,17585
愛媛,金額,174501303,15440168,14165022,17136996,15278063,16004105,13409841,9146872,8944591,8945766,13336422,18010030,24683427
愛媛,平均価格,1275,1253,1160,1167,1166,1193,1153,1230,1397,1502,1408,1419,1404
福岡,数量,563,0,563,0,0,0,0,0,0,0,0,0,0
福岡,金額,1030633,0,1030633,0,0,0,0,0,0,0,0,0,0
福岡,平均価格,1831,-,1831,-,-,-,-,-,-,-,-,-,-
長崎,数量,11888,2485,4500,3837,353,72,15,5,24,93,15,271,218
