検索結果／出荷地別取扱実績（ひらめ（国内））,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成19年1月,平成19年2月,平成19年3月,平成19年4月,平成19年5月,平成19年6月,平成19年7月,平成19年8月,平成19年9月,平成19年10月,平成19年11月,平成19年12月
合計,数量,842895,61224,50295,71741,60610,69647,109241,61679,43586,51829,74718,86159,102166
合計,金額,1398484267,112878618,104867783,136623179,101502613,108148571,130198523,96879394,85516837,90544268,123219677,136894638,171210166
合計,平均価格,1659,1844,2085,1904,1675,1553,1192,1571,1962,1747,1649,1589,1676
北海道,数量,70218,1053,51,17,184,2050,9095,3924,1151,1216,5286,7209,38982
北海道,金額,106525478,2393416,76652,39963,340567,2986684,13415050,6994287,2609979,3370658,11817416,14093046,48387760
北海道,平均価格,1517,2273,1503,2351,1851,1457,1475,1782,2268,2772,2236,1955,1241
青森,数量,238524,8012,1594,5452,11615,14997,50543,16630,11081,20423,34789,41770,21618
青森,金額,275693012,11998287,2496680,4574856,10093142,17112943,50820090,20026190,15014210,23928093,40232099,49300920,30095502
青森,平均価格,1156,1498,1566,839,869,1141,1005,1204,1355,1172,1156,1180,1392
岩手,数量,25905,771,59,56,56,2057,3310,1589,2946,2828,3574,6376,2283
岩手,金額,33952743,1237957,71894,109443,93212,2323754,2483291,1831158,4602958,3848421,5085325,8930720,3334610
岩手,平均価格,1311,1606,1219,1954,1665,1130,750,1152,1562,1361,1423,1401,1461
宮城,数量,10250,2258,743,363,310,1144,2342,579,420,526,501,529,535
宮城,金額,12128908,1532752,938050,516569,486798,1349419,2363753,810446,670874,860808,897857,791689,909893
宮城,平均価格,1183,679,1263,1423,1570,1180,1009,1400,1597,1637,1792,1497,1701
秋田,数量,6327,0,136,682,1626,741,969,156,17,746,521,112,621
秋田,金額,7326604,0,146075,543266,2343408,1047482,888610,162637,46269,880719,506549,112992,648597
秋田,平均価格,1158,-,1074,797,1441,1414,917,1043,2722,1181,972,1009,1044
山形,数量,1819,2,13,0,95,233,46,0,0,461,402,172,395
山形,金額,2611882,2100,30966,0,165496,267430,39544,0,0,707070,686793,217475,495008
山形,平均価格,1436,1050,2382,-,1742,1148,860,-,-,1534,1708,1264,1253
福島,数量,62874,4807,2362,1849,4599,11179,15825,3911,1668,4460,4632,4870,2712
福島,金額,90488717,5628039,3009585,2394701,6137587,14312386,17726272,6259640,3467302,8903870,8835994,8030848,5782493
福島,平均価格,1439,1171,1274,1295,1335,1280,1120,1601,2079,1996,1908,1649,2132
茨城,数量,77684,4980,1885,9897,7195,8784,11053,15339,3886,2431,2544,2958,6732
茨城,金額,137986615,7178911,3591126,16592737,12886791,13747531,13512280,23305415,9764506,6913092,6680541,8093680,15720005
茨城,平均価格,1776,1442,1905,1677,1791,1565,1222,1519,2513,2844,2626,2736,2335
埼玉,数量,3592,1209,1034,573,13,0,0,0,0,0,28,284,451
埼玉,金額,7709438,2225663,2265033,1169768,23552,0,0,0,0,0,36204,551241,1437977
埼玉,平均価格,2146,1841,2191,2041,1812,-,-,-,-,-,1293,1941,3188
千葉,数量,69802,6429,3416,7717,8611,14027,4929,10116,2964,3435,1774,2375,4009
千葉,金額,153056793,13912489,9545275,17626721,18835106,25770053,6996074,16676921,8102017,10231878,5859432,7073949,12426878
千葉,平均価格,2193,2164,2794,2284,2187,1837,1419,1649,2733,2979,3303,2979,3100
東京,数量,108903,10703,9356,12815,8247,8482,7610,6832,6699,6817,8233,8779,14330
東京,金額,236091620,24184178,20812942,27397788,18024556,18616535,15617764,15251258,15375033,15072488,17208717,17816095,30714266
東京,平均価格,2168,2260,2225,2138,2186,2195,2052,2232,2295,2211,2090,2029,2143
神奈川,数量,4399,33,79,151,53,29,29,14,3937,7,26,1,40
神奈川,金額,11548838,52227,267599,394697,106367,43891,26393,36574,10574499,6752,20665,1764,17410
神奈川,平均価格,2625,1583,3387,2614,2007,1513,910,2612,2686,965,795,1764,435
新潟,数量,2709,446,218,38,179,364,325,63,28,266,233,194,355
