検索結果／出荷地別取扱実績（ひらめ（国内））,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成19年1月,平成19年2月,平成19年3月,平成19年4月,平成19年5月,平成19年6月,平成19年7月,平成19年8月,平成19年9月,平成19年10月,平成19年11月,平成19年12月
新潟,金額,2503559,423931,182316,35805,153452,315101,187220,29958,48542,303881,357807,178324,287222
新潟,平均価格,924,951,836,942,857,866,576,476,1734,1142,1536,919,809
富山,数量,12,6,0,0,0,0,0,0,0,0,0,0,6
富山,金額,37905,17325,0,0,0,0,0,0,0,0,0,0,20580
富山,平均価格,3159,2888,-,-,-,-,-,-,-,-,-,-,3430
石川,数量,5,0,0,0,0,2,3,0,0,0,0,0,0
石川,金額,2457,0,0,0,0,1932,525,0,0,0,0,0,0
石川,平均価格,491,-,-,-,-,966,175,-,-,-,-,-,-
福井,数量,25,0,0,0,9,13,3,0,0,0,0,0,0
福井,金額,46034,0,0,0,8496,34913,2625,0,0,0,0,0,0
福井,平均価格,1841,-,-,-,944,2686,875,-,-,-,-,-,-
静岡,数量,744,84,42,114,159,60,92,5,88,14,0,64,22
静岡,金額,1392486,190072,41990,228660,315788,84567,108169,16580,211419,14784,0,110818,69639
静岡,平均価格,1872,2263,1000,2006,1986,1409,1176,3316,2402,1056,-,1732,3165
愛知,数量,697,71,141,127,144,13,6,1,0,75,22,70,27
愛知,金額,1371736,135168,303641,286290,288547,24381,4200,2394,0,59968,48753,161305,57089
愛知,平均価格,1968,1904,2153,2254,2004,1875,700,2394,-,800,2216,2304,2114
三重,数量,4480,224,537,587,1865,66,122,156,105,151,189,150,328
三重,金額,8737668,465260,976467,1081094,2468894,119162,241016,574327,448103,447468,493750,482620,939507
三重,平均価格,1950,2077,1818,1842,1324,1805,1976,3682,4268,2963,2612,3217,2864
京都,数量,138,0,0,0,1,1,0,2,0,0,69,35,30
京都,金額,212849,0,0,0,819,1092,0,966,0,0,124029,50420,35523
京都,平均価格,1542,-,-,-,819,1092,-,483,-,-,1798,1441,1184
大阪,数量,830,0,0,0,0,192,491,144,3,0,0,0,0
大阪,金額,808913,0,0,0,0,220787,455803,130181,2142,0,0,0,0
大阪,平均価格,975,-,-,-,-,1150,928,904,714,-,-,-,-
兵庫,数量,358,146,56,16,0,23,28,7,0,4,6,69,3
兵庫,金額,1425694,495632,409448,129696,0,102156,130757,35648,0,29400,7560,75842,9555
兵庫,平均価格,3982,3395,7312,8106,-,4442,4670,5093,-,7350,1260,1099,3185
和歌山,数量,12,1,0,0,9,0,0,0,2,0,0,0,0
和歌山,金額,13829,1008,0,0,11823,0,0,0,998,0,0,0,0
和歌山,平均価格,1152,1008,-,-,1314,-,-,-,499,-,-,-,-
鳥取,数量,1763,261,124,288,352,255,54,9,16,48,18,135,203
鳥取,金額,2663174,369708,216583,469629,553128,334753,46567,4673,31888,120331,42305,264688,208921
鳥取,平均価格,1511,1417,1747,1631,1571,1313,862,519,1993,2507,2350,1961,1029
島根,数量,5010,748,181,690,1435,626,23,5,0,157,300,320,525
島根,金額,7144443,1027541,278481,968749,1859523,617026,18554,2625,0,349946,633824,604642,783532
島根,平均価格,1426,1374,1539,1404,1296,986,807,525,-,2229,2113,1890,1492
岡山,数量,39,0,0,0,0,0,0,0,0,16,14,6,3
岡山,金額,103131,0,0,0,0,0,0,0,0,40194,43218,14679,5040
岡山,平均価格,2644,-,-,-,-,-,-,-,-,2512,3087,2447,1680
山口,数量,12320,1444,1968,1306,1090,1287,395,10,51,567,2023,626,1553
山口,金額,20056511,1846042,2854744,1808648,1490775,1687468,601958,15174,106008,1280922,4527206,1375985,2461581
山口,平均価格,1628,1278,1451,1385,1368,1311,1524,1517,2079,2259,2238,2198,1585
徳島,数量,164,0,27,15,46,18,47,3,0,0,0,5,3
徳島,金額,252042,0,53792,25795,77219,28214,52973,1365,0,0,0,9219,3465
徳島,平均価格,1537,-,1992,1720,1679,1567,1127,455,-,-,-,1844,1155
香川,数量,336,25,2,10,167,93,8,1,4,5,2,7,12
香川,金額,591526,34199,3780,27185,314411,98566,9319,4725,6678,23730,2394,27846,38693
香川,平均価格,1760,1368,1890,2719,1883,1060,1165,4725,1670,4746,1197,3978,3224
愛媛,数量,22543,935,444,773,829,1024,883,1018,4346,2094,4337,2981,2879
愛媛,金額,44453190,3108211,1125414,1921712,2065917,2696239,2239397,2034127,5774906,3850141,8119913,5418271,6098942
愛媛,平均価格,1972,3324,2535,2486,2492,2633,2536,1998,1329,1839,1872,1818,2118
高知,数量,1021,114,369,234,201,48,9,0,5,2,10,10,19
高知,金額,1941185,226256,742377,434254,383316,63527,10280,0,6993,6300,10658,26334,30890
高知,平均価格,1901,1985,2012,1856,1907,1323,1142,-,1399,3150,1066,2633,1626
福岡,数量,3942,111,396,442,183,215,404,331,262,394,416,417,371
福岡,金額,4506747,177302,710457,774375,249480,208950,322749,253859,199584,336284,398045,458893,416769
福岡,平均価格,1143,1597,1794,1752,1363,972,799,767,762,854,957,1100,1123
佐賀,数量,3269,337,256,342,262,247,231,206,220,195,212,201,560
佐賀,金額,17784918,1834359,1404966,1840089,1454261,1367311,1287051,1145702,1220010,1085735,1149925,1121316,2874193
佐賀,平均価格,5440,5443,5488,5380,5551,5536,5572,5562,5546,5568,5424,5579,5132
長崎,数量,60040,10669,15822,21569,9354,648,118,4,22,698,87,308,741
長崎,金額,114372014,19821728,31515394,42109347,16635601,1065936,162786,4190,23342,175121,265496,836812,1756261
長崎,平均価格,1905,1858,1992,1952,1778,1645,1380,1048,1061,251,3052,2717,2370
熊本,数量,9770,1453,5061,2794,216,0,0,0,0,0,6,75,165
熊本,金額,22276289,3050922,11481203,6397028,497099,0,0,0,0,0,19898,260369,569770
熊本,平均価格,2280,2100,2269,2290,2301,-,-,-,-,-,3316,3472,3453
大分,数量,23534,1229,873,1383,1195,617,231,615,3652,3753,4412,4838,736
大分,金額,47529254,2578254,1933943,2918619,2363425,1241681,406663,1249904,7168288,7572657,8938766,9675784,1481270
大分,平均価格,2020,2098,2215,2110,1978,2012,1760,2032,1963,2018,2026,2000,2013
宮崎,数量,877,344,272,31,63,15,0,0,0,25,5,18,104
宮崎,金額,1969677,766090,594286,59557,122903,28319,0,0,0,76379,14438,50452,257253
宮崎,平均価格,2246,2227,2185,1921,1951,1888,-,-,-,3055,2888,2803,2474
鹿児島,数量,7960,2319,2778,1410,247,97,17,9,13,15,47,195,813
鹿児島,金額,21166388,5963591,6786624,3746138,651154,228382,20790,18470,40289,47178,154100,675600,2834072
鹿児島,平均価格,2659,2572,2443,2657,2636,2354,1223,2052,3099,3145,3279,3465,3486
