検索結果／出荷地別取扱実績（活ひらめ）,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成26年1月,平成26年2月,平成26年3月,平成26年4月,平成26年5月,平成26年6月,平成26年7月,平成26年8月,平成26年9月,平成26年10月,平成26年11月,平成26年12月
合計,数量,1102649,99682,83289,93919,79806,79824,80294,83081,80530,85713,93376,91817,151318
合計,金額,1892585597,172645663,162479951,164190687,131125772,126317282,106867263,110291097,135599375,156998049,187305722,163683362,275081374
合計,平均価格,1716,1732,1951,1748,1643,1582,1331,1328,1684,1832,2006,1783,1818
北海道,数量,24162,256,49,4,0,14,1215,1032,1559,2975,6850,7821,2387
北海道,金額,53174257,797093,147685,9030,0,11751,850228,987735,3490406,5941684,19686052,16789916,4462677
北海道,平均価格,2201,3114,3014,2258,-,839,700,957,2239,1997,2874,2147,1870
青森,数量,53375,1120,384,282,459,4724,11026,12985,4560,2020,1673,2361,11781
青森,金額,107399450,4011466,1368638,672767,1047080,8574407,14767667,18121201,11509754,5492072,4574857,4995075,32264466
青森,平均価格,2012,3582,3564,2386,2281,1815,1339,1396,2524,2719,2735,2116,2739
岩手,数量,10,10,0,0,0,0,0,0,0,0,0,0,0
岩手,金額,15383,15383,0,0,0,0,0,0,0,0,0,0,0
岩手,平均価格,1538,1538,-,-,-,-,-,-,-,-,-,-,-
宮城,数量,82789,2953,634,698,974,7058,14949,6867,5334,12148,10038,9639,11497
宮城,金額,201505168,10227194,2416319,1890976,2213387,12469419,17006509,8393953,13028192,35649060,38483452,25839547,33887160
宮城,平均価格,2434,3463,3811,2709,2272,1767,1138,1222,2442,2935,3834,2681,2947
秋田,数量,962,57,17,14,18,148,220,21,18,0,68,357,24
秋田,金額,2248960,237153,93566,32697,34409,245447,340516,36202,67100,0,235515,859168,67187
秋田,平均価格,2338,4161,5504,2336,1912,1658,1548,1724,3728,-,3463,2407,2799
山形,数量,1,0,0,0,0,0,1,0,0,0,0,0,0
山形,金額,583,0,0,0,0,0,583,0,0,0,0,0,0
山形,平均価格,583,-,-,-,-,-,583,-,-,-,-,-,-
茨城,数量,89183,19638,5293,4224,4711,4058,4306,15322,5392,6093,3949,4651,11546
茨城,金額,138958926,26862024,11250099,7305276,7025953,6569825,4046493,15416935,10902583,13420882,9854481,8843230,17461145
茨城,平均価格,1558,1368,2125,1729,1491,1619,940,1006,2022,2203,2495,1901,1512
埼玉,数量,33,0,0,14,17,2,0,0,0,0,0,0,0
埼玉,金額,148384,0,0,62654,73310,12420,0,0,0,0,0,0,0
埼玉,平均価格,4496,-,-,4475,4312,6210,-,-,-,-,-,-,-
千葉,数量,108957,11974,14959,19181,16296,8916,4806,5861,7382,4517,1521,3148,10396
千葉,金額,210510343,25841428,41494074,40473123,27521999,14176295,5590918,6436471,9779016,6452771,5076502,7492781,20174965
千葉,平均価格,1932,2158,2774,2110,1689,1590,1163,1098,1325,1429,3338,2380,1941
東京,数量,341717,34248,29112,28096,22932,20077,17261,16870,28619,24605,34020,26320,59557
東京,金額,553969968,55383445,46737448,45114373,38058717,32749687,27206298,26797242,45736762,40011439,55751443,43125818,97297296
東京,平均価格,1621,1617,1605,1606,1660,1631,1576,1588,1598,1626,1639,1639,1634
神奈川,数量,25943,2138,4770,9464,4565,450,201,329,217,758,956,954,1141
神奈川,金額,58791211,4767533,12542379,18340557,8290399,737919,212477,485455,575419,2773864,3610191,2991956,3463062
神奈川,平均価格,2266,2230,2629,1938,1816,1640,1057,1476,2652,3659,3776,3136,3035
新潟,数量,2482,15,32,110,498,1287,298,29,0,0,48,156,9
新潟,金額,3300852,34545,75507,204501,716923,1680806,290793,18857,0,0,52735,217437,8748
新潟,平均価格,1330,2303,2360,1859,1440,1306,976,650,-,-,1099,1394,972
富山,数量,4,4,0,0,0,0,0,0,0,0,0,0,0
富山,金額,11435,11435,0,0,0,0,0,0,0,0,0,0,0
富山,平均価格,2859,2859,-,-,-,-,-,-,-,-,-,-,-
石川,数量,46,7,0,0,5,27,0,1,0,0,6,0,0
