検索結果／出荷地別取扱実績（活ひらめ）,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成29年1月,平成29年2月,平成29年3月,平成29年4月,平成29年5月,平成29年6月,平成29年7月,平成29年8月,平成29年9月,平成29年10月,平成29年11月,平成29年12月
広島,金額,9310,0,0,0,9310,0,0,0,0,0,0,0,0
広島,平均価格,1862,-,-,-,1862,-,-,-,-,-,-,-,-
山口,数量,5,0,5,0,0,0,0,0,0,0,0,0,0
山口,金額,9612,0,9612,0,0,0,0,0,0,0,0,0,0
山口,平均価格,1922,-,1922,-,-,-,-,-,-,-,-,-,-
徳島,数量,91,12,0,9,54,9,6,1,0,0,0,0,0
徳島,金額,181709,39269,0,27140,89866,12971,11923,540,0,0,0,0,0
徳島,平均価格,1997,3272,-,3016,1664,1441,1987,540,-,-,-,-,-
香川,数量,345,0,0,0,0,0,0,0,345,0,0,0,0
香川,金額,663066,0,0,0,0,0,0,0,663066,0,0,0,0
香川,平均価格,1922,-,-,-,-,-,-,-,1922,-,-,-,-
愛媛,数量,63762,6184,5537,6333,5694,6430,4078,3864,4625,4498,3917,4868,7734
愛媛,金額,127234592,11912744,10451335,11343695,12006694,13139747,7583710,7367600,9047739,9021543,8178967,10495467,16685351
愛媛,平均価格,1995,1926,1888,1791,2109,2044,1860,1907,1956,2006,2088,2156,2157
福岡,数量,50160,4950,4561,4748,4860,5198,4301,5799,4688,1532,1957,2568,4998
福岡,金額,95798892,9044894,8367972,8845489,9074186,9819876,7961541,10749783,8845462,3113689,4055025,5313862,10607113
福岡,平均価格,1910,1827,1835,1863,1867,1889,1851,1854,1887,2032,2072,2069,2122
佐賀,数量,21,0,21,0,0,0,0,0,0,0,0,0,0
佐賀,金額,47283,0,47283,0,0,0,0,0,0,0,0,0,0
佐賀,平均価格,2252,-,2252,-,-,-,-,-,-,-,-,-,-
長崎,数量,2597,628,981,533,120,33,31,6,5,0,17,48,195
長崎,金額,7804251,2264607,2975054,1339470,275681,32584,31298,7420,10476,0,27086,144774,695801
長崎,平均価格,3005,3606,3033,2513,2297,987,1010,1237,2095,-,1593,3016,3568
熊本,数量,17316,5842,3346,1625,2775,2376,0,1246,0,0,0,31,75
熊本,金額,34084449,11551758,6555537,3153965,5480255,4683053,0,2450803,0,0,0,64724,144354
熊本,平均価格,1968,1977,1959,1941,1975,1971,-,1967,-,-,-,2088,1925
大分,数量,745,216,116,14,22,29,0,9,13,0,19,51,256
大分,金額,2236158,650235,337673,46615,61172,83981,0,12766,37616,0,60713,153617,791770
大分,平均価格,3002,3010,2911,3330,2781,2896,-,1418,2894,-,3195,3012,3093
鹿児島,数量,18,18,0,0,0,0,0,0,0,0,0,0,0
鹿児島,金額,37594,37594,0,0,0,0,0,0,0,0,0,0,0
鹿児島,平均価格,2089,2089,-,-,-,-,-,-,-,-,-,-,-
